gen; best; worst; avg
0; 17; 19; 18.4
0; 17; 19; 17.93
10; 13; 19; 16.36
20; 11; 19; 14.95
30; 11; 19; 14.52
40; 10; 19; 13.94
50; 10; 19; 13.86
60; 10; 19; 13.96
70; 10; 19; 14.01
80; 10; 19; 13.88
90; 10; 19; 13.92
100; 10; 19; 13.9
110; 9; 19; 13.73
120; 9; 19; 13.29
130; 9; 19; 13.28
140; 9; 19; 13.16
150; 9; 19; 13.15
160; 9; 19; 12.95
170; 9; 19; 12.89
180; 9; 18; 12.98
190; 9; 18; 12.94
200; 9; 18; 12.93
210; 9; 19; 13
220; 9; 19; 13.01
230; 9; 18; 13.07
240; 9; 18; 13.08
250; 9; 19; 13.12
260; 9; 19; 13.1
270; 9; 19; 13.04
280; 9; 19; 13.11
290; 9; 19; 13.09
300; 9; 19; 13.15
310; 9; 19; 13
320; 9; 19; 13.1
330; 9; 19; 12.94
340; 9; 19; 12.89
350; 9; 19; 12.93
360; 9; 19; 12.85
370; 9; 19; 12.96
380; 9; 19; 12.8
390; 9; 19; 13.01
400; 9; 19; 12.94
410; 9; 19; 12.72
420; 9; 19; 12.75
430; 9; 19; 12.8
440; 9; 19; 12.74
450; 9; 19; 12.73
460; 9; 19; 12.82
470; 9; 19; 12.78
480; 9; 19; 12.8
490; 9; 19; 12.97
500; 9; 19; 13.02
510; 9; 18; 12.89
520; 9; 18; 12.9
530; 9; 19; 13
540; 9; 19; 13.02
550; 9; 19; 13.05
560; 9; 19; 13.09
570; 9; 19; 13.2
580; 9; 19; 13.16
590; 9; 19; 13.17
600; 9; 19; 13.22
610; 9; 19; 13.34
620; 9; 19; 13.37
630; 9; 19; 13.08
640; 9; 19; 13
650; 9; 18; 13.02
660; 9; 18; 12.89
670; 9; 19; 13.03
680; 9; 19; 13
690; 9; 19; 13.19
700; 9; 19; 13.13
710; 9; 19; 13.08
720; 9; 19; 12.95
730; 9; 19; 12.83
740; 9; 19; 12.9
750; 9; 19; 12.99
760; 9; 19; 13
770; 9; 19; 12.9
780; 9; 19; 12.83
790; 9; 19; 12.84
800; 9; 19; 12.92
810; 9; 19; 12.9
820; 9; 19; 12.83
830; 9; 19; 12.85
840; 9; 19; 12.87
850; 9; 19; 12.68
860; 9; 19; 12.68
870; 9; 19; 12.76
880; 9; 19; 12.68
890; 9; 18; 12.58
900; 9; 18; 12.72
910; 9; 19; 12.86
920; 9; 19; 12.87
930; 9; 19; 12.7
940; 9; 19; 12.73
950; 9; 19; 12.81
960; 9; 19; 12.7
970; 9; 18; 12.64
980; 9; 19; 12.64
990; 9; 19; 12.51
1000; 9; 19; 12.63
1010; 9; 19; 12.96
1020; 9; 19; 13.02
1030; 9; 19; 12.78
1040; 9; 19; 12.71
1050; 9; 19; 12.77
1060; 9; 19; 12.75
1070; 9; 19; 12.73
1080; 9; 19; 12.88
1090; 9; 19; 12.88
1100; 9; 19; 12.74
1110; 9; 19; 13.05
1120; 9; 19; 12.95
1130; 9; 19; 12.94
1140; 9; 18; 12.76
1150; 9; 18; 12.95
1160; 9; 18; 12.82
1170; 9; 18; 12.58
1180; 9; 18; 12.57
1190; 9; 18; 12.7
1200; 9; 18; 12.6
1210; 9; 18; 12.48
1220; 9; 18; 12.65
1230; 9; 18; 12.7
1240; 9; 19; 12.51
1250; 9; 19; 12.43
1260; 9; 19; 12.59
1270; 9; 19; 12.63
1280; 9; 19; 12.56
1290; 9; 19; 12.47
1300; 9; 19; 12.51
1310; 9; 19; 12.72
1320; 9; 18; 12.68
1330; 9; 18; 12.73
1340; 9; 18; 12.78
1350; 9; 18; 12.75
1360; 9; 19; 12.91
1370; 9; 19; 12.96
1380; 9; 19; 12.81
1390; 9; 19; 12.96
1400; 9; 19; 12.76
1410; 9; 19; 12.78
1420; 9; 19; 12.8
1430; 9; 19; 12.82
1440; 9; 19; 12.7
1450; 9; 18; 12.59
1460; 9; 18; 12.75
1470; 9; 19; 12.75
1480; 9; 19; 12.74
1490; 9; 18; 12.65
1500; 9; 19; 12.67
1510; 9; 19; 12.88
1520; 9; 19; 12.87
1530; 9; 19; 12.96
1540; 9; 19; 12.9
1550; 9; 19; 12.78
1560; 9; 19; 12.74
1570; 9; 19; 12.78
1580; 9; 19; 12.61
1590; 9; 18; 12.62
1600; 9; 18; 12.67
1610; 9; 19; 12.79
1620; 9; 19; 12.82
1630; 9; 19; 13.01
1640; 9; 19; 12.96
1650; 9; 19; 12.91
1660; 9; 19; 13.11
1670; 9; 19; 12.98
1680; 9; 19; 13.22
1690; 9; 19; 13.04
1700; 9; 19; 12.97
1710; 9; 19; 12.92
1720; 9; 19; 12.85
1730; 9; 19; 12.91
1740; 9; 19; 13.04
1750; 9; 19; 12.88
1760; 9; 19; 12.84
1770; 9; 19; 12.58
1780; 9; 18; 12.63
1790; 9; 18; 12.47
1800; 9; 18; 12.49
1810; 9; 18; 12.57
1820; 9; 18; 12.72
1830; 9; 18; 12.78
1840; 9; 18; 12.84
1850; 9; 19; 12.92
1860; 9; 19; 12.95
1870; 9; 19; 12.92
1880; 9; 19; 12.98
1890; 9; 19; 12.79
1900; 9; 19; 12.84
1910; 9; 19; 12.77
1920; 9; 19; 12.95
1930; 9; 19; 12.79
1940; 9; 19; 12.8
1950; 9; 19; 12.87
1960; 9; 19; 12.91
1970; 9; 19; 12.85
1980; 9; 19; 12.98
1990; 9; 19; 12.78
2000; 9; 19; 12.72
2010; 9; 19; 12.63
2020; 9; 19; 12.46
2030; 9; 19; 12.46
2040; 9; 19; 12.64
2050; 9; 19; 12.75
2060; 9; 19; 12.63
2070; 9; 18; 12.68
2080; 9; 18; 12.68
2090; 9; 19; 12.86
2100; 9; 19; 12.57
2110; 9; 19; 12.63
2120; 9; 19; 12.66
2130; 9; 19; 12.78
2140; 9; 19; 12.7
2150; 9; 19; 12.86
2160; 9; 19; 12.98
2170; 9; 19; 12.87
2180; 9; 19; 12.84
2190; 9; 19; 12.93
2200; 9; 19; 12.96
2210; 9; 19; 12.77
2220; 9; 19; 12.92
2230; 9; 18; 12.77
2240; 9; 19; 12.76
2250; 9; 18; 12.79
2260; 9; 18; 12.67
2270; 9; 18; 12.63
2280; 9; 19; 12.59
2290; 9; 19; 12.8
2300; 9; 19; 12.88
2310; 9; 19; 12.78
2320; 9; 19; 12.82
2330; 9; 19; 12.69
2340; 9; 19; 12.88
2350; 9; 19; 12.86
2360; 9; 19; 12.84
2370; 9; 18; 12.8
2380; 9; 18; 12.97
2390; 9; 18; 12.86
2400; 9; 18; 12.93
2410; 9; 18; 12.91
2420; 9; 19; 12.97
2430; 9; 19; 12.87
2440; 9; 19; 12.79
2450; 9; 19; 12.76
2460; 9; 19; 12.83
2470; 9; 19; 12.78
2480; 9; 19; 12.84
2490; 9; 19; 12.85
2500; 9; 19; 12.71
2510; 9; 19; 12.83
2520; 9; 19; 12.84
2530; 9; 19; 12.87
2540; 9; 19; 12.72
2550; 9; 19; 12.71
2560; 9; 18; 12.62
2570; 9; 18; 12.54
2580; 9; 18; 12.59
2590; 9; 18; 12.52
2600; 9; 18; 12.4
2610; 9; 18; 12.49
2620; 9; 18; 12.45
2630; 9; 18; 12.53
2640; 9; 19; 12.39
2650; 9; 19; 12.33
2660; 9; 18; 12.28
2670; 9; 18; 12.46
2680; 9; 18; 12.51
2690; 9; 18; 12.48
2700; 9; 18; 12.59
2710; 9; 18; 12.72
2720; 9; 18; 12.6
2730; 9; 18; 12.58
2740; 9; 18; 12.5
2750; 9; 18; 12.73
2760; 9; 19; 12.6
2770; 9; 18; 12.75
2780; 9; 19; 12.76
2790; 9; 19; 12.73
2800; 9; 19; 12.78
2810; 9; 19; 12.87
2820; 9; 19; 12.79
2830; 9; 19; 12.76
2840; 9; 19; 12.77
2850; 9; 19; 12.72
2860; 9; 19; 12.64
2870; 9; 19; 12.87
2880; 9; 19; 13.08
2890; 9; 19; 13.33
2900; 9; 19; 13.16
2910; 9; 19; 13.15
2920; 9; 19; 13.16
2930; 9; 19; 13.27
2940; 9; 19; 13.06
2950; 9; 19; 13.09
2960; 9; 19; 13.02
2970; 9; 19; 12.99
2980; 9; 18; 13.03
2990; 9; 19; 12.75
3000; 9; 18; 12.7
3010; 9; 18; 12.74
3020; 9; 19; 12.68
3030; 9; 19; 12.69
3040; 9; 19; 12.88
3050; 9; 19; 13.01
3060; 9; 19; 13.09
3070; 9; 19; 12.86
3080; 9; 19; 12.92
3090; 9; 19; 12.78
3100; 9; 19; 12.77
3110; 9; 19; 12.93
3120; 9; 19; 12.78
3130; 9; 19; 12.65
3140; 9; 18; 12.78
3150; 9; 19; 12.85
3160; 9; 19; 12.71
3170; 9; 19; 12.68
3180; 9; 19; 12.6
3190; 9; 18; 12.55
3200; 9; 18; 12.65
3210; 9; 18; 12.7
3220; 9; 18; 12.67
3230; 9; 19; 12.47
3240; 9; 18; 12.4
3250; 9; 19; 12.84
3260; 9; 19; 12.71
3270; 9; 19; 12.85
3280; 9; 19; 12.66
3290; 9; 19; 12.67
3300; 9; 19; 12.74
3310; 9; 19; 12.82
3320; 9; 19; 12.91
3330; 9; 18; 12.75
3340; 9; 19; 12.89
3350; 9; 19; 13.08
3360; 9; 19; 12.93
3370; 9; 19; 12.76
3380; 9; 18; 12.73
3390; 9; 18; 12.78
3400; 9; 18; 12.62
3410; 9; 18; 12.86
3420; 9; 18; 12.88
3430; 9; 18; 12.76
3440; 9; 19; 12.85
3450; 9; 19; 12.94
3460; 9; 18; 12.77
3470; 9; 19; 12.82
3480; 9; 19; 13.02
3490; 9; 19; 12.97
3500; 9; 19; 12.81
3510; 9; 19; 12.74
3520; 9; 19; 12.88
3530; 9; 19; 12.93
3540; 9; 18; 12.92
3550; 9; 18; 12.87
3560; 9; 18; 12.9
3570; 9; 19; 13.02
3580; 9; 19; 13.01
3590; 9; 19; 12.86
3600; 9; 19; 13.09
3610; 9; 19; 13.11
3620; 9; 19; 13.04
3630; 9; 19; 12.92
3640; 9; 19; 12.98
3650; 9; 19; 12.8
3660; 9; 19; 12.85
3670; 9; 19; 12.59
3680; 9; 19; 12.81
3690; 9; 19; 12.85
3700; 9; 19; 12.93
3710; 9; 19; 12.9
3720; 9; 19; 13.05
3730; 9; 19; 12.82
3740; 9; 18; 13.04
3750; 9; 19; 12.96
3760; 9; 18; 12.9
3770; 9; 18; 12.9
3780; 9; 18; 12.93
3790; 9; 18; 12.88
3800; 9; 19; 12.81
3810; 9; 19; 12.8
3820; 9; 19; 12.7
3830; 9; 19; 12.72
3840; 9; 18; 12.85
3850; 9; 18; 12.7
3860; 9; 19; 12.67
3870; 9; 19; 12.68
3880; 9; 19; 12.74
3890; 9; 19; 12.75
3900; 9; 19; 12.76
3910; 9; 19; 12.48
3920; 9; 19; 12.53
3930; 9; 19; 12.53
3940; 9; 19; 12.56
3950; 9; 19; 12.52
3960; 9; 19; 12.59
3970; 9; 19; 12.69
3980; 9; 19; 12.71
3990; 9; 19; 12.58
4000; 9; 19; 12.61
4010; 9; 18; 12.42
4020; 9; 19; 12.54
4030; 9; 19; 12.55
4040; 9; 19; 12.76
4050; 9; 19; 12.62
4060; 9; 19; 12.57
4070; 9; 19; 12.73
4080; 9; 18; 12.55
4090; 9; 18; 12.54
4100; 9; 18; 12.5
4110; 9; 18; 12.64
4120; 9; 19; 12.66
4130; 9; 18; 12.67
4140; 9; 19; 12.62
4150; 9; 19; 12.43
4160; 9; 19; 12.45
4170; 9; 19; 12.62
4180; 9; 19; 12.47
4190; 9; 19; 12.61
4200; 9; 19; 12.64
4210; 9; 19; 12.66
4220; 9; 19; 12.58
4230; 9; 19; 12.76
4240; 9; 19; 12.66
4250; 9; 19; 12.72
4260; 9; 19; 12.69
4270; 9; 19; 12.56
4280; 9; 19; 12.6
4290; 9; 19; 12.84
4300; 9; 19; 12.76
4310; 9; 19; 12.79
4320; 9; 19; 12.7
4330; 9; 19; 12.85
4340; 9; 19; 12.75
4350; 9; 19; 12.67
4360; 9; 19; 12.57
4370; 9; 19; 12.66
4380; 9; 19; 12.7
4390; 9; 19; 12.67
4400; 9; 18; 12.76
4410; 9; 18; 12.68
4420; 9; 18; 12.64
4430; 9; 18; 12.68
4440; 9; 19; 12.79
