gen; best; worst; avg
0; 16; 19; 18.36
0; 16; 19; 17.83
10; 12; 15; 14.11
20; 11; 16; 12.69
30; 10; 16; 11.98
40; 10; 16; 12.18
50; 9; 17; 12.2
60; 9; 17; 12.19
70; 9; 17; 12.24
80; 9; 17; 12.15
90; 9; 17; 12.45
100; 9; 17; 12.19
110; 9; 17; 12.42
120; 9; 18; 12.15
130; 9; 17; 12.09
140; 9; 17; 12.06
150; 9; 17; 12.12
160; 9; 17; 11.92
170; 9; 17; 12.35
180; 9; 18; 12.09
190; 9; 18; 12.39
200; 9; 17; 11.77
210; 9; 18; 12.13
220; 9; 18; 11.53
230; 9; 16; 11.5
240; 9; 18; 11.93
250; 9; 18; 11.83
260; 9; 18; 12.41
270; 9; 18; 12.58
280; 9; 17; 11.66
290; 9; 18; 11.65
300; 9; 17; 11.91
310; 9; 17; 11.54
320; 9; 18; 11.92
330; 9; 18; 12.5
340; 9; 17; 12.4
350; 9; 17; 12.29
360; 9; 17; 12.07
370; 9; 17; 12.22
380; 9; 17; 11.96
390; 9; 17; 12.44
400; 9; 18; 12.56
410; 9; 18; 12.59
420; 9; 18; 12.46
430; 9; 18; 11.63
440; 9; 18; 12.11
450; 9; 18; 12.01
460; 9; 19; 12.45
470; 9; 18; 13.19
480; 9; 19; 12.82
490; 9; 19; 12.79
500; 9; 19; 12.94
510; 9; 19; 12.44
520; 9; 19; 12.39
530; 9; 17; 12.46
540; 9; 18; 12.36
550; 9; 18; 12.19
560; 9; 18; 12.44
570; 9; 19; 12.76
580; 9; 18; 13.08
590; 9; 19; 12.57
600; 9; 18; 12.48
610; 9; 17; 12.2
620; 9; 17; 12.37
630; 9; 17; 12.5
640; 9; 17; 12.28
650; 9; 17; 12.1
660; 9; 17; 12.63
670; 9; 18; 11.53
680; 9; 18; 11.66
690; 9; 18; 11.38
700; 9; 18; 11.94
710; 9; 18; 11.48
720; 9; 18; 11.78
730; 9; 18; 11.96
740; 9; 18; 12.65
750; 9; 18; 12.06
760; 9; 17; 12.27
770; 9; 19; 12.16
780; 9; 19; 12
790; 9; 18; 12.18
800; 9; 18; 12.6
810; 9; 18; 12.09
820; 9; 18; 12.16
830; 9; 18; 11.99
840; 9; 18; 12.18
850; 9; 18; 11.97
860; 9; 18; 12.15
870; 9; 18; 12.01
880; 9; 18; 12.07
890; 9; 18; 12.6
900; 9; 18; 11.95
910; 9; 17; 12.13
920; 9; 17; 12.15
930; 9; 17; 11.67
940; 9; 17; 11.71
950; 9; 16; 12.11
960; 9; 17; 11.71
970; 9; 16; 11.68
980; 9; 16; 11.21
990; 9; 16; 11.47
1000; 9; 17; 11.11
1010; 9; 17; 11.28
1020; 9; 17; 11.61
1030; 8; 18; 11.27
1040; 8; 18; 11.84
1050; 8; 18; 11.85
1060; 8; 18; 11.78
1070; 8; 18; 11.57
1080; 8; 18; 11.67
1090; 8; 18; 11.27
1100; 8; 18; 11.38
1110; 8; 17; 12.13
1120; 8; 18; 11.93
1130; 8; 18; 12.25
1140; 8; 18; 12.03
1150; 8; 18; 11.8
1160; 8; 18; 12.21
1170; 8; 17; 12.33
1180; 8; 17; 11.95
1190; 8; 17; 11.93
1200; 8; 18; 11.57
1210; 8; 18; 11.84
1220; 8; 18; 11.41
1230; 8; 18; 11.79
1240; 8; 18; 11.72
1250; 8; 17; 11.23
1260; 8; 17; 11.83
1270; 8; 17; 11.78
1280; 8; 19; 11.52
1290; 8; 18; 12
1300; 8; 18; 11.84
1310; 8; 18; 11.9
1320; 8; 17; 11.93
1330; 8; 17; 12.18
1340; 8; 18; 12.03
1350; 8; 18; 12.57
1360; 8; 18; 12.57
1370; 8; 18; 12.09
1380; 8; 18; 11.93
1390; 8; 18; 11.85
1400; 8; 18; 11.84
1410; 8; 18; 11.77
1420; 8; 18; 11.81
1430; 8; 18; 12.14
1440; 8; 18; 11.83
1450; 8; 17; 12.4
1460; 8; 16; 12.12
1470; 8; 17; 12.25
1480; 8; 17; 12.31
1490; 8; 17; 11.59
1500; 8; 17; 11.36
1510; 8; 17; 11.86
1520; 8; 18; 11.78
1530; 8; 18; 12.27
1540; 8; 18; 11.92
1550; 8; 17; 11.83
1560; 8; 18; 12.14
1570; 8; 17; 12
1580; 8; 17; 11.85
1590; 8; 17; 11.88
1600; 8; 17; 12.28
1610; 8; 17; 12.25
1620; 8; 18; 12.37
1630; 8; 17; 12
1640; 8; 18; 12.12
1650; 8; 17; 12.84
1660; 8; 17; 12.28
1670; 8; 18; 12.21
1680; 8; 18; 12.84
1690; 8; 18; 12.35
