gen; best; worst; avg
0; 24; 27; 26.5
0; 24; 27; 26.12
10; 22; 27; 24.84
20; 19; 27; 23.85
30; 17; 27; 22.91
40; 17; 27; 22.42
50; 16; 27; 22.47
60; 16; 27; 22.08
70; 16; 27; 21.99
80; 16; 27; 21.99
90; 16; 27; 21.89
100; 16; 27; 22.12
110; 16; 27; 21.96
120; 16; 27; 22
130; 16; 27; 21.77
140; 16; 27; 21.86
150; 15; 27; 21.56
160; 15; 27; 21.34
170; 15; 27; 21.35
180; 15; 27; 21.35
190; 15; 27; 21.47
200; 15; 27; 21.17
210; 15; 27; 21.35
220; 15; 27; 21.29
230; 15; 27; 20.97
240; 15; 27; 21.08
250; 15; 27; 21.26
260; 15; 27; 21.26
270; 14; 27; 21.24
280; 14; 27; 20.74
290; 14; 27; 20.66
300; 14; 27; 20.73
310; 14; 27; 20.93
320; 14; 27; 20.76
330; 14; 27; 20.63
340; 14; 27; 20.41
350; 14; 27; 20.41
360; 14; 27; 20.6
370; 14; 27; 20.66
380; 14; 27; 20.67
390; 14; 27; 20.61
400; 14; 27; 20.61
410; 14; 27; 20.54
420; 14; 27; 20.43
430; 14; 27; 20.56
440; 14; 27; 20.3
450; 14; 27; 20.37
460; 14; 27; 20.42
470; 14; 27; 20.58
480; 14; 27; 20.59
490; 14; 27; 20.45
500; 14; 27; 20.5
510; 14; 27; 20.62
520; 14; 27; 20.54
530; 14; 27; 20.58
540; 14; 26; 20.5
550; 14; 27; 20.33
560; 14; 27; 20.27
570; 14; 27; 20.32
580; 14; 27; 20.25
590; 14; 27; 20.5
600; 14; 27; 20.67
610; 14; 27; 20.58
620; 14; 27; 20.79
630; 14; 27; 20.67
640; 14; 27; 20.54
650; 14; 27; 20.53
660; 14; 27; 20.46
670; 14; 27; 20.57
680; 14; 27; 20.42
690; 14; 27; 20.44
700; 14; 27; 20.43
710; 14; 27; 20.33
720; 14; 27; 20.17
730; 14; 27; 20.18
740; 14; 27; 20.26
750; 14; 27; 20.41
760; 14; 27; 20.23
770; 14; 27; 20.41
780; 14; 27; 20.37
790; 14; 27; 20.43
800; 14; 27; 20.34
810; 14; 27; 20.32
820; 14; 27; 20.44
830; 14; 27; 20.27
840; 14; 27; 20.36
850; 14; 27; 20.18
860; 14; 26; 20.29
870; 14; 26; 20.2
880; 14; 26; 20.3
890; 14; 27; 20.25
900; 14; 27; 20.58
910; 14; 26; 20.4
920; 14; 26; 20.34
930; 14; 26; 20.37
940; 14; 27; 20.25
950; 14; 27; 20.18
960; 14; 26; 20.18
970; 14; 26; 20.36
980; 14; 27; 20.34
990; 14; 27; 20.47
1000; 14; 26; 20.42
1010; 14; 27; 20.27
1020; 14; 27; 20.38
1030; 14; 27; 20.46
1040; 14; 27; 20.61
1050; 14; 27; 20.56
1060; 14; 27; 20.41
1070; 14; 27; 20.35
1080; 14; 27; 20.37
1090; 14; 27; 20.33
1100; 14; 27; 20.4
1110; 14; 27; 20.29
1120; 14; 26; 20.19
1130; 14; 26; 20.17
1140; 14; 26; 20.33
1150; 14; 27; 20.38
1160; 14; 27; 20.32
1170; 14; 27; 20.19
1180; 14; 27; 20.28
1190; 14; 27; 20.37
1200; 14; 27; 20.4
1210; 14; 27; 20.33
1220; 14; 27; 20.37
1230; 14; 26; 20.1
1240; 14; 26; 20.19
1250; 14; 26; 20
1260; 14; 26; 20.18
1270; 14; 27; 20.41
1280; 14; 27; 20.39
1290; 14; 27; 20.44
1300; 14; 27; 20.53
1310; 14; 27; 20.33
1320; 14; 27; 20.33
1330; 14; 27; 20.45
1340; 14; 27; 20.32
1350; 14; 27; 20.37
1360; 14; 27; 20.45
1370; 14; 27; 20.45
1380; 14; 27; 20.51
1390; 14; 27; 20.45
1400; 14; 27; 20.48
1410; 14; 27; 20.62
1420; 14; 27; 20.45
1430; 14; 27; 20.45
1440; 14; 27; 20.65
1450; 14; 27; 20.61
1460; 14; 27; 20.44
1470; 14; 27; 20.45
1480; 14; 27; 20.46
1490; 14; 27; 20.46
1500; 14; 27; 20.6
1510; 14; 27; 20.76
1520; 14; 27; 20.72
1530; 14; 27; 20.56
1540; 14; 27; 20.73
1550; 14; 27; 20.63
1560; 14; 27; 20.61
1570; 14; 27; 20.64
1580; 14; 27; 20.58
1590; 14; 27; 20.5
1600; 14; 27; 20.53
1610; 14; 27; 20.35
1620; 14; 27; 20.56
1630; 14; 27; 20.42
1640; 14; 27; 20.66
1650; 14; 27; 20.43
1660; 14; 27; 20.51
1670; 14; 27; 20.67
1680; 14; 27; 20.7
1690; 14; 27; 20.76
1700; 14; 27; 20.86
1710; 14; 27; 20.55
1720; 14; 27; 20.64
1730; 14; 27; 20.69
1740; 14; 27; 20.66
1750; 14; 27; 20.43
1760; 14; 27; 20.43
1770; 14; 27; 20.54
1780; 14; 27; 20.45
1790; 14; 27; 20.52
1800; 14; 27; 20.66
1810; 14; 27; 20.77
1820; 14; 27; 20.55
1830; 14; 27; 20.47
1840; 14; 27; 20.5
1850; 14; 27; 20.56
1860; 14; 27; 20.42
1870; 14; 27; 20.42
1880; 14; 27; 20.45
1890; 14; 27; 20.54
1900; 14; 27; 20.43
1910; 14; 27; 20.63
1920; 14; 27; 20.55
1930; 14; 26; 20.59
1940; 14; 27; 20.43
1950; 14; 27; 20.37
1960; 14; 27; 20.55
1970; 14; 27; 20.41
1980; 14; 27; 20.11
1990; 14; 27; 20.23
2000; 14; 27; 20.17
2010; 14; 27; 20.17
2020; 14; 27; 20.35
2030; 14; 27; 20.38
2040; 14; 27; 20.4
2050; 14; 26; 20.28
2060; 14; 26; 20.24
2070; 14; 26; 20.23
2080; 14; 26; 20.24
2090; 14; 27; 20.12
2100; 14; 27; 20.05
2110; 14; 27; 20.2
2120; 14; 27; 20.18
2130; 14; 27; 20.11
2140; 14; 27; 20.22
2150; 14; 27; 20.17
2160; 14; 27; 20.17
2170; 14; 27; 20.22
2180; 14; 27; 20.15
2190; 14; 27; 20.42
2200; 14; 27; 20.47
2210; 14; 27; 20.42
2220; 14; 27; 20.35
2230; 14; 27; 20.2
2240; 14; 27; 20.23
2250; 14; 27; 20.42
2260; 14; 27; 20.33
2270; 14; 27; 20.22
2280; 14; 27; 20.32
2290; 14; 27; 20.28
2300; 14; 27; 20.27
2310; 14; 27; 20.76
2320; 14; 27; 20.54
2330; 14; 27; 20.42
2340; 14; 26; 20.35
2350; 14; 27; 20.33
2360; 14; 27; 20.42
2370; 14; 27; 20.4
2380; 14; 27; 20.36
2390; 14; 27; 20.41
2400; 14; 27; 20.44
2410; 14; 27; 20.42
2420; 14; 27; 20.35
2430; 14; 27; 20.3
2440; 14; 27; 20.44
2450; 14; 27; 20.58
2460; 14; 27; 20.53
2470; 14; 27; 20.83
2480; 14; 27; 20.66
2490; 14; 27; 20.47
2500; 14; 27; 20.67
2510; 14; 27; 20.65
2520; 14; 27; 20.57
2530; 14; 27; 20.58
2540; 14; 27; 20.62
2550; 14; 27; 20.65
2560; 14; 27; 20.5
2570; 14; 27; 20.36
2580; 14; 27; 20.37
2590; 14; 27; 20.41
2600; 14; 27; 20.24
2610; 14; 27; 20.34
2620; 14; 27; 20.24
2630; 14; 27; 20.12
2640; 14; 27; 20.18
2650; 14; 27; 20.37
2660; 14; 27; 20.49
2670; 14; 26; 20.2
2680; 14; 27; 20.46
2690; 14; 26; 20.34
2700; 14; 26; 20.45
2710; 14; 27; 20.17
2720; 14; 27; 20.4
2730; 14; 27; 20.5
2740; 14; 27; 20.42
2750; 14; 27; 20.33
2760; 14; 27; 20.25
2770; 14; 27; 20.24
2780; 14; 27; 20.26
2790; 14; 27; 20.42
2800; 14; 27; 20.37
2810; 14; 27; 20.44
2820; 14; 27; 20.51
2830; 14; 27; 20.36
2840; 14; 27; 20.56
2850; 14; 27; 20.5
2860; 14; 27; 20.53
2870; 14; 27; 20.55
2880; 14; 27; 20.51
2890; 14; 27; 20.55
2900; 14; 27; 20.29
2910; 14; 27; 20.28
2920; 14; 27; 20.18
2930; 14; 26; 20.41
2940; 14; 26; 20.27
2950; 14; 27; 20.3
2960; 14; 27; 20.39
2970; 14; 27; 20.46
2980; 14; 27; 20.41
2990; 14; 27; 20.37
3000; 14; 27; 20.32
3010; 14; 26; 20.43
3020; 14; 26; 20.5
3030; 14; 27; 20.47
3040; 14; 27; 20.52
3050; 14; 27; 20.34
3060; 14; 27; 20.41
3070; 14; 27; 20.39
3080; 14; 27; 20.44
3090; 14; 27; 20.42
3100; 14; 27; 20.37
3110; 14; 26; 20.32
3120; 14; 26; 20.4
3130; 14; 26; 20.25
3140; 14; 27; 20.25
3150; 14; 27; 20.38
3160; 14; 27; 20.29
3170; 14; 27; 20.53
3180; 14; 27; 20.39
3190; 14; 27; 20.3
3200; 14; 27; 20.2
3210; 14; 27; 20.19
3220; 14; 27; 20.18
3230; 14; 26; 20.17
3240; 14; 26; 20.24
3250; 14; 27; 20.43
3260; 14; 26; 20.32
3270; 14; 27; 20.26
3280; 14; 26; 20.37
3290; 14; 26; 20.39
3300; 14; 26; 20.38
3310; 14; 26; 20.29
3320; 14; 27; 20.48
3330; 14; 27; 20.38
3340; 14; 27; 20.31
3350; 14; 27; 20.46
3360; 14; 27; 20.26
3370; 14; 27; 20.46
3380; 14; 27; 20.56
3390; 14; 27; 20.51
3400; 14; 27; 20.26
3410; 14; 27; 20.44
3420; 14; 27; 20.29
3430; 14; 27; 20.24
3440; 14; 27; 20.15
3450; 14; 27; 20.23
3460; 14; 27; 20.3
3470; 14; 27; 20.32
3480; 14; 27; 20.26
3490; 14; 27; 20.17
3500; 14; 26; 20.31
3510; 14; 27; 20.29
3520; 14; 27; 20.2
3530; 14; 27; 20.24
3540; 14; 26; 20.26
3550; 14; 26; 20.42
3560; 14; 26; 20.33
3570; 14; 26; 20.37
3580; 14; 26; 20.26
3590; 14; 26; 20.31
3600; 14; 27; 20.36
3610; 14; 27; 20.37
3620; 14; 27; 20.25
3630; 14; 27; 20.41
3640; 14; 27; 20.29
3650; 14; 27; 20.31
3660; 14; 27; 20.31
3670; 14; 27; 20.41
3680; 14; 27; 20.35
3690; 14; 27; 20.57
3700; 14; 27; 20.54
3710; 14; 27; 20.33
3720; 14; 27; 20.44
3730; 14; 27; 20.59
3740; 14; 27; 20.39
3750; 14; 27; 20.41
3760; 14; 27; 20.51
3770; 14; 27; 20.58
3780; 14; 27; 20.52
3790; 14; 27; 20.6
3800; 14; 27; 20.36
3810; 14; 27; 20.58
3820; 14; 27; 20.53
3830; 14; 27; 20.33
3840; 14; 27; 20.59
3850; 14; 27; 20.67
3860; 14; 27; 20.62
3870; 14; 27; 20.45
3880; 14; 26; 20.42
3890; 14; 27; 20.49
3900; 14; 26; 20.55
3910; 14; 26; 20.64
3920; 14; 27; 20.53
3930; 14; 27; 20.72
3940; 14; 27; 20.73
3950; 14; 27; 20.75
3960; 14; 27; 20.75
3970; 14; 27; 20.78
3980; 14; 27; 20.72
3990; 14; 27; 20.68
4000; 14; 27; 20.56
4010; 14; 27; 20.53
4020; 14; 27; 20.5
4030; 14; 27; 20.46
4040; 14; 27; 20.31
4050; 14; 27; 20.38
4060; 14; 27; 20.34
4070; 14; 27; 20.54
4080; 14; 27; 20.3
4090; 14; 27; 20.23
4100; 14; 27; 20.34
4110; 14; 27; 20.17
4120; 14; 27; 20.07
4130; 14; 27; 20.01
4140; 14; 26; 20
4150; 14; 27; 20.19
4160; 14; 27; 20.23
4170; 14; 26; 20.4
4180; 14; 27; 20.09
4190; 14; 27; 20.15
4200; 14; 27; 20.11
4210; 14; 27; 20.28
4220; 14; 27; 20.25
4230; 14; 27; 20.23
4240; 14; 27; 20.27
4250; 14; 27; 20.2
4260; 14; 27; 20.22
4270; 14; 27; 20.14
4280; 14; 27; 20.11
4290; 14; 27; 20.27
4300; 14; 27; 20.34
4310; 14; 27; 20.4
4320; 14; 27; 20.57
4330; 14; 27; 20.47
4340; 14; 27; 20.46
4350; 14; 27; 20.65
4360; 14; 27; 20.69
4370; 14; 27; 20.43
4380; 14; 27; 20.45
4390; 14; 27; 20.41
4400; 14; 27; 20.49
4410; 14; 27; 20.35
4420; 14; 26; 20.45
4430; 14; 26; 20.48
4440; 14; 26; 20.28
4450; 14; 27; 20.34
4460; 14; 27; 20.44
4470; 14; 27; 20.47
4480; 14; 27; 20.38
4490; 14; 27; 20.55
4500; 14; 26; 20.41
4510; 14; 26; 20.4
4520; 14; 27; 20.47
4530; 14; 27; 20.58
4540; 14; 27; 20.43
4550; 14; 27; 20.48
4560; 14; 27; 20.51
4570; 14; 27; 20.57
4580; 14; 27; 20.53
4590; 14; 27; 20.63
4600; 14; 27; 20.51
4610; 14; 27; 20.53
4620; 14; 27; 20.45
4630; 14; 27; 20.54
4640; 14; 27; 20.31
4650; 14; 27; 20.51
4660; 14; 27; 20.55
4670; 14; 27; 20.62
4680; 14; 27; 20.65
4690; 14; 27; 20.73
4700; 14; 27; 20.47
4710; 14; 27; 20.61
4720; 14; 27; 20.54
4730; 14; 27; 20.38
4740; 14; 26; 20.26
4750; 14; 27; 20.13
4760; 14; 27; 20.33
4770; 14; 27; 20.16
4780; 14; 27; 20.39
4790; 14; 27; 20.19
4800; 14; 27; 20.33
4810; 14; 27; 20.31
4820; 14; 27; 20.37
4830; 14; 26; 20.46
4840; 14; 27; 20.31
4850; 14; 27; 20.38
4860; 14; 27; 20.23
4870; 14; 27; 20.13
4880; 14; 27; 20.41
4890; 14; 26; 20.45
4900; 14; 26; 20.27
4910; 14; 26; 20.3
4920; 14; 26; 20.36
4930; 14; 26; 20.16
4940; 14; 26; 20.02
4950; 14; 26; 20.25
4960; 14; 27; 20.12
4970; 14; 27; 20.12
4980; 14; 27; 20.27
4990; 14; 27; 20.39
5000; 14; 27; 20.21
5010; 14; 27; 20.15
5020; 14; 27; 19.99
5030; 14; 26; 19.99
5040; 14; 26; 20.05
5050; 14; 26; 20.17
5060; 14; 26; 20.05
5070; 14; 26; 20.23
5080; 14; 27; 20.34
5090; 14; 27; 20.23
5100; 14; 27; 20.42
5110; 14; 27; 20.34
5120; 14; 27; 20.34
5130; 14; 27; 20.4
5140; 14; 27; 20.39
5150; 14; 27; 20.51
5160; 14; 27; 20.46
5170; 14; 27; 20.65
5180; 14; 27; 20.5
5190; 14; 27; 20.39
5200; 14; 27; 20.39
5210; 14; 27; 20.53
5220; 14; 27; 20.62
5230; 14; 27; 20.56
5240; 14; 27; 20.5
5250; 14; 27; 20.54
5260; 14; 27; 20.44
5270; 14; 27; 20.69
5280; 14; 27; 20.62
5290; 14; 27; 20.6
5300; 14; 27; 20.47
5310; 14; 27; 20.4
5320; 14; 27; 20.39
5330; 14; 27; 20.28
5340; 14; 27; 20.38
5350; 14; 27; 20.42
5360; 14; 27; 20.42
5370; 14; 27; 20.43
5380; 14; 27; 20.45
5390; 14; 27; 20.2
5400; 14; 27; 20.35
5410; 14; 27; 20.41
5420; 14; 27; 20.41
5430; 14; 27; 20.48
5440; 14; 27; 20.7
5450; 14; 27; 20.6
5460; 14; 27; 20.44
5470; 14; 27; 20.48
5480; 14; 27; 20.5
5490; 14; 27; 20.43
5500; 14; 27; 20.26
5510; 14; 27; 20.4
5520; 14; 27; 20.54
5530; 14; 27; 20.33
5540; 14; 27; 20.51
5550; 14; 27; 20.66
5560; 14; 27; 20.53
5570; 14; 27; 20.53
5580; 14; 27; 20.25
5590; 14; 27; 20.33
5600; 14; 27; 20.38
5610; 14; 27; 20.46
5620; 14; 27; 20.4
5630; 14; 27; 20.46
5640; 14; 27; 20.46
5650; 14; 27; 20.5
5660; 14; 27; 20.42
5670; 14; 27; 20.41
5680; 14; 27; 20.47
5690; 14; 27; 20.5
5700; 14; 27; 20.55
5710; 14; 27; 20.46
5720; 14; 27; 20.66
5730; 14; 27; 20.69
5740; 14; 27; 20.54
5750; 14; 27; 20.57
5760; 14; 27; 20.53
5770; 14; 27; 20.62
5780; 14; 27; 20.38
5790; 14; 27; 20.24
5800; 14; 27; 20.41
5810; 14; 27; 20.72
5820; 14; 27; 20.74
5830; 14; 27; 20.65
5840; 14; 27; 20.54
5850; 14; 27; 20.54
5860; 14; 27; 20.62
5870; 14; 27; 20.35
5880; 14; 27; 20.34
5890; 14; 27; 20.35
5900; 14; 27; 20.54
5910; 14; 26; 20.59
5920; 14; 26; 20.55
5930; 14; 27; 20.62
5940; 14; 27; 20.6
5950; 14; 27; 20.93
5960; 14; 27; 20.6
5970; 14; 27; 20.74
5980; 14; 27; 20.7
5990; 14; 27; 20.62
6000; 14; 27; 20.69
6010; 14; 27; 20.69
6020; 14; 27; 20.68
6030; 14; 27; 20.67
6040; 14; 27; 20.76
6050; 14; 27; 20.53
6060; 14; 27; 20.64
6070; 14; 27; 20.73
6080; 14; 27; 20.78
6090; 14; 27; 20.73
6100; 14; 27; 20.69
6110; 14; 27; 20.71
6120; 14; 27; 20.68
6130; 14; 27; 20.71
6140; 14; 27; 20.51
6150; 14; 27; 20.62
6160; 14; 27; 20.64
6170; 14; 27; 20.84
6180; 14; 27; 20.69
6190; 14; 27; 20.69
6200; 14; 27; 20.66
6210; 14; 27; 20.58
6220; 14; 27; 20.76
6230; 14; 27; 20.48
6240; 14; 27; 20.83
6248; 14; 27; 20.57
