gen; best; worst; avg
0; 14; 16; 15.77
0; 14; 16; 15.62
10; 13; 16; 15.24
20; 13; 16; 15.27
30; 13; 16; 15.16
40; 13; 17; 15.21
50; 12; 17; 15.15
60; 12; 16; 14.89
70; 12; 16; 14.74
80; 11; 16; 14.58
90; 11; 16; 14.42
100; 11; 16; 14.4
110; 11; 16; 14.48
120; 10; 16; 14.46
130; 10; 16; 14.27
140; 10; 16; 14.21
150; 10; 16; 14.28
160; 10; 16; 14.19
170; 10; 16; 14.18
180; 10; 16; 14.3
190; 10; 16; 14.37
200; 9; 16; 14.15
210; 9; 16; 14.09
220; 9; 16; 14.04
230; 9; 16; 14.03
240; 9; 16; 14
250; 9; 16; 13.97
260; 9; 16; 13.98
270; 9; 16; 13.94
280; 9; 16; 13.9
290; 9; 16; 13.95
300; 9; 16; 14.03
310; 9; 16; 13.99
320; 9; 16; 13.98
330; 9; 16; 14.09
340; 9; 16; 13.85
350; 9; 16; 14
360; 9; 16; 13.99
370; 9; 16; 14.12
380; 9; 16; 13.99
390; 9; 16; 14.12
400; 9; 16; 14.07
410; 9; 16; 14.03
420; 9; 16; 13.96
430; 9; 16; 13.94
440; 9; 16; 14.04
450; 9; 16; 14.01
460; 9; 16; 13.99
470; 9; 16; 13.9
480; 9; 16; 13.83
490; 9; 16; 13.76
500; 9; 16; 13.69
510; 9; 16; 13.81
520; 9; 16; 13.8
530; 9; 16; 13.83
540; 9; 16; 13.72
550; 9; 17; 13.83
560; 9; 17; 13.86
570; 9; 17; 13.73
580; 9; 17; 13.72
590; 9; 17; 13.77
600; 9; 16; 13.71
610; 8; 16; 13.63
620; 8; 16; 13.57
630; 8; 16; 13.46
640; 8; 16; 13.29
650; 8; 16; 13.23
660; 8; 16; 13.31
670; 8; 16; 13.28
680; 8; 16; 13.24
690; 8; 16; 13.32
700; 8; 16; 13.35
710; 8; 16; 13.34
720; 8; 16; 13.36
730; 8; 16; 13.49
740; 8; 16; 13.55
750; 8; 16; 13.55
760; 8; 16; 13.67
770; 8; 16; 13.54
780; 8; 16; 13.66
790; 8; 16; 13.79
800; 8; 16; 13.77
810; 8; 16; 13.86
820; 8; 16; 13.8
830; 8; 16; 13.73
840; 8; 16; 13.78
850; 8; 16; 13.83
860; 8; 16; 13.8
870; 8; 16; 13.84
880; 8; 16; 13.76
890; 8; 16; 13.86
900; 8; 16; 13.86
910; 8; 16; 13.74
920; 8; 16; 13.81
930; 8; 16; 13.87
940; 8; 16; 13.85
950; 8; 16; 13.91
960; 8; 16; 13.73
970; 8; 16; 13.73
980; 8; 16; 13.79
990; 8; 16; 13.6
1000; 8; 16; 13.61
1010; 8; 16; 13.63
1020; 8; 16; 13.65
1030; 8; 16; 13.7
1040; 8; 16; 13.79
1050; 8; 16; 13.87
1060; 8; 16; 13.72
1070; 8; 16; 13.66
1080; 8; 16; 13.72
1090; 8; 16; 13.7
1100; 8; 16; 13.78
1110; 8; 16; 13.79
1120; 8; 16; 13.83
1130; 8; 16; 13.79
1140; 8; 16; 13.62
1150; 8; 16; 13.8
1160; 8; 16; 13.72
1170; 8; 16; 13.79
1180; 8; 16; 13.73
1190; 8; 16; 13.73
1200; 8; 16; 13.82
1210; 8; 16; 13.65
1220; 8; 16; 13.57
1230; 8; 16; 13.69
1240; 8; 16; 13.79
1250; 8; 16; 13.47
1260; 8; 16; 13.5
1270; 8; 16; 13.66
1280; 8; 16; 13.67
1290; 8; 16; 13.65
1300; 8; 16; 13.71
1310; 8; 16; 13.7
1320; 8; 16; 13.7
1330; 8; 16; 13.77
1340; 8; 16; 13.76
1350; 8; 16; 13.63
1360; 8; 16; 13.58
1370; 8; 16; 13.71
1380; 8; 16; 13.8
1390; 8; 16; 13.73
1400; 8; 16; 13.91
1410; 8; 16; 13.85
1420; 8; 16; 13.74
1430; 8; 16; 13.76
1440; 8; 16; 13.84
1450; 8; 16; 13.88
1460; 8; 16; 13.93
1470; 8; 16; 13.84
1480; 8; 16; 13.82
1490; 8; 16; 13.81
1500; 8; 16; 13.86
1510; 8; 16; 13.81
1520; 8; 16; 13.86
1530; 8; 16; 13.9
1540; 8; 16; 13.85
1550; 8; 16; 13.95
1560; 8; 16; 13.88
1570; 8; 16; 13.78
1580; 8; 16; 13.82
1590; 8; 16; 13.77
1600; 8; 16; 13.74
1610; 8; 16; 13.86
1620; 8; 16; 13.86
1630; 8; 16; 13.84
1640; 8; 16; 14.03
1650; 8; 16; 14
1660; 8; 16; 14.14
1670; 8; 16; 14.01
1680; 8; 16; 13.98
1690; 8; 16; 13.94
1700; 8; 16; 13.9
1710; 8; 16; 13.97
1720; 8; 16; 13.9
1730; 8; 16; 13.77
1740; 8; 16; 13.79
1750; 8; 16; 13.94
1760; 8; 16; 13.87
1770; 8; 16; 13.82
1780; 8; 16; 13.65
1790; 8; 16; 13.64
1800; 8; 16; 13.65
1810; 8; 16; 13.66
1820; 8; 16; 13.57
1830; 8; 16; 13.6
1840; 8; 16; 13.54
1850; 8; 16; 13.66
1860; 8; 16; 13.62
1870; 8; 16; 13.65
1880; 8; 16; 13.66
1890; 8; 16; 13.76
1900; 8; 16; 13.74
1910; 8; 16; 13.73
1920; 8; 16; 13.66
1930; 8; 16; 13.73
1940; 7; 16; 13.64
1950; 7; 16; 13.5
1960; 7; 16; 13.49
1970; 7; 16; 13.61
1980; 7; 16; 13.59
1990; 7; 16; 13.49
2000; 7; 16; 13.48
2010; 7; 16; 13.56
2020; 7; 16; 13.53
2030; 7; 16; 13.49
2040; 7; 16; 13.49
2050; 7; 16; 13.39
2060; 7; 16; 13.53
2070; 7; 16; 13.43
2080; 7; 16; 13.55
2090; 7; 16; 13.44
2100; 7; 16; 13.61
2110; 7; 16; 13.44
2120; 7; 16; 13.54
2130; 7; 16; 13.48
2140; 7; 16; 13.68
