gen; best; worst; avg
0; 24; 27; 26.66
0; 24; 27; 26.37
10; 22; 27; 24.9
20; 19; 27; 23.9
30; 19; 27; 23.7
40; 18; 27; 23.84
50; 18; 27; 23.53
60; 18; 27; 23.89
70; 18; 27; 22.99
80; 18; 27; 23.31
90; 18; 27; 23.13
100; 18; 27; 23.05
110; 18; 27; 23.12
120; 18; 27; 23.01
130; 18; 27; 22.84
140; 18; 27; 22.65
150; 17; 27; 22.75
160; 17; 27; 22.6
170; 17; 27; 22.14
180; 16; 27; 22.09
190; 16; 27; 21.71
200; 15; 27; 21.87
210; 15; 27; 21.62
220; 15; 27; 21.24
230; 15; 27; 21.53
240; 15; 27; 21.47
250; 15; 27; 20.93
260; 15; 27; 20.98
270; 15; 27; 21.21
280; 15; 27; 21.12
290; 15; 27; 21.41
300; 15; 27; 21.49
310; 15; 27; 21.5
320; 15; 27; 21.23
330; 15; 27; 21.15
340; 15; 27; 21.33
350; 15; 27; 21.57
360; 15; 27; 21.48
370; 15; 27; 21.42
380; 15; 27; 21.5
390; 14; 27; 20.93
400; 14; 27; 20.99
410; 14; 27; 20.99
420; 14; 27; 21.05
430; 14; 27; 20.98
440; 14; 27; 21.36
450; 14; 27; 20.81
460; 14; 27; 20.91
470; 14; 27; 20.9
480; 14; 27; 21.13
490; 14; 27; 20.75
500; 14; 27; 20.46
510; 14; 27; 20.86
520; 14; 27; 20.6
530; 14; 27; 20.83
540; 14; 27; 20.62
550; 14; 27; 20.98
560; 14; 27; 20.95
570; 14; 27; 20.91
580; 14; 27; 20.61
590; 14; 27; 20.44
600; 14; 27; 20.68
610; 14; 27; 20.62
620; 14; 27; 20.26
630; 14; 27; 20.61
640; 14; 27; 20.6
650; 13; 27; 20.68
660; 13; 27; 20.77
670; 13; 27; 20.69
680; 13; 27; 20.75
690; 13; 26; 20.27
700; 13; 26; 20.27
710; 13; 27; 20.33
720; 12; 27; 20.14
730; 12; 26; 20.03
740; 12; 27; 19.76
750; 12; 27; 20.1
760; 12; 27; 20.13
770; 12; 27; 19.98
780; 12; 27; 20.36
790; 12; 27; 20.56
800; 12; 27; 20.49
810; 12; 27; 20.71
820; 12; 27; 20.62
830; 12; 27; 20.59
840; 12; 27; 20.6
850; 12; 27; 20.28
860; 12; 27; 20.38
870; 12; 27; 20.26
880; 12; 27; 20.02
