gen; best; worst; avg
0; 92; 105; 99.77
0; 92; 102; 97.85
10; 88; 91; 88.99
20; 83; 87; 84.8
30; 80; 83; 81.38
40; 77; 80; 78.22
50; 75; 77; 76.04
60; 74; 76; 75.15
70; 74; 77; 74.45
80; 73; 77; 73.87
90; 72; 78; 73.57
100; 71; 79; 72.96
110; 71; 76; 71.41
120; 71; 77; 71.43
130; 71; 78; 71.7
140; 70; 77; 71.54
150; 70; 76; 70.77
160; 70; 77; 71.05
170; 70; 71; 70.08
180; 70; 71; 70.11
190; 69; 72; 70.05
200; 68; 71; 68.58
210; 68; 71; 68.51
220; 68; 71; 68.28
230; 68; 71; 68.17
240; 68; 69; 68.22
250; 68; 69; 68.12
260; 68; 69; 68.09
270; 68; 70; 68.15
280; 68; 69; 68.13
290; 68; 69; 68.05
300; 68; 69; 68.15
310; 68; 69; 68.13
320; 68; 69; 68.17
330; 68; 70; 68.14
340; 68; 69; 68.1
350; 68; 69; 68.1
360; 68; 69; 68.16
370; 68; 69; 68.15
380; 68; 71; 68.12
390; 67; 69; 67.57
400; 67; 70; 67.19
410; 67; 71; 67.3
420; 67; 71; 67.29
430; 67; 72; 67.5
440; 67; 72; 67.55
450; 67; 70; 67.61
460; 67; 70; 67.47
470; 67; 72; 67.5
480; 67; 72; 67.45
490; 66; 72; 67.39
500; 66; 74; 66.94
510; 66; 69; 66.66
520; 66; 68; 66.24
530; 66; 67; 66.19
540; 66; 67; 66.08
550; 66; 67; 66.15
560; 66; 67; 66.06
570; 66; 67; 66.1
580; 66; 67; 66.09
590; 66; 67; 66.13
600; 66; 67; 66.1
610; 66; 68; 66.14
620; 66; 67; 66.09
630; 66; 67; 66.09
640; 66; 67; 66.08
650; 66; 67; 66.15
660; 66; 67; 66.12
670; 66; 67; 66.15
680; 66; 67; 66.13
690; 66; 67; 66.15
700; 66; 67; 66.11
710; 66; 67; 66.1
720; 66; 67; 66.07
730; 66; 67; 66.14
740; 66; 67; 66.13
750; 66; 67; 66.16
760; 65; 67; 65.19
770; 65; 68; 65.25
780; 65; 68; 65.23
790; 65; 66; 65.21
800; 65; 67; 65.2
810; 65; 66; 65.14
820; 64; 65; 64.29
830; 64; 66; 64.21
840; 64; 66; 64.12
850; 64; 66; 64.11
860; 64; 65; 64.23
870; 64; 65; 64.17
880; 64; 65; 64.12
890; 63; 65; 64.1
900; 63; 65; 63.27
910; 63; 67; 63.36
920; 63; 68; 63.43
930; 63; 64; 63.18
940; 62; 64; 62.59
950; 62; 65; 62.36
960; 62; 67; 62.68
970; 62; 68; 62.68
980; 62; 65; 62.76
990; 62; 64; 62.2
1000; 62; 64; 62.16
1010; 62; 64; 62.1
1020; 62; 63; 62.13
1030; 62; 63; 62.09
1040; 62; 64; 62.13
1050; 62; 63; 62.1
1060; 62; 63; 62.13
1070; 62; 63; 62.09
1080; 62; 63; 62.09
1090; 62; 63; 62.09
1100; 62; 64; 62.2
1110; 61; 65; 61.65
1120; 61; 64; 61.29
1130; 61; 63; 61.13
1140; 61; 63; 61.19
1150; 61; 64; 61.21
1160; 61; 62; 61.14
1170; 61; 62; 61.1
1180; 61; 62; 61.11
1190; 61; 62; 61.13
1200; 61; 62; 61.1
1210; 61; 62; 61.11
1220; 61; 62; 61.08
1230; 61; 63; 61.13
1240; 61; 62; 61.18
1250; 61; 62; 61.11
1260; 61; 62; 61.14
1270; 61; 62; 61.11
1280; 61; 62; 61.09
1290; 61; 62; 61.11
1300; 61; 62; 61.11
1310; 61; 63; 61.17
1320; 61; 62; 61.09
1330; 61; 64; 61.2
1340; 61; 62; 61.17
1350; 61; 63; 61.13
1360; 61; 62; 61.13
1370; 61; 62; 61.08
1380; 61; 62; 61.11
1390; 61; 64; 61.2
1400; 61; 63; 61.15
1410; 61; 62; 61.12
1420; 61; 62; 61.15
1430; 61; 62; 61.13
1440; 61; 64; 61.26
1450; 61; 65; 61.3
1460; 60; 63; 61.15
1470; 60; 64; 60.66
1480; 60; 63; 60.39
1490; 60; 62; 60.15
1500; 60; 62; 60.18
1510; 60; 63; 60.46
1520; 60; 65; 60.5
1530; 60; 62; 60.18
1540; 60; 61; 60.19
1550; 60; 61; 60.09
1560; 60; 61; 60.1
1570; 60; 62; 60.19
1580; 60; 61; 60.08
1590; 60; 62; 60.22
1600; 60; 61; 60.11
1610; 60; 61; 60.13
1620; 60; 61; 60.12
1630; 60; 61; 60.07
1640; 60; 61; 60.2
1650; 60; 61; 60.11
1660; 60; 61; 60.18
1670; 60; 61; 60.11
1680; 60; 61; 60.16
1690; 60; 61; 60.14
1700; 60; 61; 60.14
1710; 60; 62; 60.13
1720; 60; 61; 60.16
1730; 60; 62; 60.15
1740; 60; 62; 60.3
1750; 60; 62; 60.29
1760; 60; 64; 60.4
1770; 60; 65; 60.48
1780; 60; 67; 60.52
1790; 60; 62; 60.07
1800; 60; 61; 60.18
1810; 60; 61; 60.12
1820; 60; 61; 60.15
1830; 60; 61; 60.07
1840; 60; 61; 60.08
1850; 60; 61; 60.11
1860; 60; 61; 60.19
1870; 60; 61; 60.15
1880; 60; 61; 60.05
1890; 60; 61; 60.13
1900; 60; 62; 60.14
1910; 60; 62; 60.54
1920; 60; 63; 60.19
1930; 60; 62; 60.15
1940; 60; 62; 60.22
1950; 60; 62; 60.17
1960; 60; 61; 60.11
1970; 60; 61; 60.09
1980; 60; 61; 60.05
1990; 60; 61; 60.16
2000; 59; 61; 59.31
2010; 59; 62; 59.33
2020; 59; 63; 59.55
2030; 59; 61; 59.3
2040; 59; 61; 59.2
2050; 59; 60; 59.13
2060; 59; 60; 59.22
2070; 59; 60; 59.09
2080; 59; 60; 59.17
2090; 59; 60; 59.13
2100; 59; 61; 59.17
2110; 59; 60; 59.14
2120; 59; 60; 59.13
2130; 59; 60; 59.08
2140; 59; 61; 59.17
2150; 59; 61; 59.13
2160; 59; 60; 59.15
2170; 59; 61; 59.15
2180; 59; 61; 59.15
2190; 59; 60; 59.09
2200; 59; 61; 59.11
2210; 59; 60; 59.14
2220; 59; 61; 59.14
2230; 59; 60; 59.13
2240; 59; 60; 59.1
2250; 59; 60; 59.1
2260; 59; 61; 59.14
2270; 59; 61; 59.13
2280; 59; 60; 59.15
2290; 59; 60; 59.12
2300; 59; 60; 59.15
2310; 59; 60; 59.11
2320; 59; 60; 59.13
2330; 59; 60; 59.16
2340; 59; 60; 59.13
2350; 59; 60; 59.11
2360; 59; 60; 59.15
2370; 59; 60; 59.17
2380; 59; 61; 59.12
2390; 59; 60; 59.12
2400; 59; 60; 59.1
2410; 59; 60; 59.18
2420; 59; 61; 59.12
2430; 59; 61; 59.15
2440; 59; 61; 59.29
2450; 59; 60; 59.08
2460; 59; 60; 59.12
2470; 59; 60; 59.13
2480; 59; 60; 59.17
2490; 59; 60; 59.14
2500; 59; 60; 59.16
2510; 59; 60; 59.09
2520; 59; 61; 59.17
2530; 59; 60; 59.11
2540; 59; 60; 59.1
2550; 59; 60; 59.1
2560; 59; 60; 59.12
2570; 59; 61; 59.15
2580; 59; 63; 59.4
2590; 59; 61; 59.22
2600; 59; 62; 59.3
2610; 59; 63; 59.61
2620; 59; 64; 59.88
2630; 59; 62; 59.3
2640; 59; 60; 59.09
2650; 59; 60; 59.2
2660; 59; 60; 59.12
2670; 59; 60; 59.11
2680; 59; 60; 59.12
2690; 59; 60; 59.13
2700; 59; 60; 59.11
2710; 59; 60; 59.18
2720; 59; 60; 59.07
2730; 59; 61; 59.17
2740; 59; 60; 59.08
2750; 59; 60; 59.1
2760; 59; 60; 59.18
2770; 59; 60; 59.13
2780; 59; 60; 59.13
2790; 59; 60; 59.11
2800; 59; 60; 59.08
2810; 58; 59; 58.35
2820; 58; 62; 58.45
2830; 58; 60; 58.32
2840; 58; 59; 58.15
2850; 58; 59; 58.09
2860; 58; 60; 58.1
2870; 58; 59; 58.14
2880; 58; 59; 58.09
2890; 58; 59; 58.13
2900; 57; 59; 58.08
2910; 57; 59; 57.31
2920; 57; 60; 57.26
2930; 57; 58; 57.14
2940; 57; 58; 57.14
2950; 57; 58; 57.12
2960; 57; 58; 57.16
2970; 57; 58; 57.15
2980; 57; 58; 57.15
2990; 57; 58; 57.18
3000; 57; 59; 57.15
3010; 57; 58; 57.12
3020; 57; 59; 57.17
3030; 57; 58; 57.07
3040; 57; 58; 57.14
3050; 57; 58; 57.12
3060; 57; 58; 57.16
3070; 57; 59; 57.15
3080; 57; 58; 57.12
3090; 57; 58; 57.06
3100; 57; 58; 57.11
3110; 57; 59; 57.16
3120; 57; 60; 57.24
3130; 57; 58; 57.12
3140; 57; 59; 57.31
3150; 57; 60; 57.35
3160; 57; 61; 57.74
3170; 57; 62; 58.02
3180; 57; 59; 57.17
3190; 57; 60; 57.25
3200; 57; 58; 57.15
3210; 57; 59; 57.19
3220; 57; 58; 57.22
3230; 57; 59; 57.14
3240; 57; 58; 57.12
3250; 57; 59; 57.14
3260; 57; 58; 57.04
3270; 57; 58; 57.15
3280; 57; 58; 57.2
3290; 57; 58; 57.2
3300; 57; 58; 57.15
3310; 57; 58; 57.18
3320; 57; 58; 57.11
3330; 57; 59; 57.16
3340; 57; 58; 57.17
3350; 57; 58; 57.1
3360; 57; 58; 57.11
3370; 57; 58; 57.16
3380; 57; 59; 57.15
3390; 57; 58; 57.1
3400; 57; 60; 57.36
3410; 57; 61; 57.58
3420; 57; 62; 57.94
3430; 57; 63; 58.18
3440; 57; 62; 57.93
3450; 57; 62; 57.37
3460; 57; 59; 57.18
3470; 57; 58; 57.12
3480; 57; 58; 57.09
3490; 57; 58; 57.16
3500; 57; 58; 57.11
3510; 57; 58; 57.09
3520; 57; 58; 57.12
3530; 57; 58; 57.17
3540; 57; 59; 57.12
3550; 57; 58; 57.13
3560; 57; 60; 57.25
3570; 57; 59; 57.22
3580; 57; 58; 57.18
3590; 57; 60; 57.28
3600; 57; 62; 57.7
3610; 56; 63; 57.78
3620; 56; 66; 57.52
3630; 56; 62; 57.28
3640; 56; 61; 57.42
3650; 56; 61; 56.5
3660; 56; 58; 56.3
3670; 56; 60; 56.28
3680; 56; 61; 56.62
3690; 56; 62; 56.75
3700; 56; 64; 57.38
3710; 56; 66; 57.5
3720; 56; 67; 57.69
3730; 56; 65; 57.79
3740; 56; 64; 57.69
3750; 56; 65; 57.63
3760; 56; 63; 56.66
3770; 56; 63; 56.6
3780; 56; 64; 57.01
3790; 56; 59; 56.33
3800; 56; 62; 56.81
3810; 56; 58; 56.33
3820; 56; 59; 56.3
3830; 56; 60; 56.38
3840; 56; 62; 56.61
3850; 56; 62; 56.71
3860; 56; 60; 56.93
3870; 56; 60; 56.44
3880; 56; 58; 56.21
3890; 56; 59; 56.47
3900; 56; 58; 56.46
3910; 56; 60; 56.68
3920; 56; 60; 56.56
3930; 56; 58; 56.36
3940; 56; 59; 56.24
3950; 56; 59; 56.2
3960; 56; 58; 56.23
3970; 56; 58; 56.19
3980; 56; 58; 56.15
3990; 56; 57; 56.17
4000; 56; 58; 56.15
4010; 56; 58; 56.18
4020; 56; 57; 56.13
4030; 56; 57; 56.15
4040; 56; 58; 56.21
4050; 56; 58; 56.21
4060; 56; 57; 56.14
4070; 56; 57; 56.13
4080; 56; 60; 56.21
4090; 56; 60; 56.3
4100; 56; 60; 56.47
4110; 56; 59; 56.32
4120; 56; 58; 56.2
4130; 56; 58; 56.23
4140; 56; 57; 56.09
4150; 56; 57; 56.11
4160; 56; 57; 56.12
4170; 56; 57; 56.14
4180; 56; 58; 56.24
4190; 56; 57; 56.18
4200; 56; 61; 56.24
4210; 56; 59; 56.29
4220; 56; 60; 56.46
4230; 56; 61; 56.5
4240; 56; 57; 56.18
4250; 56; 57; 56.1
4260; 56; 57; 56.21
4270; 56; 57; 56.13
4280; 56; 58; 56.21
4290; 56; 57; 56.14
4300; 56; 57; 56.12
4310; 56; 57; 56.17
4320; 56; 58; 56.21
4330; 56; 61; 56.57
4340; 56; 63; 57.13
4350; 56; 63; 56.95
4360; 56; 57; 56.11
4370; 56; 58; 56.21
4380; 56; 58; 56.19
4390; 56; 57; 56.12
4400; 56; 57; 56.11
4410; 56; 57; 56.09
4420; 56; 59; 56.21
4430; 56; 58; 56.14
4440; 56; 59; 56.24
4450; 56; 57; 56.14
4460; 56; 60; 56.36
4470; 56; 57; 56.11
4480; 56; 57; 56.08
4490; 56; 57; 56.13
4500; 56; 57; 56.13
4510; 56; 57; 56.14
4520; 56; 57; 56.2
4530; 56; 57; 56.16
4540; 56; 58; 56.16
4550; 56; 57; 56.17
4560; 56; 57; 56.13
4570; 56; 57; 56.18
4580; 56; 58; 56.16
4590; 56; 59; 56.16
4600; 56; 60; 56.28
4610; 56; 57; 56.1
4620; 56; 57; 56.15
4630; 56; 58; 56.18
4640; 56; 57; 56.13
4650; 56; 57; 56.12
4660; 56; 57; 56.12
4670; 56; 58; 56.21
4680; 56; 57; 56.16
4690; 56; 58; 56.3
4700; 56; 57; 56.13
4710; 56; 57; 56.14
4720; 56; 57; 56.14
4730; 56; 57; 56.16
4740; 56; 58; 56.13
4750; 56; 58; 56.2
4760; 56; 57; 56.12
4770; 56; 58; 56.18
4780; 56; 58; 56.2
4790; 56; 58; 56.16
4800; 56; 57; 56.11
4810; 56; 57; 56.18
4820; 56; 57; 56.15
4830; 56; 57; 56.18
4840; 56; 57; 56.15
4850; 56; 58; 56.2
4860; 56; 57; 56.12
4870; 56; 57; 56.09
4880; 56; 57; 56.08
4890; 55; 58; 56.14
4900; 55; 59; 55.46
4910; 55; 59; 55.72
4920; 55; 61; 55.99
4930; 55; 59; 55.73
4940; 55; 60; 56.06
4950; 55; 57; 55.3
4960; 55; 57; 55.26
4970; 55; 57; 55.27
4980; 55; 56; 55.13
4990; 55; 56; 55.16
5000; 55; 56; 55.15
5010; 55; 56; 55.11
5020; 55; 56; 55.14
5030; 55; 56; 55.12
5040; 55; 57; 55.18
5050; 55; 59; 55.41
5060; 55; 59; 55.61
5070; 55; 61; 55.79
5080; 55; 62; 56.19
5090; 55; 59; 55.32
5100; 55; 56; 55.17
5110; 55; 56; 55.18
5120; 55; 58; 55.31
5130; 55; 61; 55.47
5140; 55; 61; 55.65
5150; 55; 64; 55.66
5160; 55; 65; 56.61
5170; 55; 63; 56.73
5180; 55; 60; 55.89
5190; 55; 59; 56.06
5200; 55; 60; 56.12
5210; 55; 63; 55.93
5220; 55; 64; 56.4
5230; 55; 58; 55.24
5240; 55; 60; 55.33
5250; 55; 56; 55.17
5260; 55; 56; 55.04
5270; 55; 56; 55.17
5280; 55; 56; 55.12
5290; 55; 57; 55.11
5300; 55; 57; 55.19
5310; 55; 57; 55.08
5320; 55; 56; 55.2
5330; 55; 56; 55.14
5340; 55; 56; 55.12
5350; 55; 56; 55.11
5360; 55; 57; 55.19
5370; 55; 57; 55.18
5380; 55; 56; 55.11
5390; 55; 57; 55.17
5400; 55; 56; 55.15
5410; 55; 56; 55.15
5420; 55; 56; 55.11
5430; 55; 57; 55.19
5440; 55; 57; 55.19
5450; 55; 56; 55.16
5460; 55; 56; 55.08
5470; 55; 56; 55.11
5480; 55; 56; 55.21
5490; 55; 56; 55.2
5500; 55; 56; 55.21
5510; 55; 58; 55.16
5520; 55; 56; 55.11
5530; 55; 56; 55.07
5540; 55; 56; 55.16
5550; 55; 56; 55.17
5560; 55; 56; 55.17
5570; 55; 56; 55.14
5580; 55; 57; 55.18
5590; 55; 56; 55.12
5600; 55; 56; 55.08
5610; 55; 56; 55.15
5620; 55; 56; 55.15
5630; 55; 56; 55.09
5640; 55; 57; 55.19
5650; 55; 57; 55.21
5660; 55; 57; 55.09
5670; 55; 56; 55.13
5680; 55; 57; 55.14
5690; 55; 56; 55.18
5700; 55; 57; 55.27
5710; 55; 56; 55.14
5720; 55; 57; 55.11
5730; 55; 56; 55.15
5740; 55; 56; 55.09
5750; 55; 56; 55.16
5760; 55; 56; 55.18
5770; 55; 56; 55.09
5780; 55; 56; 55.2
5790; 55; 56; 55.12
5800; 55; 56; 55.11
5810; 55; 56; 55.07
5820; 55; 56; 55.15
5830; 55; 56; 55.13
5840; 55; 56; 55.16
5850; 55; 56; 55.11
5860; 55; 57; 55.12
5870; 55; 56; 55.11
5880; 55; 56; 55.15
5890; 55; 56; 55.09
5900; 55; 56; 55.12
5910; 55; 57; 55.19
5920; 55; 56; 55.13
5930; 55; 57; 55.14
5940; 55; 58; 55.29
5950; 55; 60; 55.48
5960; 55; 58; 55.63
5970; 55; 57; 55.15
5980; 55; 56; 55.18
5990; 55; 57; 55.25
6000; 55; 57; 55.42
6010; 55; 59; 55.48
6020; 55; 58; 55.76
6030; 55; 60; 55.65
6040; 55; 62; 55.86
6050; 55; 58; 55.56
6060; 55; 59; 55.46
6070; 55; 60; 55.88
6080; 55; 59; 55.5
6090; 55; 59; 55.54
6100; 55; 60; 56.07
6110; 55; 59; 55.55
6120; 55; 61; 55.78
6130; 55; 62; 56.12
6138; 55; 63; 55.77
