gen; best; avg; dev
0; 107; 117.32; 3.83374
0; 107; 115.285; 3.32773
10; 91; 98.41; 5.32183
20; 83; 88.98; 7.27459
30; 79; 83.97; 9.37599
40; 74; 79.05; 9.95779
50; 71; 76.24; 10.3432
60; 68; 73.78; 10.9335
70; 67; 71.37; 11.5863
80; 65; 69.205; 12.0434
90; 64; 67.595; 12.5152
100; 63; 67.095; 12.6529
110; 62; 66.435; 12.7924
120; 61; 65.01; 13.242
130; 59; 63.8; 13.5159
140; 59; 63.405; 14.0631
150; 59; 62.74; 13.6942
160; 59; 63.23; 13.8902
170; 58; 62.6; 13.6667
180; 58; 62.295; 13.7284
190; 58; 62.09; 14.4035
200; 58; 61.735; 13.8861
210; 57; 61.335; 14.0358
220; 57; 60.795; 14.2022
230; 57; 61.095; 14.6675
240; 57; 60.765; 14.1276
250; 57; 61.39; 14.9976
260; 57; 62.9; 15.8019
270; 57; 60.87; 14.0155
280; 57; 61; 14.2482
290; 57; 63.39; 16.4993
300; 57; 60.83; 14.0239
310; 57; 60.78; 13.9954
320; 57; 61.25; 14.8636
330; 57; 60.685; 13.8689
340; 57; 60.925; 14.4419
350; 57; 61.58; 15.1405
360; 57; 60.705; 13.9118
370; 56; 60.485; 14.409
380; 56; 59.73; 14.0583
390; 56; 60.355; 15.0662
400; 55; 59.325; 14.2302
410; 55; 58.815; 14.3513
420; 55; 58.84; 14.1349
430; 55; 58.825; 14.1808
440; 55; 58.805; 14.2062
450; 55; 58.78; 14.1898
460; 55; 59.865; 15.6005
470; 55; 59.14; 14.5914
480; 55; 59.13; 14.5225
490; 54; 58.825; 14.2009
500; 55; 61.22; 16.6365
510; 54; 59.235; 14.6615
520; 54; 58.675; 14.863
530; 54; 57.81; 14.4677
540; 54; 57.895; 14.5528
550; 54; 57.9; 14.5485
560; 54; 58.175; 14.9781
570; 53; 57.79; 14.3425
580; 52; 57.395; 14.9719
590; 52; 57.115; 15.5885
600; 52; 55.85; 14.6887
610; 52; 56.215; 15.2548
620; 52; 58.715; 17.2245
630; 52; 55.865; 14.6232
640; 52; 56.605; 15.4667
650; 52; 56.43; 14.8585
660; 52; 56.045; 14.8642
670; 52; 55.89; 14.6324
680; 52; 56.185; 15.0987
690; 52; 55.96; 14.6386
700; 52; 55.975; 14.6145
710; 52; 55.89; 14.6369
720; 52; 55.935; 14.481
730; 52; 55.87; 14.5425
740; 52; 59.27; 17.7755
750; 52; 59.185; 17.5194
760; 52; 55.955; 14.7585
770; 52; 56.125; 14.8943
780; 52; 57.3; 16.3826
790; 52; 59.49; 18.9789
800; 52; 56.005; 14.8693
810; 52; 56.055; 14.8348
820; 52; 56.845; 15.7579
830; 52; 56; 14.8923
840; 52; 55.965; 14.9216
850; 52; 56.07; 14.9401
860; 52; 56.025; 14.9935
870; 52; 55.97; 15.006
880; 52; 56.12; 14.9414
890; 52; 59.66; 19.1806
900; 52; 56.52; 16.0053
910; 52; 56.05; 14.9174
920; 52; 55.975; 14.9119
930; 52; 56.07; 14.8918
940; 52; 55.925; 14.8459
950; 52; 55.97; 14.7319
960; 52; 56.94; 15.5376
970; 52; 56.65; 15.8716
980; 52; 55.855; 14.5614
990; 52; 55.84; 14.6309
1000; 52; 55.905; 14.6423
1010; 52; 59.015; 17.5785
1020; 52; 55.91; 14.5459
1030; 52; 55.89; 14.5382
1040; 52; 56.13; 14.3793
1050; 52; 55.86; 14.4645
1060; 51; 55.485; 14.5183
1070; 51; 54.92; 14.5332
1080; 51; 54.905; 14.5319
1090; 51; 54.89; 14.5371
1100; 51; 54.965; 14.4742
1110; 51; 54.93; 14.4967
1120; 51; 54.995; 14.4605
1130; 51; 54.945; 14.5066
1140; 51; 55.155; 14.9382
1150; 51; 54.88; 14.5205
1160; 51; 54.97; 14.3989
1170; 51; 55.185; 14.8822
1180; 51; 55.155; 15.0127
1190; 51; 56.24; 15.7792
1200; 51; 55.42; 15.5777
1210; 51; 55.52; 15.6349
1220; 51; 57.355; 16.4383
1230; 51; 54.92; 14.5349
1240; 51; 54.91; 14.5121
1250; 51; 57.965; 17.434
1260; 51; 55.475; 15.1466
1270; 51; 54.84; 14.6439
1280; 51; 54.965; 14.6145
1290; 51; 55.48; 15.3457
1300; 50; 54.455; 14.7091
1310; 50; 53.905; 14.8299
1320; 50; 53.965; 14.8531
1330; 50; 57.505; 18.239
1340; 50; 54.03; 14.7441
1350; 50; 53.985; 14.7741
1360; 50; 53.985; 14.7613
1370; 50; 54.025; 14.7934
1380; 50; 54.155; 15.2099
1390; 50; 54.045; 14.8702
1400; 50; 54.57; 15.3096
1410; 50; 54.71; 15.7863
1420; 50; 53.99; 14.8263
1430; 50; 57.205; 18.0558
1440; 50; 54.065; 14.8496
1450; 50; 54.095; 14.8424
1460; 50; 53.965; 14.9092
1470; 50; 53.935; 14.9124
1480; 50; 53.94; 14.8114
1490; 50; 53.875; 14.7013
1500; 50; 59.94; 18.442
1510; 50; 54.025; 14.6097
1520; 50; 54.1; 14.7499
1530; 50; 53.88; 14.6798
1540; 50; 53.845; 14.666
1550; 50; 53.855; 14.6395
1560; 50; 53.915; 14.6181
1570; 50; 54.135; 14.5697
1580; 50; 53.975; 14.632
1590; 50; 53.955; 14.6015
1600; 50; 53.86; 14.6185
1610; 50; 53.89; 14.6754
1620; 50; 54.515; 15.4616
1630; 50; 54.095; 14.5161
1640; 50; 53.91; 14.5984
1650; 50; 58.25; 19.2434
1660; 50; 54.53; 15.6757
1670; 50; 53.945; 14.6715
1680; 50; 53.92; 14.7209
1690; 50; 53.96; 14.7366
1700; 50; 54.225; 15.0161
1710; 50; 54.7; 15.6295
1720; 50; 54.545; 15.6591
1730; 50; 53.985; 14.6869
1740; 50; 54.12; 14.6474
1750; 50; 53.965; 14.7463
1760; 50; 54.7; 15.7785
1770; 50; 59.89; 18.3204
1780; 50; 54.005; 14.8312
1790; 50; 54.88; 15.4556
1800; 50; 53.9; 14.8503
1810; 50; 53.99; 14.827
1820; 50; 54; 14.7665
1830; 50; 54.62; 15.983
1840; 50; 53.95; 14.9632
1850; 50; 53.995; 15.0421
1860; 50; 54.08; 15.0799
1870; 50; 54.03; 15.1565
1880; 50; 54.055; 15.2162
1890; 50; 57.27; 18.5482
1900; 50; 54.07; 15.1735
1910; 49; 56.885; 18.2102
1920; 48; 53.06; 15.4155
1930; 48; 52.2; 15.6751
1940; 48; 52.915; 16.5042
1950; 48; 52.18; 15.7787
1960; 48; 52.2; 15.7918
1970; 48; 52.705; 16.4374
1980; 48; 52.18; 15.7958
1990; 48; 52.645; 16.2751
2000; 48; 52.265; 15.7558
2010; 48; 56; 19.857
2020; 48; 52.635; 16.3414
2030; 48; 52.225; 15.8728
2040; 48; 52.23; 15.9765
2050; 48; 52.22; 16.0621
2060; 48; 55.785; 19.5859
2070; 48; 52.285; 15.857
2080; 48; 52.18; 15.9031
2090; 48; 52.35; 15.7974
2100; 48; 52.31; 15.8087
2110; 48; 52.885; 16.8253
2120; 48; 52.48; 16.4514
2130; 48; 52.245; 15.7815
2140; 48; 52.31; 15.7049
2150; 48; 52.465; 16.2194
2160; 48; 52.23; 15.7616
2170; 48; 52.215; 15.7648
2180; 48; 52.265; 15.6896
2190; 48; 52.155; 15.736
2200; 48; 52.175; 15.6456
2210; 48; 52.18; 15.6859
2220; 48; 52.235; 15.6327
2230; 48; 52.14; 15.6365
2240; 48; 52.18; 15.6514
2250; 48; 52.225; 15.636
2260; 48; 52.18; 15.712
2270; 48; 52.19; 15.7485
2280; 48; 52.525; 16.2551
2290; 48; 52.21; 15.725
2300; 48; 52.325; 15.78
2310; 48; 52.335; 15.7573
2320; 48; 52.495; 16.3251
2330; 48; 52.245; 15.6737
2340; 48; 52.215; 15.7426
2350; 48; 52.145; 15.6507
2360; 48; 52.17; 15.6221
2370; 48; 52.23; 15.6118
2380; 48; 56.335; 19.1964
2390; 48; 52.105; 15.4462
2400; 48; 52.81; 16.3867
2410; 48; 52.075; 15.411
2420; 48; 52.135; 15.4821
2430; 48; 52.495; 16.1115
2440; 48; 52.68; 16.2449
2450; 48; 55.935; 19.5788
2460; 48; 52.145; 15.5175
2470; 48; 54.875; 17.5636
2480; 48; 52.415; 16.1571
2490; 48; 52.15; 15.623
2500; 48; 52.12; 15.6491
2510; 48; 52.175; 15.6804
2520; 48; 52.155; 15.6854
2530; 48; 52.155; 15.626
2540; 48; 52.18; 15.5791
2550; 48; 52.9; 16.4785
2560; 48; 52.195; 15.4941
2570; 48; 56.105; 19.5088
2580; 48; 52.155; 15.5651
2590; 48; 52.44; 16.1504
2600; 48; 52.26; 15.6033
2610; 48; 52.515; 16.0947
2620; 48; 52.105; 15.5101
2630; 48; 52.235; 15.48
2640; 48; 56.105; 19.7986
2650; 48; 52.9; 16.7428
2660; 48; 52.225; 15.5658
2670; 48; 52.185; 15.4952
2680; 48; 52.135; 15.4249
2690; 48; 52.175; 15.3416
2700; 48; 52.15; 15.4012
2710; 48; 52.14; 15.4042
2720; 48; 52.03; 15.3847
2730; 48; 52.22; 15.4049
2740; 48; 52.15; 15.5028
2750; 48; 52.2; 15.5158
2760; 48; 55.26; 17.8833
2770; 48; 52.185; 15.5129
2780; 48; 52.23; 15.4414
2790; 48; 52.105; 15.493
2800; 48; 53.075; 16.9567
2810; 48; 53.355; 16.7403
2820; 48; 52.1; 15.5316
2830; 48; 52.185; 15.4939
2840; 48; 52.475; 16.048
2850; 48; 52.18; 15.6195
2860; 48; 52.135; 15.5935
2870; 48; 52.115; 15.5519
2880; 48; 52.2; 15.4499
2890; 48; 53.2; 16.8285
2900; 48; 52.485; 16.0003
2910; 48; 52.135; 15.4589
2920; 48; 52.785; 16.4435
2930; 48; 52.155; 15.4127
2940; 48; 52.745; 16.6108
2950; 48; 52.17; 15.4078
2960; 48; 52.135; 15.4012
2970; 48; 52.09; 15.3095
2980; 48; 52.43; 15.8349
2990; 48; 52.2; 15.2637
3000; 48; 52.755; 16.19
3010; 48; 52.11; 15.2453
3020; 47; 52.205; 16.1729
3030; 47; 51.16; 15.4209
3040; 47; 54.41; 18.2341
3050; 47; 52.185; 17.0883
3060; 47; 51.1; 15.5759
3070; 47; 51.15; 15.646
3080; 47; 51.17; 15.7848
3090; 47; 51.14; 15.7325
3100; 47; 51.605; 16.3128
3110; 47; 52.205; 17.0524
3120; 47; 51.235; 15.7933
3130; 47; 51.295; 15.8716
3140; 46; 51.225; 15.8646
3150; 46; 51.205; 16.5503
3160; 46; 51.27; 17.4169
3170; 46; 51.025; 17.2283
3180; 46; 50.305; 16.0982
3190; 46; 53.625; 19.0629
3200; 46; 50.225; 15.9879
3210; 46; 50.3; 16.1155
3220; 46; 50.275; 16.0602
3230; 46; 50.32; 16.0502
3240; 46; 53.485; 19.435
3250; 46; 50.605; 16.7015
3260; 46; 50.61; 16.6733
3270; 46; 50.295; 16.0315
3280; 46; 50.365; 16.1001
3290; 46; 50.63; 16.7494
3300; 46; 50.29; 16.1804
3310; 46; 50.265; 16.2562
3320; 46; 50.3; 16.2481
3330; 46; 50.655; 16.8715
3340; 46; 50.38; 16.416
3350; 46; 50.39; 16.3116
3360; 46; 50.42; 16.262
3370; 46; 50.32; 16.388
3380; 46; 50.31; 16.3283
3390; 46; 50.385; 16.2674
3400; 46; 54.405; 20.5689
3410; 46; 50.645; 16.8276
3420; 46; 50.315; 16.2171
3430; 46; 50.345; 16.1891
3440; 46; 50.37; 16.1231
3450; 46; 55.055; 20.7198
3460; 46; 50.3; 16.1975
3470; 46; 50.435; 16.1665
3480; 46; 50.285; 16.2072
3490; 46; 50.335; 16.1927
3500; 46; 50.31; 16.1178
3510; 46; 50.335; 16.1125
3520; 46; 50.27; 16.1043
3530; 45; 50.555; 16.6321
3540; 46; 51.97; 18.555
3550; 46; 50.315; 16.075
3560; 46; 50.365; 16.0655
3570; 46; 50.395; 16.0421
3580; 46; 50.285; 16.128
3590; 46; 50.67; 16.6088
3600; 46; 50.3; 16.005
3610; 46; 50.325; 15.9715
3620; 46; 50.445; 15.9849
3630; 46; 50.22; 15.996
3640; 46; 50.305; 16.0197
3650; 46; 50.93; 17.3587
3660; 46; 50.29; 16.0461
3670; 46; 50.275; 16.1084
3680; 46; 50.245; 15.9914
3690; 46; 50.19; 15.94
3700; 46; 50.265; 16.0048
3710; 46; 50.255; 15.8824
3720; 46; 50.275; 15.9358
3730; 46; 50.635; 16.5506
3740; 46; 50.43; 15.8128
3750; 46; 50.19; 15.8504
3760; 46; 50.27; 15.9567
3770; 46; 50.27; 16.0168
3780; 46; 50.235; 15.9637
3790; 46; 50.225; 16.0095
3800; 46; 50.515; 16.3193
3810; 46; 52.765; 18.1612
3820; 46; 50.345; 15.9391
3830; 46; 50.3; 15.9944
3840; 46; 50.35; 15.9131
3850; 46; 51.37; 17.6865
3860; 46; 51.12; 17.2321
3870; 46; 50.615; 16.4316
3880; 46; 50.245; 15.9187
3890; 46; 50.26; 15.956
3900; 46; 50.215; 15.9643
3910; 46; 50.25; 16.0405
3920; 46; 50.665; 16.6401
3930; 46; 51.02; 17.1814
3940; 46; 50.3; 16.054
3950; 46; 50.29; 16.1166
3960; 46; 54.08; 19.944
3970; 46; 50.27; 16.139
3980; 46; 50.46; 16.0337
3990; 46; 50.285; 16.012
4000; 46; 50.88; 16.9395
4010; 45; 50.12; 16.8272
4020; 45; 49.305; 16.2217
4030; 45; 49.38; 16.1408
4040; 45; 53.225; 20.6086
4050; 45; 49.41; 16.3469
4060; 45; 49.3; 16.517
4070; 45; 49.435; 16.5453
4080; 45; 49.87; 17.016
4090; 45; 50.04; 17.3971
4100; 45; 49.56; 16.4337
4110; 45; 49.39; 16.367
4120; 45; 50.095; 17.4524
4130; 45; 50.015; 17.3388
4140; 45; 49.51; 16.2997
4150; 45; 50.135; 17.183
4160; 45; 49.29; 16.1999
4170; 45; 51.02; 18.4144
4180; 45; 49.865; 16.5933
4190; 45; 50.055; 17.1135
4200; 45; 49.31; 16.3259
4210; 45; 49.4; 16.2009
4220; 45; 53.06; 20.1508
4230; 45; 49.295; 15.9999
4240; 45; 49.27; 15.9621
4250; 45; 49.29; 15.914
4260; 45; 49.255; 15.964
4270; 45; 49.965; 17.1655
4280; 45; 49.59; 16.2561
4290; 45; 49.29; 16.0195
4300; 45; 49.66; 16.5083
4310; 45; 53.99; 21.3967
4320; 45; 53.51; 21.0931
4330; 45; 49.255; 15.8808
4340; 45; 49.265; 15.9394
4350; 45; 49.27; 15.9774
4360; 45; 49.29; 15.9561
4370; 45; 49.935; 16.7786
4380; 45; 49.27; 15.9796
4390; 45; 49.37; 15.9935
4400; 45; 49.315; 16.0099
4410; 45; 49.665; 16.5449
4420; 45; 49.305; 16.0294
4430; 45; 49.455; 15.9282
4440; 45; 49.76; 16.3921
4450; 45; 53.185; 20.5161
4460; 45; 49.47; 15.9273
4470; 45; 49.37; 15.9092
4480; 45; 49.145; 15.8377
4490; 45; 49.28; 15.8711
4500; 45; 53.62; 20.7583
4510; 45; 49.28; 15.8478
4520; 45; 49.225; 15.7979
4530; 45; 49.845; 16.6746
4540; 45; 49.18; 15.7441
4550; 45; 49.975; 16.7787
4560; 45; 49.23; 15.8388
4570; 45; 49.41; 15.7963
4580; 45; 49.24; 15.9192
4590; 45; 49.945; 17.1039
4600; 45; 51.55; 17.4845
4610; 45; 49.245; 15.8835
4620; 45; 50.445; 17.592
4630; 45; 49.935; 17.0165
4640; 45; 49.25; 16.024
4650; 45; 52.275; 19.1052
4660; 45; 49.24; 15.9381
4670; 45; 49.96; 16.8439
4680; 45; 49.25; 16.0508
4690; 45; 49.275; 16.0406
4700; 45; 53.61; 19.9652
4710; 45; 49.295; 16.0583
4720; 45; 49.345; 16.093
4730; 45; 50.245; 17.5275
4740; 45; 49.24; 16.1206
4750; 45; 49.45; 16.1123
4760; 45; 49.345; 16.177
4770; 45; 49.38; 16.1433
4780; 45; 49.425; 16.1358
4790; 45; 49.32; 16.1981
4800; 45; 49.27; 16.2311
gen; best; avg; dev
0; 109; 117.37; 3.5893
0; 104; 114.735; 3.36226
10; 93; 98.15; 5.54504
20; 85; 91.28; 6.89867
30; 80; 84.31; 8.58976
40; 78; 81.575; 9.17738
50; 75; 79.435; 9.65897
60; 75; 78.31; 9.99469
70; 72; 76.085; 10.5313
80; 71; 74.9; 10.7963
90; 69; 73.745; 11.0091
100; 68; 72.255; 12.0437
110; 66; 70.01; 11.7869
120; 65; 68.885; 12.2099
130; 64; 68.22; 12.4226
140; 63; 67.72; 12.7178
150; 62; 66.67; 13.2178
160; 62; 66.3; 12.8308
170; 62; 68.14; 14.8452
180; 61; 65.55; 12.9807
190; 61; 66.515; 14.6884
200; 60; 66.895; 14.9684
210; 60; 63.77; 13.3412
220; 60; 63.54; 13.4799
230; 60; 63.67; 13.4481
240; 60; 63.88; 14.0209
250; 60; 64.125; 14.2337
260; 59; 62.9; 13.5812
270; 59; 62.585; 13.5622
280; 59; 62.675; 13.6077
290; 59; 62.675; 13.644
300; 59; 62.585; 13.6067
310; 59; 62.685; 13.5453
320; 59; 62.935; 13.9664
330; 59; 63.155; 14.4285
340; 59; 62.62; 13.5903
350; 59; 63.235; 14.6547
360; 59; 63.14; 14.576
370; 58; 62.97; 14.0214
380; 58; 62.065; 13.7146
390; 58; 61.955; 14.1065
400; 58; 61.67; 13.6217
410; 58; 62.715; 14.6729
420; 57; 64.53; 16.3083
430; 56; 60.575; 13.5438
440; 56; 59.65; 13.8386
