gen; best; avg; dev
0; 7; 8.09; 0.349142
0; 7; 7.9; 0.360555
10; 6; 6.415; 0.522279
12; 5; 6.22; 0.470744
gen; best; avg; dev
0; 7; 8.055; 0.349249
0; 7; 7.95; 0.327872
7; 5; 6.91; 0.48156
gen; best; avg; dev
0; 7; 8.08; 0.378946
0; 7; 7.92; 0.289137
10; 6; 6.825; 0.463006
14; 5; 6.595; 0.583931
gen; best; avg; dev
0; 7; 8.035; 0.322141
0; 7; 7.94; 0.293939
10; 6; 6.61; 0.572626
15; 5; 6.21; 0.475289
gen; best; avg; dev
0; 7; 8.015; 0.353235
0; 6; 7.905; 0.4074
10; 6; 6.745; 0.489872
14; 5; 6.455; 0.545871
gen; best; avg; dev
0; 7; 8.04; 0.372022
0; 7; 7.84; 0.366606
10; 6; 6.585; 0.559263
13; 5; 6.305; 0.558547
gen; best; avg; dev
0; 7; 8.08; 0.378946
0; 7; 7.925; 0.519013
10; 6; 6.32; 0.477074
14; 5; 6.22; 0.46
gen; best; avg; dev
0; 7; 8.04; 0.329242
0; 7; 7.93; 0.255147
10; 5; 6.795; 0.57704
11; 5; 6.795; 0.57704
gen; best; avg; dev
0; 7; 8.045; 0.350678
0; 7; 7.915; 0.278882
10; 6; 6.465; 0.518435
12; 5; 6.415; 0.531766
gen; best; avg; dev
0; 7; 8.035; 0.392142
0; 7; 7.815; 0.413249
10; 6; 6.84; 0.586856
15; 5; 6.36; 0.557136
gen; best; avg; dev
0; 7; 8; 0.316228
0; 7; 7.85; 0.37081
10; 6; 6.95; 0.396863
17; 5; 6.285; 0.483503
gen; best; avg; dev
0; 7; 8.07; 0.36756
0; 7; 7.945; 0.248948
10; 6; 6.87; 0.427902
15; 5; 6.405; 0.575304
gen; best; avg; dev
0; 7; 8.06; 0.395474
0; 7; 7.9; 0.360555
10; 6; 6.465; 0.537378
14; 5; 6.105; 0.337602
gen; best; avg; dev
0; 7; 8.045; 0.364657
0; 7; 7.85; 0.357071
10; 6; 6.185; 0.388298
12; 5; 6.21; 0.419404
gen; best; avg; dev
0; 6; 8.015; 0.418061
0; 6; 7.84; 0.429418
6; 5; 7.11; 0.554887
gen; best; avg; dev
0; 7; 7.965; 0.351817
0; 7; 7.865; 0.369831
10; 5; 6.655; 0.562117
11; 5; 6.655; 0.562117
gen; best; avg; dev
0; 7; 8.005; 0.367389
0; 6; 7.86; 0.3747
10; 6; 6.73; 0.563116
12; 5; 6.635; 0.584615
gen; best; avg; dev
0; 7; 8.005; 0.323998
0; 7; 7.91; 0.286182
10; 6; 6.28; 0.511468
13; 5; 6.185; 0.448079
gen; best; avg; dev
0; 7; 8.03; 0.372961
0; 6; 7.875; 0.345507
8; 5; 6.545; 0.563893
gen; best; avg; dev
0; 6; 8.04; 0.434051
0; 7; 7.89; 0.343366
9; 5; 6.58; 0.602993
