gen; best; avg; dev
0; 31; 34.045; 0.85614
0; 31; 33.87; 0.896158
10; 31; 33.26; 1.18
20; 31; 33.39; 1.18233
30; 30; 33.325; 1.26861
40; 30; 33.28; 1.3159
50; 30; 33.37; 1.11942
60; 29; 33.125; 1.52295
70; 30; 33.32; 1.21145
80; 31; 33.525; 1.10877
90; 31; 33.175; 1.22653
100; 30; 33.07; 1.16837
110; 31; 33.17; 1.14503
120; 31; 33.085; 1.1392
130; 29; 32.92; 1.30905
140; 29; 32.835; 1.46553
150; 29; 33.05; 1.22372
160; 30; 33.04; 1.06226
170; 31; 32.925; 1.27255
180; 30; 33.04; 1.22
190; 30; 32.775; 1.35439
200; 30; 32.77; 1.3882
210; 30; 32.695; 1.36454
220; 28; 32.49; 1.66129
230; 28; 32.795; 1.3831
240; 29; 32.73; 1.48226
250; 29; 32.565; 1.64188
260; 30; 32.72; 1.38622
270; 27; 32.84; 1.35809
280; 30; 32.77; 1.37372
290; 30; 32.775; 1.35808
300; 29; 32.645; 1.38166
310; 29; 32.605; 1.50963
320; 29; 32.745; 1.33416
330; 29; 32.605; 1.47274
340; 29; 32.455; 1.53231
350; 28; 32.45; 1.54839
360; 29; 32.575; 1.40868
370; 28; 32.13; 1.71263
380; 29; 32.51; 1.34904
390; 28; 31.94; 1.99158
400; 28; 32.16; 1.6895
410; 28; 31.905; 1.99398
420; 28; 32.21; 1.7076
430; 28; 32.275; 1.53928
440; 29; 32.23; 1.58338
450; 28; 32.04; 1.66685
460; 27; 32.07; 1.84258
470; 29; 32.18; 1.61171
480; 29; 32.205; 1.54692
490; 29; 32.18; 1.55808
500; 29; 32.125; 1.63076
510; 28; 32.115; 1.56262
520; 29; 32.22; 1.44278
530; 29; 32.065; 1.63731
540; 27; 31.805; 1.82126
550; 28; 31.82; 1.72557
560; 29; 31.89; 1.6087
570; 28; 31.68; 1.80488
580; 28; 31.705; 1.64559
590; 29; 31.845; 1.53002
600; 28; 32.03; 1.60907
610; 29; 31.885; 1.64675
620; 29; 32.07; 1.29811
630; 29; 31.965; 1.48451
640; 29; 31.815; 1.54621
650; 29; 32.045; 1.47749
660; 28; 31.715; 1.76175
670; 29; 31.885; 1.46006
680; 28; 31.87; 1.64715
690; 27; 31.695; 1.72104
700; 28; 31.745; 1.75499
710; 28; 31.7; 1.66433
720; 28; 31.465; 1.79409
730; 27; 31.31; 2.0332
740; 27; 31.805; 1.59905
750; 29; 31.795; 1.57575
760; 26; 31.59; 1.74124
770; 28; 31.41; 1.81436
780; 28; 31.65; 1.66057
790; 29; 31.645; 1.59968
800; 28; 31.515; 1.61857
810; 28; 31.565; 1.53811
820; 28; 31.32; 1.59612
830; 28; 31.43; 1.57642
840; 27; 31.14; 1.80289
850; 28; 31.28; 1.7809
860; 27; 31.405; 1.60965
870; 29; 31.645; 1.39606
880; 27; 31.235; 1.75208
890; 27; 31.455; 1.56779
900; 28; 31.315; 1.59241
910; 28; 31.735; 1.48148
920; 28; 31.5; 1.71172
930; 28; 31.615; 1.68427
940; 29; 31.675; 1.50644
950; 28; 31.32; 1.902
960; 28; 31.59; 1.7152
970; 27; 31.575; 1.76476
980; 28; 31.585; 1.69493
990; 27; 31.345; 1.96366
1000; 25; 31.615; 1.84845
1010; 25; 31.55; 1.75143
1020; 25; 31.255; 2.13541
1030; 27; 31.36; 2.11906
1040; 27; 31.38; 1.94823
1050; 28; 31.72; 1.69753
1060; 28; 31.93; 1.47821
1070; 28; 31.85; 1.58666
1080; 27; 31.27; 1.98673
1090; 28; 31.77; 1.66946
1100; 28; 31.665; 1.61331
1110; 28; 31.66; 1.64146
1120; 27; 31.63; 1.74158
1130; 28; 31.57; 1.58906
1140; 28; 31.525; 1.58094
1150; 28; 31.46; 1.70247
1160; 27; 31.635; 1.62535
1170; 27; 31.45; 1.92029
1180; 27; 31.705; 1.74298
1190; 27; 31.39; 2.16977
1200; 27; 31.545; 1.99949
1210; 27; 31.665; 1.74436
1220; 27; 31.41; 2.09091
1230; 27; 31.315; 2.17848
1240; 28; 31.36; 2.03971
1250; 28; 31.845; 1.6003
1260; 28; 31.73; 1.66045
1270; 27; 31.66; 1.86665
1280; 26; 31.465; 1.71137
1290; 28; 31.45; 1.7713
1300; 27; 31.31; 2.04056
1310; 28; 31.36; 1.83859
1320; 27; 31.53; 1.7433
1330; 28; 31.5; 1.78885
1340; 27; 31.605; 1.66703
1350; 28; 31.66; 1.56984
1360; 28; 31.405; 1.75812
