gen; best; worst; avg; dev
0; 11; 16; 14.905; 0.880894
0; 12; 16; 14.475; 0.805838
10; 9; 13; 11.03; 0.670149
20; 9; 13; 10.09; 0.715472
30; 8; 12; 9.005; 0.73142
40; 7; 13; 8.07; 1.00752
50; 6; 14; 8.005; 1.3982
60; 7; 14; 8.135; 1.49892
70; 6; 13; 7.735; 1.62935
73; 5; 13; 7.775; 1.75624
gen; best; worst; avg; dev
0; 11; 16; 14.885; 0.872797
0; 12; 16; 14.315; 0.803601
10; 10; 14; 11.575; 0.710194
20; 9; 13; 10.155; 0.860799
30; 8; 12; 9.595; 0.781649
40; 7; 13; 9.03; 0.882666
50; 7; 12; 7.965; 1.11075
60; 7; 12; 7.84; 1.28623
70; 7; 13; 8.02; 1.4176
80; 7; 13; 8.255; 1.63094
90; 6; 15; 7.905; 1.67809
100; 6; 14; 7.72; 1.6253
108; 5; 14; 7.475; 1.67612
gen; best; worst; avg; dev
0; 12; 16; 14.97; 0.859709
0; 12; 16; 14.555; 0.779086
10; 9; 14; 10.85; 0.785812
20; 8; 13; 9.895; 0.802481
30; 7; 11; 9.15; 0.829156
40; 6; 12; 7.95; 1.0943
44; 5; 12; 7.55; 1.18638
gen; best; worst; avg; dev
0; 12; 16; 14.895; 0.856723
0; 12; 16; 14.495; 0.799984
10; 9; 15; 11.185; 0.781521
20; 9; 14; 9.995; 0.833652
30; 8; 11; 9.39; 0.684032
40; 7; 12; 8.435; 0.704113
50; 7; 12; 8.055; 0.970554
60; 7; 12; 7.97; 1.23252
70; 7; 13; 7.985; 1.46792
80; 7; 14; 8.09; 1.69467
90; 6; 14; 7.93; 1.6897
100; 6; 14; 7.605; 1.65196
109; 5; 14; 7.12; 1.87499
gen; best; worst; avg; dev
0; 12; 16; 14.815; 0.922375
0; 12; 16; 14.35; 0.84113
10; 10; 14; 11.335; 0.657856
20; 8; 13; 9.96; 0.792717
30; 8; 14; 9.33; 0.849176
40; 7; 14; 8.71; 1.16443
50; 6; 14; 8.185; 1.35675
60; 6; 14; 7.765; 1.73487
63; 5; 14; 7.68; 1.81868
gen; best; avg; dev
0; 12; 14.87; 0.862032
0; 12; 14.375; 0.833292
10; 10; 11.285; 0.702691
20; 8; 9.985; 0.738089
30; 8; 9.35; 0.726292
40; 8; 9.06; 0.903549
50; 7; 8.49; 1.13133
60; 7; 8.165; 1.42751
70; 7; 8.49; 1.64009
80; 7; 8.145; 1.75042
90; 7; 8.465; 2.10209
100; 7; 8.5; 2.09045
110; 7; 8.575; 2.07951
120; 7; 8.49; 2.06637
130; 7; 8.64; 2.05436
140; 7; 8.715; 2.12927
150; 7; 8.465; 2.28665
160; 7; 8.55; 2.31894
170; 7; 8.875; 2.41855
180; 7; 8.165; 2.09947
190; 7; 8.34; 2.07229
200; 7; 8.415; 2.14774
210; 7; 8.395; 2.09737
220; 7; 8.295; 2.13025
230; 7; 8.29; 2.1368
240; 7; 8.165; 2.16974
250; 7; 8.365; 2.23646
260; 7; 8.185; 2.12386
270; 7; 8.17; 2.15664
280; 7; 8.435; 2.21038
290; 7; 8.29; 2.11799
300; 7; 8.44; 2.2263
310; 7; 8.39; 2.21312
320; 7; 8.475; 2.09747
330; 7; 8.56; 2.16481
340; 7; 8.485; 2.31512
350; 7; 8.375; 2.30095
360; 7; 8.475; 2.22697
370; 7; 8.37; 2.17787
380; 7; 8.435; 2.34644
390; 7; 8.435; 2.37187
400; 7; 8.555; 2.27749
410; 7; 8.825; 2.34187
420; 7; 8.775; 2.29878
430; 7; 8.375; 2.36101
440; 7; 8.755; 2.43413
450; 7; 8.59; 2.44784
460; 7; 8.57; 2.36116
470; 7; 8.48; 2.23821
480; 7; 8.435; 2.31857
490; 7; 8.635; 2.30256
500; 7; 8.72; 2.34981
510; 7; 8.475; 2.37684
520; 7; 8.445; 2.29934
530; 7; 8.39; 2.4141
540; 7; 8.345; 2.34008
550; 7; 8.405; 2.32615
560; 7; 8.13; 2.17097
570; 7; 8.295; 2.17209
580; 7; 8.575; 2.25264
590; 7; 8.215; 2.21558
600; 7; 8.35; 2.2951
610; 7; 8.675; 2.42268
620; 7; 8.37; 2.16636
630; 7; 8.725; 2.30204
640; 7; 8.535; 2.34708
