gen; best; worst; avg; dev
0; 21; 24; 23.25; 0.739932
0; 18; 24; 22.63; 0.795676
10; 16; 20; 17.995; 0.659526
20; 15; 18; 16.345; 0.570942
30; 14; 18; 15.435; 0.682477
40; 15; 18; 15.34; 0.569561
50; 13; 17; 14.415; 0.709066
60; 12; 16; 13.355; 0.607433
70; 12; 15; 13.24; 0.549909
80; 12; 15; 12.595; 0.656487
90; 12; 15; 12.31; 0.523355
100; 11; 14; 12.065; 0.48039
110; 11; 13; 11.445; 0.589046
120; 10; 13; 11.22; 0.481248
130; 10; 13; 11.055; 0.593275
140; 10; 12; 10.615; 0.675851
150; 10; 14; 10.515; 0.774451
160; 10; 15; 10.715; 1.15055
170; 10; 16; 10.83; 1.36055
180; 10; 18; 10.675; 1.34513
190; 10; 19; 11.075; 1.78868
200; 10; 20; 10.975; 1.713
210; 10; 20; 11.025; 1.9556
220; 10; 20; 10.87; 1.93471
230; 10; 18; 10.45; 0.847054
240; 10; 13; 10.43; 0.651997
250; 10; 14; 10.5; 0.754983
260; 10; 14; 10.615; 0.952247
270; 10; 16; 10.555; 1.03294
280; 10; 13; 10.345; 0.55315
290; 10; 12; 10.375; 0.551702
300; 10; 14; 10.425; 0.703118
310; 10; 16; 10.46; 0.859302
320; 10; 17; 10.465; 0.932081
330; 10; 18; 10.375; 1.04612
340; 10; 18; 10.585; 1.21769
350; 9; 18; 10.64; 1.23305
360; 9; 18; 10.72; 1.40414
370; 9; 19; 10.5; 1.34164
380; 9; 20; 10.51; 1.49663
390; 9; 20; 10.565; 1.59868
400; 9; 21; 10.66; 1.804
410; 9; 19; 10.6; 1.78885
420; 9; 20; 10.82; 2.45715
430; 9; 20; 10.825; 2.41545
440; 9; 21; 11.125; 2.97815
450; 9; 21; 11.255; 2.93257
460; 9; 21; 11.06; 3.04243
470; 9; 21; 11.14; 3.33023
480; 9; 22; 11.01; 3.34214
490; 9; 22; 11.115; 3.28051
500; 9; 23; 10.885; 3.35288
510; 9; 22; 11.255; 3.37935
520; 9; 22; 11.3; 3.4322
530; 9; 22; 11.185; 3.46854
540; 9; 23; 11.265; 3.60344
550; 9; 23; 10.845; 3.32129
560; 9; 22; 11.705; 4.13376
570; 9; 22; 11.685; 3.72368
580; 9; 22; 12.155; 3.64568
590; 9; 22; 11.875; 3.62621
600; 9; 22; 11.1; 3.18904
610; 9; 23; 11.52; 3.68098
620; 9; 23; 11.28; 3.26368
630; 9; 23; 10.67; 2.84975
640; 9; 23; 10.675; 2.90334
650; 9; 22; 10.655; 2.9404
660; 9; 22; 10.575; 2.97058
670; 9; 23; 10.705; 3.15246
680; 9; 22; 10.795; 3.17222
690; 9; 23; 10.885; 3.18932
700; 9; 22; 10.53; 3.00651
710; 9; 22; 10.64; 3.17181
720; 9; 22; 10.885; 3.18932
730; 9; 22; 10.425; 3.14394
740; 9; 22; 10.525; 2.94098
750; 9; 22; 10.43; 2.96565
760; 9; 22; 10.57; 2.96734
770; 9; 22; 10.6; 3.09839
780; 9; 23; 10.87; 3.1501
790; 9; 23; 10.63; 3.14851
800; 9; 23; 10.785; 3.21695
810; 9; 23; 10.79; 3.49941
820; 9; 23; 11.05; 3.67389
830; 9; 23; 10.935; 3.53706
840; 9; 23; 10.79; 3.49226
850; 9; 24; 10.575; 3.3458
860; 9; 24; 10.13; 3.09566
870; 9; 24; 10.585; 3.60594
880; 9; 23; 10.465; 3.1287
890; 9; 23; 10.185; 3.04479
900; 9; 23; 10.36; 3.09037
910; 9; 23; 10.51; 3.09837
920; 9; 23; 10.485; 3.26646
930; 9; 23; 10.48; 3.24339
940; 9; 24; 10.305; 3.26374
950; 9; 24; 10.455; 3.15246
960; 9; 24; 10.47; 3.23714
970; 9; 24; 10.65; 3.34925
980; 9; 24; 10.965; 3.2686
990; 9; 24; 10.94; 3.35952
1000; 9; 24; 10.4; 3.1241
1010; 9; 24; 10.685; 3.16635
1020; 9; 24; 11.105; 3.2778
1030; 9; 23; 11; 3.17175
1040; 9; 23; 11.16; 3.23796
1050; 9; 23; 10.955; 3.27765
1060; 9; 23; 11.515; 3.72018
1070; 9; 23; 11.24; 3.74331
1080; 9; 24; 11.19; 3.49484
1090; 9; 24; 11.19; 3.75019
1100; 9; 24; 11.305; 3.66906
1110; 9; 24; 11.04; 3.67402
1120; 9; 23; 11.025; 3.56853
1130; 9; 23; 11.6; 3.68646
1140; 9; 23; 11.235; 3.56928
1150; 9; 23; 11.49; 3.63867
1160; 9; 23; 10.735; 3.52772
1170; 9; 23; 10.735; 3.53338
1180; 9; 23; 11.29; 3.85822
1190; 9; 23; 11.35; 3.61905
1200; 9; 23; 11.085; 3.82463
1210; 9; 23; 11.14; 3.66612
1220; 9; 23; 11.335; 3.57949
1230; 9; 23; 11.215; 3.74149
1240; 9; 23; 11.195; 3.58427
1250; 9; 23; 11.625; 3.79794
1260; 9; 23; 11.93; 3.73431
1270; 9; 23; 11.35; 3.82851
1280; 9; 23; 12.305; 4.35453
1290; 9; 23; 11.925; 3.82876
