gen; best; avg; dev
0; 24; 26.515; 0.685401
0; 24; 26.02; 0.824379
10; 20; 22.4; 0.754983
20; 18; 19.37; 0.559553
30; 17; 17.66; 0.724155
40; 16; 16.785; 0.713285
50; 15; 16.22; 0.617738
60; 15; 16.08; 0.650846
70; 14; 15.34; 0.542586
80; 14; 15.2; 0.616441
90; 14; 14.81; 0.603241
100; 13; 14.35; 0.53619
110; 14; 14.245; 0.474315
120; 14; 14.27; 0.526403
130; 13; 14.11; 0.48775
140; 13; 13.515; 0.699839
150; 12; 13.22; 0.501597
160; 12; 13.1; 0.547723
170; 12; 12.48; 0.632139
180; 11; 12.295; 0.572691
190; 11; 12.3; 0.616441
200; 11; 12.09; 0.649538
210; 11; 12.04; 0.60696
220; 11; 11.31; 0.560268
230; 11; 11.46; 0.899111
240; 11; 11.66; 1.2627
250; 11; 11.555; 1.38816
260; 11; 11.75; 1.48577
270; 11; 11.56; 1.55448
280; 11; 11.67; 1.7496
290; 11; 11.865; 1.84303
300; 11; 11.915; 2.01191
310; 11; 11.96; 2.16988
320; 11; 11.455; 1.13048
330; 11; 11.55; 1.21552
340; 11; 11.42; 1.10164
350; 11; 11.515; 1.21234
360; 11; 11.6; 1.37113
370; 11; 11.775; 1.55704
380; 11; 11.495; 1.4142
390; 11; 11.45; 1.40624
400; 11; 11.375; 0.924324
410; 11; 11.18; 0.40939
420; 11; 11.34; 0.643739
430; 11; 11.495; 0.8426
440; 11; 11.475; 0.969214
450; 11; 11.51; 1.04876
460; 11; 11.64; 1.31924
470; 11; 12.065; 1.64644
480; 11; 12.17; 1.98018
490; 11; 11.94; 2.01901
500; 11; 11.81; 2.05034
510; 11; 12.11; 2.18126
520; 11; 12.315; 2.50714
530; 11; 11.945; 2.36262
540; 11; 11.775; 2.11054
550; 11; 12.03; 2.34928
560; 11; 11.89; 2.32549
570; 11; 12.155; 2.51217
580; 11; 12.265; 2.90943
590; 11; 12.15; 2.60336
600; 11; 12.12; 2.675
610; 11; 12.105; 2.60461
620; 11; 12.2; 2.69629
630; 11; 12.15; 2.66786
640; 11; 12.295; 2.7291
650; 11; 12.435; 2.73236
660; 11; 12.58; 2.97382
670; 11; 12.585; 2.82361
680; 11; 12.725; 2.92051
690; 11; 12.755; 3.24422
700; 11; 13.005; 3.25806
710; 11; 13.22; 3.3409
720; 11; 13.36; 3.35118
730; 11; 13.08; 3.22236
740; 11; 12.865; 3.09787
750; 11; 13.205; 3.2807
760; 11; 13.45; 3.46951
770; 11; 13.075; 3.31653
780; 11; 13.305; 3.79499
790; 11; 13.01; 3.51851
800; 11; 13.13; 3.68688
810; 11; 12.875; 3.44955
820; 11; 12.775; 3.66529
830; 11; 13.365; 3.73119
840; 11; 12.8; 3.75366
850; 11; 12.49; 3.58607
860; 11; 12.435; 3.37872
870; 11; 12.72; 3.64302
880; 11; 11.96; 2.74379
890; 11; 11.965; 2.68957
900; 11; 11.835; 2.70699
910; 11; 11.825; 2.70636
920; 11; 11.86; 2.65526
930; 11; 11.345; 1.38419
940; 11; 11.42; 1.44
950; 11; 11.52; 1.5263
960; 11; 11.665; 1.62566
970; 11; 11.755; 1.91963
980; 11; 11.595; 1.68255
990; 11; 11.9; 1.94422
1000; 11; 11.74; 1.90326
1010; 11; 11.775; 1.99358
1020; 11; 12; 2.14009
1030; 11; 12.04; 2.26018
1040; 11; 11.63; 1.53398
1050; 11; 11.275; 0.499375
1060; 11; 11.315; 0.579461
1070; 11; 11.275; 0.499375
1080; 11; 11.4; 0.640312
1090; 11; 11.505; 0.943385
1100; 11; 11.385; 0.778958
1110; 11; 11.305; 0.74295
1120; 11; 11.49; 0.9219
1130; 11; 11.31; 0.820914
1140; 11; 11.18; 0.40939
1150; 11; 11.245; 0.543116
1160; 11; 11.425; 0.918899
1170; 11; 11.33; 0.831324
1180; 11; 11.465; 0.958528
1190; 11; 11.435; 1.09808
1200; 11; 11.365; 1.12329
1210; 11; 11.28; 0.511468
1220; 11; 11.24; 0.449889
1230; 11; 11.22; 0.448999
1240; 11; 11.24; 0.502394
1250; 11; 11.31; 0.569122
1260; 11; 11.375; 0.821203
1270; 11; 11.355; 0.847924
1280; 11; 11.36; 0.959375
1290; 11; 11.53; 1.08586
1300; 11; 11.645; 1.30728
1310; 11; 11.56; 1.42702
1320; 11; 11.385; 0.946982
1330; 11; 11.585; 1.01132
1340; 11; 11.64; 1.31545
1350; 11; 11.475; 1.28428
1360; 11; 11.415; 1.2461
1370; 11; 11.315; 0.505742
1380; 11; 11.355; 0.537564
1390; 11; 11.33; 0.584038
1400; 11; 11.26; 0.482079
1410; 10; 11.205; 0.472202
1420; 10; 11.1; 0.6
1430; 10; 10.91; 0.980765
1440; 10; 11.685; 1.50525
1450; 10; 11.555; 1.74842
1460; 10; 11.845; 2.04474
1470; 10; 11.85; 2.19943
1480; 10; 11.58; 2.22791
1490; 10; 11.425; 2.36947
1500; 10; 12.16; 2.73759
1510; 10; 12; 2.79285
1520; 10; 11.975; 2.96384
1530; 10; 12.135; 3.07031
1540; 10; 12.65; 3.09152
1550; 10; 12.375; 3.36368
1560; 10; 13.16; 3.73288
1570; 10; 12.425; 3.48775
1580; 10; 12.15; 3.29962
1590; 10; 12.41; 3.43393
1600; 10; 12.205; 3.41071
1610; 10; 12.295; 3.29211
1620; 10; 12.045; 3.29742
1630; 10; 12.15; 3.37305
1640; 10; 12.435; 3.54623
1650; 10; 12.34; 3.38443
1660; 10; 12.105; 3.73416
1670; 10; 13.05; 4.08748
1680; 10; 12.27; 3.7386
1690; 10; 12.04; 3.47971
1700; 10; 12.075; 3.4219
1710; 10; 12.235; 3.43362
1720; 10; 12.12; 3.46347
