gen; best; avg; dev
0; 104; 115.665; 3.22223
0; 104; 113.36; 2.36652
10; 98; 101.895; 1.21407
20; 92; 94.175; 0.777416
30; 89; 90.865; 0.50673
40; 87; 89.055; 0.584786
50; 86; 86.885; 0.633857
60; 84; 85.755; 0.651901
70; 83; 83.915; 0.507715
80; 81; 82.17; 0.425558
90; 78; 79.805; 0.63006
100; 77; 77.72; 0.567098
110; 75; 76.23; 0.638044
120; 74; 75.105; 0.337602
130; 74; 75.015; 0.441333
140; 74; 74.155; 0.388555
150; 72; 73.445; 0.63006
160; 71; 72.105; 0.417103
170; 70; 71.12; 0.464327
180; 69; 70.095; 0.382067
190; 69; 69.22; 0.46
200; 69; 69.24; 0.460869
210; 68; 68.15; 0.37081
220; 66; 67.12; 0.524976
230; 66; 66.11; 0.31289
240; 65; 65.655; 0.613168
250; 65; 65.135; 0.341724
260; 65; 65.135; 0.356055
270; 64; 65; 0.556776
280; 64; 64.15; 0.357071
290; 64; 64.165; 0.371181
300; 64; 64.125; 0.345507
310; 64; 64.19; 0.417013
320; 63; 64.09; 0.449333
330; 62; 63.055; 0.449416
340; 62; 62.27; 0.46594
350; 62; 62.16; 0.38
360; 61; 62.075; 0.399218
370; 60; 61.125; 0.37333
380; 60; 60.91; 0.530943
390; 60; 60.14; 0.361109
400; 59; 59.175; 0.392906
410; 58; 58.73; 0.739662
420; 58; 58.155; 0.401217
430; 58; 58.19; 0.417013
440; 58; 58.14; 0.361109
450; 58; 58.14; 0.346987
460; 58; 58.16; 0.38
470; 58; 58.225; 0.452079
480; 58; 58.235; 0.458012
490; 57; 58.11; 0.384578
500; 57; 57.2; 0.412311
510; 57; 57.105; 0.306553
520; 57; 57.14; 0.346987
530; 57; 57.25; 0.455522
540; 57; 57.145; 0.366026
550; 57; 57.12; 0.324962
560; 56; 57.125; 0.345507
570; 57; 57.145; 0.352101
580; 56; 57.14; 0.3747
590; 56; 56.665; 0.610553
600; 56; 56.12; 0.34
610; 56; 56.145; 0.37944
620; 56; 56.2; 0.412311
630; 56; 56.215; 0.434482
640; 55; 55.875; 0.582559
650; 55; 55.19; 0.392301
660; 54; 54.515; 0.582902
670; 54; 54.165; 0.371181
680; 54; 54.16; 0.366606
690; 54; 54.16; 0.366606
700; 54; 54.205; 0.403702
710; 54; 54.16; 0.392938
720; 53; 54.185; 0.425176
730; 54; 54.19; 0.417013
740; 54; 54.205; 0.415903
750; 54; 54.155; 0.361905
760; 54; 54.125; 0.330719
770; 54; 54.115; 0.319022
780; 54; 54.205; 0.439289
790; 54; 54.185; 0.413249
