gen; best; worst; avg; dev; tour; cp; mp; ffe; time
4800; 45; 119; 49.27; 16.2311; 2; 0.7; 0.2; 1000110; 2032.81s
4911; 45; 117; 49.99; 17.0537; 2; 0.7; 0.2; 1000094; 2053.03s
4729; 45; 120; 49.44; 16.3971; 2; 0.7; 0.2; 1000050; 2005.19s
4824; 43; 122; 47.6; 16.803; 2; 0.7; 0.2; 1000038; 1985.58s
4818; 44; 123; 48.505; 16.8256; 2; 0.7; 0.2; 1000109; 1983.29s
4927; 45; 121; 49.565; 16.6618; 2; 0.7; 0.2; 1000126; 2003.09s
4854; 44; 122; 48.405; 16.789; 2; 0.7; 0.2; 1000107; 1989.19s
4814; 43; 117; 47.745; 16.8852; 2; 0.7; 0.2; 1000078; 1982.51s
4822; 45; 117; 50.705; 18.3831; 2; 0.7; 0.2; 1000064; 1983.36s
4830; 43; 121; 47.495; 16.982; 2; 0.7; 0.2; 1000031; 1985.95s
