gen; best; worst; avg; dev; tour; cp; mp; ffe; time
208; 6; 9; 7.23; 0.47655; 2; 0.7; 0.2; 43906; 4.19882s
392; 6; 8; 7.21; 0.431161; 2; 0.7; 0.2; 81034; 7.65453s
98; 6; 10; 7.44; 0.637495; 2; 0.7; 0.2; 26235; 2.46289s
153; 6; 9; 7.13; 0.378286; 2; 0.7; 0.2; 37691; 3.4609s
153; 6; 8; 7.2; 0.412311; 2; 0.7; 0.2; 35584; 3.34088s
405; 6; 9; 7.135; 0.369831; 2; 0.7; 0.2; 86521; 8.04789s
163; 6; 9; 7.215; 0.434482; 2; 0.7; 0.2; 44362; 3.87316s
163; 6; 9; 7.335; 0.531766; 2; 0.7; 0.2; 39171; 3.5306s
217; 6; 8; 7.24; 0.438634; 2; 0.7; 0.2; 48103; 4.47109s
227; 6; 9; 7.155; 0.388555; 2; 0.7; 0.2; 52780; 4.97762s
349; 6; 8; 7.145; 0.366026; 2; 0.7; 0.2; 78409; 7.11533s
177; 6; 8; 7.16; 0.38; 2; 0.7; 0.2; 43526; 3.94579s
110; 6; 9; 7.175; 0.405432; 2; 0.7; 0.2; 30365; 2.75523s
310; 6; 9; 7.15; 0.384057; 2; 0.7; 0.2; 77118; 6.75786s
219; 6; 8; 7.185; 0.400968; 2; 0.7; 0.2; 53715; 5.03759s
327; 6; 9; 7.275; 0.499375; 2; 0.7; 0.2; 68246; 6.41864s
196; 6; 9; 7.355; 0.546786; 2; 0.7; 0.2; 40618; 4.06164s
161; 6; 9; 7.135; 0.383112; 2; 0.7; 0.2; 34870; 3.31433s
99; 6; 9; 7.235; 0.499775; 2; 0.7; 0.2; 26420; 2.45536s
222; 6; 10; 7.2; 0.469042; 2; 0.7; 0.2; 49414; 4.65059s
