gen; best; worst; avg; dev; tour; cp; mp; ffe; time
869; 5; 16; 8.095; 2.49719; 2; 0.7; 0.2; 88124; 21.7576s
57; 5; 14; 7.8; 1.63707; 2; 0.7; 0.2; 6981; 1.57768s
95; 5; 15; 8.13; 2.259; 2; 0.7; 0.2; 10613; 2.39246s
128; 5; 16; 7.755; 1.93261; 2; 0.7; 0.2; 14273; 3.14841s
67; 5; 14; 7.675; 1.78027; 2; 0.7; 0.2; 8247; 1.80308s
38; 5; 15; 8.405; 1.32702; 2; 0.7; 0.2; 4942; 1.15054s
150; 5; 16; 8.005; 2.36537; 2; 0.7; 0.2; 15749; 3.77823s
52; 5; 14; 7.47; 1.42446; 2; 0.7; 0.2; 6412; 1.30915s
51; 5; 14; 7.385; 1.49224; 2; 0.7; 0.2; 6381; 1.21856s
34; 5; 12; 7.31; 1.35422; 2; 0.7; 0.2; 4324; 0.778448s
185; 5; 16; 7.415; 2.35431; 2; 0.7; 0.2; 19301; 4.06506s
54; 5; 15; 7.485; 1.93643; 2; 0.7; 0.2; 6535; 1.22836s
78; 5; 15; 7.605; 2.20431; 2; 0.7; 0.2; 8948; 1.78177s
102; 5; 15; 7.655; 2.06784; 2; 0.7; 0.2; 11736; 2.49477s
58; 5; 15; 7.875; 1.72609; 2; 0.7; 0.2; 7203; 1.6405s
68; 5; 14; 7.475; 1.8026; 2; 0.7; 0.2; 8163; 1.97806s
71; 5; 14; 7.75; 1.69337; 2; 0.7; 0.2; 8716; 1.98282s
58; 5; 14; 7.805; 1.4202; 2; 0.7; 0.2; 7304; 1.56143s
113; 5; 15; 8.21; 2.29911; 2; 0.7; 0.2; 12033; 2.51046s
64; 5; 13; 7.48; 1.11337; 2; 0.7; 0.2; 8282; 1.6431s
