iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 115; 116; 1
1; 2; 4; 113; 117.5; 2.9685
2; 2; 4; 109; 117.5; 4.92109
3; 3; 8; 103; 117.417; 8.79
4; 3; 8; 87; 112.583; 9.93748
5; 3; 8; 79; 107.917; 7.83201
6; 3; 8; 75; 105.75; 7.43501
7; 4; 16; 75; 109.125; 15.1357
8; 4; 16; 68; 107.281; 16.3241
9; 4; 16; 68; 106.188; 16.2082
10; 4; 16; 63; 105.531; 16.3092
11; 4; 16; 61; 104.688; 16.6001
12; 4; 16; 61; 95.0469; 10.7061
13; 4; 16; 59; 93.9219; 8.4177
14; 4; 16; 57; 93.7344; 7.78004
15; 4; 16; 56; 93.5781; 7.79851
16; 4; 16; 56; 93.1719; 7.48508
17; 4; 16; 56; 89.5; 5.47803
18; 4; 16; 55; 89.4375; 5.15745
19; 4; 16; 55; 89.1562; 4.91433
20; 4; 16; 55; 89.0625; 4.77284
21; 4; 16; 55; 89; 4.82806
22; 4; 16; 53; 87.2812; 4.16735
23; 4; 16; 53; 87.1875; 3.97793
24; 4; 16; 53; 87.1562; 3.97851
25; 4; 16; 53; 87.0625; 4.06887
26; 4; 16; 52; 86.9062; 4.00124
27; 5; 32; 52; 93.0062; 11.0493
28; 5; 32; 52; 92.1688; 12.1106
29; 5; 32; 52; 92.0438; 12.3206
30; 5; 32; 50; 91.9437; 12.4311
31; 5; 32; 50; 91.8187; 12.5005
32; 5; 32; 50; 91.6437; 12.3986
33; 5; 32; 50; 91.1813; 12.2435
34; 5; 32; 50; 91.0812; 12.1483
35; 5; 32; 49; 91.0062; 12.2888
36; 5; 32; 48; 90.8312; 12.2123
37; 5; 32; 48; 90.7812; 12.1921
38; 5; 32; 48; 90.4562; 12.1639
39; 5; 32; 47; 90.3812; 12.2333
40; 5; 32; 47; 90.2062; 12.2033
41; 5; 32; 46; 90.1063; 12.1241
42; 5; 32; 46; 90.0563; 12.0915
43; 5; 32; 45; 89.7687; 12.1421
44; 5; 32; 45; 89.7687; 12.2781
45; 5; 32; 45; 89.6188; 12.2653
46; 5; 32; 45; 89.5438; 12.243
47; 5; 32; 45; 89.5438; 12.2287
48; 5; 32; 45; 81.6937; 7.21979
49; 5; 32; 45; 81.3937; 6.09505
50; 5; 32; 45; 81.3187; 5.84446
51; 5; 32; 45; 81.3187; 5.83214
52; 5; 32; 44; 81.2938; 5.81753
53; 5; 32; 44; 81.2687; 5.81202
54; 5; 32; 44; 81.1063; 5.78432
55; 5; 32; 44; 81.1063; 5.8025
56; 5; 32; 44; 81.0812; 5.80394
57; 5; 32; 44; 81.0812; 5.76281
58; 5; 32; 44; 81.0312; 5.76639
59; 5; 32; 44; 80.8438; 5.70282
60; 5; 32; 44; 80.7938; 5.6783
61; 5; 32; 44; 80.7687; 5.67022
62; 5; 32; 44; 80.7687; 5.66192
63; 5; 32; 44; 80.7438; 5.64084
64; 5; 32; 44; 80.6688; 5.69004
65; 5; 32; 44; 80.6437; 5.69531
66; 5; 32; 44; 80.6437; 5.69636
67; 5; 32; 44; 80.6437; 5.69658
68; 5; 32; 44; 80.6437; 5.69662
69; 5; 32; 44; 77.8063; 4.24413
70; 5; 32; 42; 77.6312; 3.96363
71; 5; 32; 42; 77.6312; 3.90753
72; 5; 32; 42; 77.6312; 3.89631
73; 5; 32; 42; 77.6312; 3.89406
74; 5; 32; 42; 77.6312; 3.89361
75; 5; 32; 42; 77.4938; 3.86904
76; 5; 32; 42; 77.4938; 3.86413
