iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 8; 8.5; 0.5
1; 1; 2; 8; 8; 0.5
2; 1; 2; 8; 8; 0.5
3; 2; 4; 8; 8.125; 0.375
4; 2; 4; 8; 8; 0.4375
5; 2; 4; 7; 7.875; 0.498258
6; 2; 4; 7; 7.75; 0.499129
7; 3; 8; 7; 7.875; 0.721684
8; 3; 8; 6; 7.54167; 0.545421
9; 3; 8; 6; 7.45833; 0.580464
10; 3; 8; 6; 7.29167; 0.498347
11; 4; 16; 6; 7.48438; 0.631427
12; 4; 16; 5; 7.42188; 0.704257
13; 4; 16; 5; 7.1875; 0.644367
14; 4; 16; 5; 7.03125; 0.58239
15; 4; 16; 5; 6.92188; 0.59934
16; 4; 16; 5; 6.92188; 0.59934
iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 7; 7.5; 0.5
1; 1; 2; 7; 7.5; 1
2; 1; 2; 7; 7.5; 1.5
3; 2; 4; 7; 7.75; 1.25
4; 2; 4; 7; 7.625; 1.25
5; 2; 4; 7; 7.25; 0.875
6; 3; 8; 7; 7.45833; 0.794261
7; 3; 8; 5; 7.16667; 0.764754
8; 3; 8; 5; 7.16667; 0.764754
iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 8; 8; 0
1; 1; 2; 8; 8; 0
2; 1; 2; 8; 8; 0
3; 2; 4; 8; 8; 0
4; 2; 4; 8; 8; 0
5; 2; 4; 8; 8; 0
6; 3; 8; 7; 8; 0.117851
7; 3; 8; 7; 7.95833; 0.441102
8; 3; 8; 6; 7.58333; 0.351158
9; 4; 16; 6; 7.64062; 0.545069
10; 4; 16; 6; 7.35938; 0.443249
11; 4; 16; 6; 7.25; 0.429265
12; 4; 16; 5; 7.125; 0.385409
13; 5; 32; 5; 7.30625; 0.545222
14; 5; 32; 5; 7.075; 0.485629
15; 5; 32; 5; 6.9625; 0.461573
16; 5; 32; 5; 6.9625; 0.461573
iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 8; 8; 0
1; 1; 2; 8; 8; 0
2; 1; 2; 8; 8; 0
3; 2; 4; 8; 8; 0
4; 2; 4; 8; 8; 0.25
5; 2; 4; 7; 7.875; 0.455719
6; 3; 8; 7; 7.91667; 0.608088
7; 3; 8; 7; 7.75; 0.589842
8; 3; 8; 7; 7.66667; 0.500427
9; 3; 8; 7; 7.58333; 0.591412
10; 4; 16; 7; 7.6875; 0.682812
11; 4; 16; 6; 7.59375; 0.708819
12; 4; 16; 6; 7.4375; 0.559071
13; 4; 16; 6; 7.4375; 0.610022
14; 4; 16; 5; 7.40625; 0.647045
15; 4; 16; 5; 7.21875; 0.637436
16; 4; 16; 5; 7.0625; 0.583968
17; 4; 16; 5; 6.95312; 0.559341
18; 4; 16; 5; 6.95312; 0.559341
iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 8; 8; 0
1; 1; 2; 8; 8; 0
2; 1; 2; 8; 8; 0
3; 2; 4; 8; 8; 0
4; 2; 4; 8; 8; 0
5; 2; 4; 8; 8; 0.353553
6; 2; 4; 7; 7.75; 0.609789
7; 3; 8; 7; 7.91667; 0.792401
8; 3; 8; 6; 7.75; 0.89793
9; 3; 8; 6; 7.5; 1.04089
10; 3; 8; 6; 7.125; 0.81849
11; 3; 8; 6; 7.04167; 0.64783
12; 4; 16; 6; 7.29688; 0.775767
13; 4; 16; 6; 7.26562; 0.864889
14; 4; 16; 5; 7.23438; 0.881461
15; 4; 16; 5; 6.9375; 0.762676
16; 4; 16; 5; 6.78125; 0.648349
17; 4; 16; 5; 6.78125; 0.648349
iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 8; 8; 0
1; 1; 2; 8; 8; 0
2; 1; 2; 8; 8; 0
3; 1; 2; 8; 8; 0
4; 2; 4; 8; 8.125; 0.125
5; 2; 4; 8; 8.125; 0.1875
6; 2; 4; 8; 8.125; 0.21875
7; 2; 4; 8; 8.125; 0.234375
8; 3; 8; 7; 8.08333; 0.365582
9; 3; 8; 7; 7.95833; 0.525242
10; 3; 8; 6; 7.70833; 0.511862
11; 3; 8; 6; 7.5; 0.398292
12; 4; 16; 6; 7.64062; 0.563893
13; 4; 16; 6; 7.64062; 0.605294
14; 4; 16; 5; 7.64062; 0.684167
15; 4; 16; 5; 7.375; 0.716505
16; 4; 16; 5; 7.375; 0.716505
iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 8; 8; 0
1; 1; 2; 8; 8; 0
2; 1; 2; 8; 8; 0
3; 1; 2; 8; 8; 0
4; 2; 4; 7; 8; 0.25
5; 2; 4; 7; 8; 0.375
6; 2; 4; 7; 8; 0.4375
7; 2; 4; 7; 7.875; 0.702873
8; 2; 4; 6; 7.625; 0.726436
9; 2; 4; 6; 7.5; 0.716772
10; 3; 8; 6; 7.75; 0.946031
11; 3; 8; 6; 7.29167; 0.661285
12; 3; 8; 6; 7.29167; 0.664464
13; 3; 8; 5; 7.16667; 0.692893
14; 4; 16; 5; 7.375; 0.851536
15; 4; 16; 5; 7.07812; 0.743903
16; 4; 16; 5; 6.9375; 0.664529
17; 4; 16; 5; 6.84375; 0.644686
18; 4; 16; 5; 6.84375; 0.644686
iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 8; 8; 0
1; 1; 2; 8; 8; 0
2; 1; 2; 8; 8; 0
3; 2; 4; 7; 7.875; 0.330719
4; 2; 4; 7; 7.625; 0.290359
5; 2; 4; 7; 7.5; 0.14518
6; 2; 4; 7; 7.5; 0.0725899
7; 3; 8; 7; 7.75; 0.35753
8; 3; 8; 7; 7.75; 0.45251
9; 3; 8; 7; 7.75; 0.48417
10; 3; 8; 7; 7.75; 0.494723
11; 3; 8; 6; 7.45833; 0.462467
12; 3; 8; 6; 7.20833; 0.325952
13; 3; 8; 6; 7.16667; 0.275317
14; 4; 16; 6; 7.39062; 0.526389
15; 4; 16; 6; 7.32812; 0.526656
16; 4; 16; 6; 7.26562; 0.464223
17; 4; 16; 6; 7.26562; 0.448615
18; 4; 16; 6; 7.26562; 0.444713
19; 4; 16; 6; 6.96875; 0.363124
20; 4; 16; 6; 6.96875; 0.342727
21; 4; 16; 6; 6.96875; 0.337627
22; 4; 16; 6; 6.96875; 0.424741
23; 4; 16; 5; 6.9375; 0.44081
24; 4; 16; 5; 6.71875; 0.301136
25; 4; 16; 5; 6.71875; 0.301136
iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 8; 8; 0
1; 1; 2; 8; 8; 0
2; 1; 2; 8; 8; 0
3; 1; 2; 8; 8; 0
4; 2; 4; 8; 8.125; 0.125
5; 2; 4; 8; 8.125; 0.1875
6; 2; 4; 8; 8.125; 0.21875
7; 2; 4; 8; 8; 0.109375
8; 2; 4; 8; 8; 0.0546875
9; 2; 4; 8; 8; 0.0273438
10; 3; 8; 8; 8; 0.272638
11; 3; 8; 8; 8; 0.354402
12; 3; 8; 8; 8; 0.381657
13; 3; 8; 7; 7.79167; 0.335552
14; 3; 8; 6; 7.66667; 0.229702
15; 3; 8; 6; 7.625; 0.308557
16; 4; 16; 6; 7.76562; 0.622534
17; 4; 16; 5; 7.64062; 0.676905
18; 4; 16; 5; 7.3125; 0.516738
19; 4; 16; 5; 7.14062; 0.392806
20; 4; 16; 5; 7.0625; 0.360745
21; 4; 16; 5; 7.0625; 0.360745
iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 8; 8; 0
1; 1; 2; 8; 8; 0
2; 1; 2; 8; 8; 0
3; 1; 2; 8; 8; 0
4; 2; 4; 7; 7.875; 0.330719
5; 2; 4; 7; 7.625; 0.290359
6; 3; 8; 7; 7.79167; 0.611123
7; 3; 8; 6; 7.375; 0.397281
8; 3; 8; 6; 7.375; 0.488987
9; 3; 8; 6; 7.125; 0.384522
10; 4; 16; 5; 7.35938; 0.61755
11; 4; 16; 5; 7.29688; 0.654843
12; 4; 16; 5; 7.29688; 0.654843
iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 8; 8; 0
1; 1; 2; 8; 8; 0
2; 2; 4; 8; 8; 0.353553
3; 2; 4; 7; 7.75; 0.426777
4; 3; 8; 7; 7.83333; 0.62073
5; 3; 8; 6; 7.54167; 0.564517
6; 3; 8; 6; 7.41667; 0.558963
7; 3; 8; 6; 7.29167; 0.503219
8; 4; 16; 6; 7.5; 0.727913
9; 4; 16; 6; 7.46875; 0.858913
10; 4; 16; 5; 7.40625; 0.857256
11; 4; 16; 5; 7.07812; 0.736977
12; 4; 16; 5; 7.07812; 0.736977
iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 7; 7.5; 0.5
1; 1; 2; 7; 7.5; 1
2; 1; 2; 7; 7.5; 1.5
3; 2; 4; 7; 7.875; 1.45069
4; 2; 4; 7; 7.5; 1.22535
5; 3; 8; 7; 7.70833; 1.20389
6; 3; 8; 6; 7.29167; 0.988078
7; 3; 8; 5; 7.08333; 0.849032
8; 3; 8; 5; 7.08333; 0.849032
iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 8; 8; 0
1; 1; 2; 8; 8; 0
2; 1; 2; 8; 8; 0
3; 1; 2; 8; 8; 0
4; 2; 4; 8; 8.125; 0.216506
5; 2; 4; 8; 8.125; 0.233253
6; 3; 8; 7; 8.08333; 0.494418
7; 3; 8; 6; 7.75; 0.452263
8; 3; 8; 6; 7.625; 0.405884
9; 3; 8; 6; 7.58333; 0.385295
10; 4; 16; 6; 7.6875; 0.548989
11; 4; 16; 6; 7.59375; 0.547592
12; 4; 16; 5; 7.59375; 0.638556
13; 4; 16; 5; 7.375; 0.570124
14; 4; 16; 5; 7.25; 0.583944
15; 4; 16; 5; 7.0625; 0.495152
16; 4; 16; 5; 7.0625; 0.495152
iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 8; 8; 0
1; 1; 2; 8; 8; 0
2; 2; 4; 7; 8; 0.353553
3; 2; 4; 7; 8; 0.426777
4; 2; 4; 7; 7.875; 0.429895
5; 2; 4; 7; 7.875; 0.431454
6; 3; 8; 7; 7.91667; 0.729114
7; 3; 8; 7; 7.91667; 0.828334
