iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 114; 114.5; 0.5
1; 1; 2; 114; 114.5; 1
2; 2; 4; 104; 114.75; 6.6608
3; 2; 4; 100; 108.875; 5.14664
4; 2; 4; 99; 107.5; 3.48476
5; 3; 8; 99; 110.583; 9.00915
6; 3; 8; 77; 103.375; 8.61293
7; 3; 8; 71; 98.4167; 6.27865
8; 3; 8; 69; 95.6667; 3.49108
9; 4; 16; 69; 100.75; 9.88741
10; 4; 16; 68; 100.281; 11.6311
11; 4; 16; 66; 99.5625; 11.5795
12; 4; 16; 63; 99.3438; 11.9948
13; 4; 16; 61; 98.7188; 12.0399
14; 4; 16; 61; 90.7656; 7.86138
15; 4; 16; 61; 90.1719; 6.57224
16; 4; 16; 59; 89.8906; 6.09813
17; 4; 16; 59; 89.7031; 6.08269
18; 4; 16; 57; 89.4844; 5.99463
19; 4; 16; 57; 85.7344; 3.82467
20; 4; 16; 55; 85.7344; 3.45937
21; 4; 16; 55; 85.4219; 3.36337
22; 4; 16; 55; 85.0469; 3.14129
23; 4; 16; 54; 84.8594; 3.14878
24; 4; 16; 54; 83.2656; 3.10163
25; 4; 16; 53; 83.0469; 3.01043
26; 4; 16; 53; 82.9531; 2.98518
27; 4; 16; 53; 82.8594; 2.9661
28; 4; 16; 52; 82.7969; 3.00821
29; 5; 32; 52; 89.175; 9.81193
30; 5; 32; 52; 87.975; 10.7306
31; 5; 32; 52; 87.875; 10.8966
32; 5; 32; 52; 87.85; 10.9683
33; 5; 32; 51; 87.7; 11.0001
34; 5; 32; 50; 87.6; 11.0278
35; 5; 32; 48; 86.8125; 10.8735
36; 5; 32; 48; 86.6625; 10.8426
37; 5; 32; 48; 86.4375; 10.7394
38; 5; 32; 48; 86.3875; 10.8196
39; 5; 32; 47; 86.2375; 10.8005
40; 5; 32; 46; 85.65; 10.7901
41; 5; 32; 46; 85.525; 10.7615
42; 5; 32; 46; 85.5; 10.7288
43; 5; 32; 46; 85.425; 10.6622
44; 5; 32; 46; 85.375; 10.6607
45; 5; 32; 46; 84.7375; 10.3034
46; 5; 32; 46; 77.3563; 5.51077
47; 5; 32; 44; 77.0938; 4.46904
48; 5; 32; 42; 76.9437; 4.22233
49; 5; 32; 41; 76.8438; 4.3309
50; 5; 32; 41; 76.5687; 4.2316
51; 5; 32; 41; 73.9188; 3.1311
52; 5; 32; 41; 73.8438; 2.96205
53; 5; 32; 39; 73.6437; 2.92824
54; 5; 32; 39; 73.4437; 2.89205
55; 5; 32; 38; 73.2562; 2.80807
56; 5; 32; 38; 71.6875; 2.02025
57; 5; 32; 37; 71.6; 1.96288
58; 5; 32; 36; 71.425; 1.8712
59; 5; 32; 36; 71.35; 1.85021
60; 5; 32; 36; 71.3125; 1.83065
61; 6; 64; 36; 78.7057; 7.62734
62; 6; 64; 36; 78.0599; 8.37286
63; 6; 64; 35; 78.0391; 8.51962
64; 6; 64; 35; 77.9661; 8.54233
65; 6; 64; 35; 77.9036; 8.51911
66; 6; 64; 35; 77.8516; 8.53541
67; 6; 64; 35; 77.4557; 8.49824
68; 6; 64; 35; 77.4036; 8.47103
69; 6; 64; 35; 77.3828; 8.47319
70; 6; 64; 34; 77.3203; 8.47517
71; 6; 64; 34; 77.2786; 8.47711
72; 6; 64; 34; 76.9245; 8.4106
73; 6; 64; 34; 76.9036; 8.38959
74; 6; 64; 34; 76.8828; 8.3715
75; 6; 64; 34; 76.862; 8.37324
76; 6; 64; 34; 76.8516; 8.36926
77; 6; 64; 34; 76.5182; 8.3153
78; 6; 64; 34; 76.4974; 8.31559
79; 6; 64; 33; 76.4661; 8.2978
80; 6; 64; 33; 76.4453; 8.29056
81; 6; 64; 33; 76.4245; 8.27652
82; 6; 64; 33; 70.3333; 4.39597
83; 6; 64; 33; 70.099; 3.75782
84; 6; 64; 33; 70.0677; 3.6371
85; 6; 64; 33; 70.0573; 3.62879
86; 6; 64; 33; 70.0469; 3.62676
87; 6; 64; 33; 70.026; 3.63148
88; 6; 64; 33; 69.7604; 3.52053
89; 6; 64; 33; 69.75; 3.5074
90; 6; 64; 33; 69.7396; 3.49985
91; 6; 64; 33; 69.7083; 3.49673
92; 6; 64; 33; 69.6771; 3.48763
93; 6; 64; 33; 69.5469; 3.47619
94; 6; 64; 33; 69.5365; 3.46925
95; 6; 64; 33; 69.526; 3.4541
96; 6; 64; 33; 69.5052; 3.44368
97; 6; 64; 32; 69.474; 3.43126
98; 6; 64; 32; 69.3906; 3.39802
99; 6; 64; 32; 69.3906; 3.39248
100; 6; 64; 32; 69.3906; 3.39155
101; 6; 64; 32; 69.3906; 3.3914
102; 6; 64; 32; 69.3906; 3.40713
103; 6; 64; 32; 67.1901; 2.24942
104; 6; 64; 32; 67.0859; 2.06011
105; 6; 64; 32; 67.0755; 2.03834
106; 6; 64; 32; 67.0651; 2.03389
107; 6; 64; 32; 67.0651; 2.03314
108; 6; 64; 32; 67.0651; 2.04088
109; 6; 64; 32; 66.9505; 2.03903
110; 6; 64; 32; 66.9401; 2.04376
111; 6; 64; 32; 66.9297; 2.04385
112; 6; 64; 32; 66.9297; 2.04386
113; 6; 64; 32; 66.9297; 2.04797
114; 6; 64; 32; 66.8828; 2.07798
115; 6; 64; 32; 66.8724; 2.08231
116; 6; 64; 32; 66.8724; 2.08825
117; 6; 64; 32; 66.8516; 2.08667
118; 6; 64; 32; 66.8411; 2.08575
119; 6; 64; 32; 66.7786; 2.08897
120; 6; 64; 32; 66.7786; 2.0895
121; 6; 64; 32; 66.7786; 2.08959
122; 6; 64; 32; 66.7786; 2.10738
123; 6; 64; 31; 66.7682; 2.10761
124; 6; 64; 31; 65.737; 1.77935
125; 6; 64; 31; 65.6536; 1.70503
126; 6; 64; 31; 65.6432; 1.69209
127; 6; 64; 31; 65.6432; 1.68993
128; 6; 64; 31; 65.6432; 1.68957
129; 6; 64; 31; 65.6432; 1.68951
130; 6; 64; 31; 65.5755; 1.66625
131; 6; 64; 31; 65.5755; 1.65896
132; 6; 64; 31; 65.5651; 1.65717
133; 6; 64; 31; 65.5651; 1.66993
134; 6; 64; 31; 65.5547; 1.67154
135; 6; 64; 31; 65.513; 1.68232
136; 6; 64; 31; 65.513; 1.68411
137; 6; 64; 31; 65.513; 1.68441
138; 6; 64; 31; 65.513; 1.68446
139; 6; 64; 31; 65.513; 1.68447
140; 6; 64; 31; 65.4245; 1.65588
141; 6; 64; 31; 65.4245; 1.65112
142; 6; 64; 31; 65.4245; 1.65033
143; 6; 64; 31; 65.4245; 1.65019
144; 6; 64; 31; 65.4245; 1.64491
145; 7; 128; 31; 72.5357; 6.42663
146; 7; 128; 31; 71.9397; 6.96285
147; 7; 128; 31; 71.8906; 7.04109
148; 7; 128; 31; 71.8817; 7.04602
149; 7; 128; 31; 71.8728; 7.04622
150; 7; 128; 31; 71.8728; 7.04625
151; 7; 128; 31; 71.8728; 7.04626
152; 7; 128; 31; 71.846; 7.06284
153; 7; 128; 31; 71.846; 7.06521
154; 7; 128; 31; 71.846; 7.06555
155; 7; 128; 31; 71.846; 7.05823
156; 7; 128; 31; 71.8371; 7.05662
157; 7; 128; 31; 71.7746; 7.09059
158; 7; 128; 31; 71.7746; 7.08588
159; 7; 128; 31; 71.7656; 7.08455
160; 7; 128; 31; 71.7656; 7.08436
161; 7; 128; 31; 71.7656; 7.08434
162; 7; 128; 31; 71.6763; 7.07528
163; 7; 128; 31; 71.6763; 7.07399
164; 7; 128; 31; 71.6763; 7.0738
165; 7; 128; 31; 71.6763; 7.07378
166; 7; 128; 31; 71.6763; 7.07377
167; 7; 128; 31; 71.2366; 7.08582
168; 7; 128; 31; 71.2366; 7.08582
iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 116; 117; 1
1; 1; 2; 116; 117; 2
2; 2; 4; 112; 115.75; 2.75
3; 2; 4; 112; 115.125; 2.5
4; 3; 8; 102; 115.333; 6.69663
5; 3; 8; 88; 110.25; 6.76448
6; 3; 8; 83; 106.542; 5.03284
7; 3; 8; 79; 104.583; 4.12729
8; 4; 16; 79; 107.297; 9.62318
9; 4; 16; 70; 106.078; 11.8338
10; 4; 16; 65; 103.984; 11.2553
11; 4; 16; 60; 103.078; 11.1579
12; 4; 16; 60; 102.172; 10.5014
13; 4; 16; 60; 95.4531; 8.37414
14; 4; 16; 60; 95.2031; 7.78938
15; 4; 16; 59; 95.1094; 7.82842
16; 4; 16; 56; 94.6406; 8.0066
17; 4; 16; 54; 93.9844; 7.99178
18; 4; 16; 54; 89.2031; 4.85176
19; 4; 16; 51; 88.5781; 3.92523
20; 4; 16; 51; 88.1406; 3.61191
21; 4; 16; 49; 87.7656; 3.44644
22; 4; 16; 49; 87.4844; 3.20381
23; 4; 16; 49; 85.8594; 2.65175
24; 4; 16; 49; 85.7656; 2.67685
25; 4; 16; 47; 85.6094; 2.68817
26; 4; 16; 47; 85.4531; 2.593
27; 4; 16; 47; 85.3281; 2.51726
28; 5; 32; 47; 91.5312; 9.26611
29; 5; 32; 47; 90.6813; 10.81
30; 5; 32; 47; 90.6063; 11.1161
31; 5; 32; 46; 90.5563; 11.2069
32; 5; 32; 46; 90.5312; 11.3949
33; 5; 32; 45; 90.2812; 11.2511
34; 5; 32; 45; 89.1937; 10.6314
