subpops; biggest_subpop; best; avg; dev; iterations; ffe; time
7; 128; 32; 73.4866; 8.50476; 222; 1000840; 648.525s
7; 128; 32; 70.7299; 7.40474; 207; 1009256; 616.659s
7; 128; 33; 69.5067; 7.69824; 212; 1000264; 589.477s
7; 128; 32; 71.8359; 7.89969; 173; 1000091; 584.551s
7; 128; 32; 72.8069; 7.49653; 179; 1001353; 588.219s
7; 128; 32; 71.2042; 7.99791; 194; 1001578; 587.983s
7; 128; 32; 73.9208; 8.25122; 166; 1004562; 585.135s
7; 128; 32; 74.529; 8.36521; 187; 1002788; 588.072s
7; 128; 32; 71.3873; 7.03018; 180; 1015389; 597.577s
7; 128; 32; 74.4051; 7.845; 220; 1003393; 588.738s
7; 128; 32; 78.9509; 8.88862; 159; 1016304; 597.052s
7; 128; 32; 74.4699; 7.80242; 214; 1001692; 590.761s
7; 128; 33; 70.2422; 7.65551; 244; 1004170; 594.425s
7; 128; 32; 71.0268; 7.85654; 255; 1002686; 590.293s
7; 128; 32; 77.9777; 9.16034; 163; 1001020; 591.075s
7; 128; 33; 73.8359; 8.38214; 193; 1004906; 587.742s
7; 128; 33; 73.6574; 8.19807; 214; 1004484; 589.625s
7; 128; 31; 69.6562; 7.0048; 211; 1001681; 593.688s
7; 128; 33; 74.6596; 8.56594; 178; 1004449; 586.358s
7; 128; 32; 72.8538; 8.54065; 221; 1004635; 588.592s
