subpops; biggest_subpop; best; avg; dev; iterations; ffe; time
7; 128; 8; 17.3661; 0.859965; 435; 1000334; 67.3858s
7; 128; 8; 16.8929; 0.640319; 410; 1000389; 68.0305s
7; 128; 8; 16.9944; 0.61978; 400; 1008752; 68.4326s
7; 128; 8; 16.7757; 0.561024; 299; 1001622; 67.649s
6; 64; 7; 18.9844; 1.27803; 156; 319376; 23.1783s
7; 128; 8; 17.577; 0.975101; 467; 1000811; 68.1085s
7; 128; 7; 17.1496; 0.899612; 209; 634463; 45.5766s
7; 128; 8; 17.3281; 0.682774; 413; 1004774; 68.1368s
7; 128; 7; 17.548; 1.07881; 371; 1005751; 67.4646s
7; 128; 8; 17.3951; 0.61556; 502; 1000546; 69.6461s
8; 256; 8; 19.7085; 1.46046; 362; 1022354; 69.7746s
8; 256; 8; 19.2729; 1.54565; 283; 1005800; 69.6953s
7; 128; 8; 16.7712; 0.626127; 473; 1001702; 68.3207s
8; 256; 8; 18.5801; 1.38077; 418; 1030403; 71.1891s
7; 128; 8; 17.1786; 0.996104; 409; 1006575; 67.8681s
7; 128; 8; 17.2366; 0.641579; 422; 1003122; 68.2005s
7; 128; 7; 17.5882; 0.786424; 259; 965058; 65.166s
8; 256; 8; 19.1382; 1.47234; 271; 1008416; 69.1886s
7; 128; 8; 17.1261; 0.55523; 445; 1002540; 69.4471s
7; 128; 8; 18.5714; 0.803044; 422; 1009991; 69.3873s
