subpops; biggest_subpop; best; avg; dev; iterations; ffe; time
7; 128; 11; 16.346; 0.623014; 416; 1000459; 175.615s
8; 256; 12; 18.4028; 1.38137; 254; 1001627; 178.331s
7; 128; 11; 16.9665; 0.579397; 452; 1001577; 175.098s
7; 128; 11; 17.0525; 0.641712; 422; 1000282; 175.952s
8; 256; 11; 17.3335; 1.25203; 537; 1028830; 181.456s
7; 128; 11; 16.731; 0.999939; 453; 1004573; 176.148s
8; 256; 12; 18.1226; 1.29631; 339; 1003131; 176.497s
7; 128; 12; 16.2087; 0.597639; 438; 1000106; 176.826s
7; 128; 11; 16.7891; 0.764914; 423; 1000028; 176.441s
7; 128; 11; 17.1172; 0.643146; 429; 1000114; 174.912s
7; 128; 11; 16.9598; 0.901993; 457; 1002235; 177.886s
7; 128; 11; 17.1562; 0.790846; 423; 1000381; 175.965s
7; 128; 11; 16.5513; 0.502382; 431; 1000238; 176.483s
7; 128; 11; 16.6239; 0.534347; 433; 1002132; 176.543s
7; 128; 12; 16.5882; 0.528389; 455; 1000375; 176.418s
8; 256; 12; 17.9766; 1.54914; 256; 1001894; 176.126s
7; 128; 11; 16.6306; 0.827286; 463; 1003071; 176.513s
7; 128; 11; 16.2232; 0.38308; 438; 1001580; 175.079s
7; 128; 11; 16.6317; 0.714954; 496; 1000151; 175.941s
8; 256; 11; 18.1582; 1.28189; 304; 1001304; 175.827s
