subpops; biggest_subpop; best; avg; dev; iterations; ffe; time
7; 128; 31; 71.2366; 7.08582; 168; 1013055; 503.498s
7; 128; 31; 73.2076; 6.69725; 183; 1009442; 501.967s
7; 128; 32; 73.7377; 7.5335; 174; 1005661; 505.22s
7; 128; 31; 71.3906; 6.69641; 158; 1011215; 501.104s
7; 128; 32; 72.0882; 6.99562; 150; 1006465; 499.183s
7; 128; 31; 73.4475; 7.08782; 166; 1007892; 503.098s
7; 128; 31; 73.1708; 7.25542; 172; 1012991; 501.974s
7; 128; 31; 71.9989; 7.30251; 161; 1009057; 501.602s
7; 128; 31; 71.1518; 6.56025; 224; 1007954; 504.972s
7; 128; 31; 69.6384; 7.03294; 224; 1020061; 508.067s
7; 128; 31; 71.2879; 6.80589; 224; 1003570; 499.907s
7; 128; 31; 69.5859; 6.42066; 206; 1021681; 515.934s
7; 128; 31; 72.2879; 7.40789; 196; 1012472; 506.5s
7; 128; 32; 71.4297; 7.02043; 179; 1002226; 499.189s
7; 128; 32; 70.4308; 7.24259; 209; 1018683; 510.011s
7; 128; 32; 72.9833; 7.68942; 212; 1002680; 500.558s
7; 128; 31; 71.1339; 7.42388; 171; 1008735; 501.396s
7; 128; 31; 69.0781; 6.63345; 206; 1002633; 500.695s
7; 128; 31; 69.2165; 6.80868; 221; 1022292; 511.262s
6; 64; 30; 72.0052; 1.85873; 102; 683523; 339.765s
