subpops; biggest_subpop; best; avg; dev; iterations; ffe; time
13; 8192; 59; 89.5739; 3.07245; 432; 1017955; 805.049s
13; 8192; 60; 93.8168; 6.33414; 332; 1003357; 798.946s
13; 8192; 58; 88.6673; 3.46643; 382; 1005774; 758.225s
13; 8192; 52; 88.7138; 3.00813; 480; 1032313; 821.431s
13; 8192; 54; 88.9415; 2.47551; 396; 1031165; 810.16s
12; 4096; 57; 84.9736; 0.882935; 941; 1006330; 818.018s
13; 8192; 59; 88.4069; 2.17653; 347; 1001088; 806.481s
12; 4096; 57; 88.3134; 2.30723; 409; 1008482; 825.412s
13; 8192; 61; 92.2572; 4.43656; 894; 1007136; 825.517s
13; 8192; 61; 90.8914; 2.53348; 347; 1008381; 779.934s
13; 8192; 54; 90.5239; 2.13329; 369; 1001605; 772.324s
13; 8192; 57; 90.808; 4.36641; 4290; 1001463; 768.172s
12; 4096; 53; 85.8042; 2.39607; 416; 1008289; 785.661s
13; 8192; 60; 88.7598; 2.50585; 1215; 1003960; 759.703s
12; 4096; 59; 86.9106; 1.58326; 476; 1002365; 858.097s
13; 8192; 56; 89.3535; 1.71981; 376; 1001246; 804.776s
12; 4096; 53; 90.0811; 3.98824; 476; 1000732; 842.387s
13; 8192; 66; 91.3441; 4.77239; 328; 1008296; 782.114s
12; 4096; 59; 89.421; 2.13973; 603; 1002178; 851.625s
13; 8192; 66; 92.2553; 4.01303; 348; 1036929; 809.555s
