subpops; biggest_subpop; best; avg; dev; iterations; ffe; time
12; 4096; 10; 25.0765; 0.726221; 1909; 1000512; 128.292s
12; 4096; 12; 24.5428; 0.655558; 386; 1033533; 126.035s
12; 4096; 12; 26.1719; 0.936135; 258; 1004129; 122.094s
12; 4096; 12; 24.5952; 1.09892; 300; 1018416; 122.08s
12; 4096; 12; 25.4797; 1.24853; 199; 1010814; 120.327s
13; 8192; 14; 24.742; 0.436731; 241; 1000682; 116.206s
12; 4096; 11; 25.4395; 0.925544; 282; 1004957; 119.89s
12; 4096; 11; 25.2271; 0.871711; 298; 1001321; 129.202s
12; 4096; 10; 25.4203; 0.81246; 347; 1000740; 128.343s
12; 4096; 10; 23.7769; 0.770428; 384; 1002081; 129.996s
12; 4096; 11; 25.2199; 0.673596; 338; 1001658; 133.231s
12; 4096; 12; 25.0082; 0.715302; 400; 1006623; 133.473s
12; 4096; 11; 23.8638; 0.713108; 258; 1002607; 117.697s
12; 4096; 11; 25.5045; 0.527143; 232; 1032150; 127.333s
12; 4096; 12; 25.365; 0.646075; 341; 1000856; 127.549s
12; 4096; 9; 24.9236; 0.637144; 1156; 1001812; 129.333s
12; 4096; 14; 25.0591; 0.587878; 230; 1001607; 119.354s
12; 4096; 11; 26.2536; 1.09642; 233; 1002655; 125.143s
12; 4096; 12; 23.7283; 0.310898; 336; 1005026; 128.001s
12; 4096; 12; 26.5793; 1.26352; 3599; 1002407; 119.924s
