subpops; biggest_subpop; best; avg; dev; iterations; ffe; time
12; 4096; 68; 95.1458; 2.8126; 183; 1048684; 653.278s
12; 4096; 62; 97.852; 3.33934; 262; 1039807; 676.645s
12; 4096; 67; 96.7959; 1.70174; 231; 1014964; 649.566s
12; 4096; 65; 94.0865; 1.91417; 329; 1030996; 676.666s
12; 4096; 58; 95.8519; 2.18241; 255; 1001816; 624.716s
12; 4096; 64; 92.3038; 2.78057; 360; 1001073; 656.795s
12; 4096; 61; 94.9827; 1.62895; 243; 1010810; 652.865s
12; 4096; 70; 93.9014; 1.43015; 274; 1002468; 646.504s
12; 4096; 64; 94.2814; 1.43388; 546; 1010937; 627.354s
12; 4096; 63; 96.7345; 2.75111; 221; 1068976; 665.555s
12; 4096; 67; 95.0498; 3.15177; 210; 1006791; 618.689s
12; 4096; 65; 94.9842; 3.45686; 205; 1009969; 621.233s
12; 4096; 63; 93.646; 1.7672; 234; 1067335; 681.973s
12; 4096; 59; 92.0397; 1.65958; 310; 1018088; 641.233s
12; 4096; 70; 97.5517; 3.13195; 172; 1001553; 629.029s
12; 4096; 65; 95.0009; 1.47821; 244; 1002647; 629.141s
12; 4096; 68; 93.4978; 1.93322; 224; 1030070; 638.211s
12; 4096; 62; 91.593; 1.22651; 730; 1000656; 651.143s
subpops; biggest_subpop; best; avg; dev; iterations; ffe; time
12; 4096; 65; 96.0388; 3.04872; 261; 1014652; 628.981s
subpops; biggest_subpop; best; avg; dev; iterations; ffe; time
12; 4096; 68; 94.8489; 2.15218; 210; 1006051; 624.805s
