iteration; levels; best; avg; dev
0; 1; 72; 0; 0
1; 1; 72; 72; 0
2; 2; 70; 76.5; 4.5
3; 2; 70; 74.3333; 4.64212
4; 2; 70; 74.625; 4.64395
5; 3; 67; 75.35; 4.92569
6; 4; 64; 72.4444; 3.34994
7; 4; 64; 69.3393; 3.02601
8; 5; 63; 69.1521; 2.84204
9; 6; 60; 67.8889; 2.22805
10; 7; 57; 65.8413; 2.45088
11; 7; 57; 63.7781; 2.75596
12; 7; 57; 63.607; 2.81385
13; 8; 52; 63.3934; 2.79141
14; 9; 51; 61.1015; 3.23595
15; 10; 50; 59.5278; 3.43327
16; 10; 50; 57.9462; 3.42406
17; 10; 50; 57.9023; 3.38582
18; 11; 48; 57.8367; 3.34163
19; 11; 48; 56.7258; 3.14044
20; 11; 48; 56.6828; 3.10057
21; 11; 48; 56.3129; 3.17566
22; 12; 47; 56.1762; 3.15068
23; 12; 47; 55.1125; 2.99204
24; 12; 47; 55.0306; 2.95472
25; 12; 47; 54.9998; 2.93891
26; 12; 47; 54.8866; 2.91504
27; 12; 47; 54.8706; 2.8955
28; 13; 45; 54.8049; 2.8824
29; 13; 45; 53.7265; 2.88202
30; 13; 45; 53.4836; 2.96717
31; 13; 45; 53.3768; 2.95171
32; 13; 45; 53.3605; 2.9396
33; 13; 45; 53.3458; 2.91996
34; 14; 44; 53.3198; 2.89111
35; 14; 44; 52.4564; 2.76406
36; 14; 44; 52.4083; 2.73248
37; 14; 44; 52.3833; 2.71956
38; 14; 44; 52.2652; 2.71394
39; 14; 44; 52.2193; 2.71511
40; 14; 44; 52.0437; 2.73517
41; 14; 44; 52.0397; 2.73138
42; 14; 44; 52.0422; 2.72148
43; 15; 44; 51.9291; 2.71495
44; 15; 44; 51.3593; 2.50535
45; 16; 43; 51.308; 2.48081
46; 16; 43; 50.7228; 2.39616
47; 17; 42; 50.6895; 2.38342
48; 17; 42; 50.0821; 2.28401
49; 17; 42; 50.0733; 2.27362
50; 17; 42; 50.0643; 2.25764
51; 17; 42; 50.011; 2.24468
52; 18; 42; 49.9834; 2.23022
53; 19; 41; 49.4912; 2.1068
54; 19; 41; 48.9208; 2.07832
55; 19; 41; 48.9115; 2.06408
56; 19; 41; 48.9017; 2.05598
57; 19; 41; 48.815; 2.07107
58; 19; 41; 48.7841; 2.0736
59; 20; 41; 48.791; 2.07327
60; 21; 39; 48.3457; 1.96023
61; 21; 39; 47.7283; 2.00988
62; 21; 39; 47.7072; 2.00752
63; 21; 39; 47.6302; 2.02715
64; 21; 39; 47.6136; 2.03064
65; 21; 39; 47.6095; 2.03727
66; 21; 39; 47.556; 2.07949
67; 21; 39; 47.5547; 2.07801
68; 21; 39; 47.5558; 2.07519
69; 21; 39; 47.5546; 2.07129
70; 21; 39; 47.4994; 2.08392
iteration; levels; best; avg; dev
0; 1; 77; 0; 0
1; 1; 77; 77; 0
2; 2; 74; 77.5; 0.5
3; 3; 73; 76.1667; 0.87361
4; 4; 69; 75.1667; 0.984916
5; 4; 69; 72.6167; 1.75445
6; 5; 66; 72.3958; 1.88027
7; 6; 65; 70.54; 2.05288
8; 7; 60; 69.3069; 2.00229
9; 8; 59; 66.8751; 2.81822
10; 9; 56; 65.1839; 2.89777
11; 10; 54; 63.2308; 3.20539
12; 11; 52; 61.6011; 3.63322
13; 12; 50; 59.986; 3.70954
14; 12; 50; 58.4017; 3.83632
15; 12; 50; 58.2455; 3.86126
16; 12; 50; 57.7732; 3.91327
17; 13; 48; 57.6891; 3.89769
18; 13; 48; 56.4854; 3.78852
19; 13; 48; 56.4393; 3.79184
20; 14; 46; 56.2544; 3.80016
21; 14; 46; 54.971; 3.81422
22; 14; 46; 54.7789; 3.81216
23; 14; 46; 54.6956; 3.79182
24; 15; 45; 54.6209; 3.75544
25; 16; 44; 53.6254; 3.61506
26; 16; 44; 52.5779; 3.58725
27; 16; 44; 52.5406; 3.5646
28; 16; 44; 52.422; 3.58701
29; 17; 44; 52.4048; 3.56918
30; 17; 44; 51.7609; 3.36502
31; 17; 44; 51.7534; 3.34347
32; 18; 44; 51.7638; 3.33901
33; 18; 44; 51.2851; 3.13269
34; 19; 43; 51.259; 3.10372
35; 19; 43; 50.7619; 2.99712
36; 20; 42; 50.7063; 2.99052
37; 20; 42; 50.1455; 2.8976
38; 20; 42; 50.1183; 2.87936
39; 21; 41; 50.1118; 2.86706
40; 21; 41; 49.5519; 2.81575
41; 21; 41; 49.5425; 2.80275
42; 21; 41; 49.5265; 2.79751
43; 21; 41; 49.5253; 2.78733
44; 21; 41; 49.4942; 2.77508
45; 21; 41; 49.3529; 2.81519
46; 21; 41; 49.3214; 2.81164
47; 21; 41; 49.3068; 2.8015
48; 22; 41; 49.3073; 2.79466
49; 22; 41; 48.9241; 2.66174
50; 22; 41; 48.9186; 2.65231
51; 22; 41; 48.9081; 2.64061
52; 22; 41; 48.8959; 2.63665
53; 22; 41; 48.7834; 2.66732
54; 23; 41; 48.7837; 2.66406
55; 24; 40; 48.4487; 2.54598
56; 24; 40; 48.057; 2.46581
57; 24; 40; 48.041; 2.47498
58; 24; 40; 48.0403; 2.47352
59; 24; 40; 47.9988; 2.47428
60; 24; 40; 48.0045; 2.47304
61; 24; 40; 47.994; 2.4738
62; 25; 40; 47.9942; 2.46991
63; 25; 40; 47.6427; 2.37898
64; 25; 40; 47.6304; 2.37134
iteration; levels; best; avg; dev
0; 1; 78; 0; 0
1; 2; 75; 78; 0
2; 2; 75; 75.75; 0.75
3; 3; 75; 76.6667; 1.80872
4; 4; 69; 76.3333; 1.51578
5; 4; 69; 73.3375; 2.31442
6; 5; 67; 73.65; 2.79745
7; 6; 65; 71.5762; 2.67334
8; 7; 62; 69.7351; 2.58244
9; 8; 57; 68.023; 2.78051
10; 9; 56; 65.3896; 3.55706
11; 9; 56; 63.4041; 3.72264
12; 10; 54; 62.7453; 3.89421
13; 11; 53; 61.2126; 3.81508
14; 12; 50; 59.9718; 3.59394
15; 12; 50; 58.4031; 3.75026
16; 13; 50; 58.0776; 3.77513
17; 14; 48; 57.0346; 3.58674
18; 15; 45; 55.9195; 3.55003
19; 15; 45; 54.5639; 3.81968
20; 15; 45; 54.4903; 3.88185
21; 15; 45; 54.3542; 3.87318
22; 15; 45; 54.2291; 3.86156
23; 15; 45; 53.7782; 3.99145
24; 15; 45; 53.7476; 3.99894
25; 15; 45; 53.7277; 3.98531
26; 15; 45; 53.6577; 3.97356
27; 16; 45; 53.6412; 3.96396
28; 16; 45; 52.9506; 3.71397
29; 17; 44; 52.9366; 3.67471
30; 17; 44; 52.1519; 3.53011
31; 17; 44; 52.137; 3.54265
32; 17; 44; 52.1281; 3.52424
33; 17; 44; 52.0802; 3.50917
34; 17; 44; 52.0588; 3.50095
35; 17; 44; 51.9573; 3.50534
36; 18; 41; 51.949; 3.49862
37; 18; 41; 50.8577; 3.67475
38; 18; 41; 50.8653; 3.67853
39; 18; 41; 50.8511; 3.66562
40; 18; 41; 50.855; 3.65831
41; 18; 41; 50.8468; 3.65346
42; 18; 41; 50.8219; 3.63947
43; 18; 41; 50.817; 3.6343
