iteration; levels; best; avg; dev
0; 1; 43; 0; 0
1; 1; 43; 43; 0
2; 2; 39; 45.5; 2.5
3; 3; 38; 41.1667; 3.09089
4; 3; 38; 39.5833; 2.43019
5; 4; 38; 39.6889; 2.07475
6; 5; 33; 39.3125; 1.38729
7; 6; 32; 36.9814; 2.24352
8; 6; 32; 35.4319; 2.41016
9; 6; 32; 35.5222; 2.45891
10; 6; 32; 35.7111; 2.66421
11; 6; 32; 35.896; 2.85561
12; 7; 31; 35.8972; 2.8461
13; 8; 30; 34.7255; 2.599
14; 8; 30; 33.7183; 2.3876
15; 8; 30; 33.7409; 2.32225
16; 9; 27; 33.5568; 2.31181
17; 9; 27; 32.3655; 2.48641
18; 10; 24; 32.0722; 2.54397
19; 10; 24; 30.7989; 2.6382
20; 11; 22; 30.4709; 2.72754
21; 11; 22; 29.3631; 2.78227
22; 11; 22; 29.287; 2.77557
23; 11; 22; 29.224; 2.83321
24; 11; 22; 29.0696; 2.85893
25; 12; 21; 29.0243; 2.84583
26; 12; 21; 28.1179; 2.69619
27; 12; 21; 28.0486; 2.67288
28; 12; 21; 28.0521; 2.70436
29; 12; 21; 27.9285; 2.68791
30; 13; 20; 27.8325; 2.69218
31; 13; 20; 27.1572; 2.46213
32; 14; 19; 27.0457; 2.47871
33; 14; 19; 26.2736; 2.40755
34; 14; 19; 26.2794; 2.39372
35; 14; 19; 26.143; 2.41524
36; 14; 19; 26.1369; 2.40292
37; 14; 19; 26.1388; 2.39663
38; 14; 19; 26.1069; 2.37869
39; 15; 19; 25.988; 2.38438
40; 16; 18; 25.4439; 2.22262
41; 16; 18; 24.8613; 2.14022
42; 16; 18; 24.8219; 2.12155
43; 16; 18; 24.7424; 2.12367
44; 17; 18; 24.7346; 2.11288
45; 17; 18; 24.2913; 1.97922
46; 17; 18; 24.2637; 1.95567
47; 17; 18; 24.2653; 1.94363
48; 17; 18; 24.2539; 1.92905
49; 17; 18; 24.2186; 1.92022
50; 17; 18; 24.1807; 1.90811
51; 18; 17; 24.1522; 1.89639
