iteration; levels; best; avg; dev
0; 1; 80; 0; 0
1; 1; 80; 80; 0
2; 1; 80; 83; 3
3; 1; 80; 85; 6.74166
4; 1; 80; 85.5; 10.0958
5; 2; 75; 87.8; 15.5876
6; 3; 72; 81.1667; 10.3542
7; 4; 71; 77.5952; 5.53217
8; 5; 69; 75.4479; 3.12498
9; 6; 65; 73.7222; 2.2332
10; 7; 63; 71.2472; 2.67942
11; 7; 63; 69.387; 2.68196
12; 8; 61; 69.2646; 2.59817
13; 9; 58; 67.631; 2.56392
14; 10; 55; 65.7667; 2.80795
15; 11; 54; 63.7744; 3.18481
16; 12; 52; 62.258; 3.14102
17; 12; 52; 60.8109; 3.17892
18; 13; 51; 60.6826; 3.21834
19; 14; 49; 59.4602; 3.14906
20; 14; 49; 58.1446; 3.23699
21; 15; 46; 57.9462; 3.28394
22; 15; 46; 56.4376; 3.54901
23; 15; 46; 56.258; 3.57449
24; 15; 46; 56.1098; 3.76433
25; 16; 44; 55.6945; 3.83852
26; 16; 44; 54.5126; 3.79605
27; 16; 44; 54.2908; 3.97816
28; 16; 44; 54.2458; 3.97071
29; 17; 44; 54.2568; 3.96499
30; 17; 44; 53.5477; 3.70159
31; 17; 44; 53.4407; 3.67262
32; 17; 44; 53.4263; 3.65388
33; 18; 44; 53.2591; 3.64104
34; 19; 43; 52.694; 3.416
35; 20; 42; 51.9817; 3.28416
36; 21; 41; 51.2259; 3.21003
37; 22; 40; 50.4993; 3.18292
38; 22; 40; 49.7336; 3.1668
39; 23; 39; 49.5597; 3.18984
40; 23; 39; 48.9258; 3.14625
41; 23; 39; 48.8518; 3.16049
42; 24; 39; 48.8548; 3.15159
43; 24; 39; 48.4006; 3.00338
44; 24; 39; 48.351; 2.98907
45; 24; 39; 48.3427; 2.98581
46; 25; 38; 48.3089; 2.97842
47; 26; 36; 47.8384; 2.89978
48; 26; 36; 47.2494; 2.92203
49; 26; 36; 47.1955; 2.92196
50; 26; 36; 47.1554; 2.91565
51; 26; 36; 47.1327; 2.90363
52; 26; 36; 47.1136; 2.88949
