levels; best; avg; dev; iterations; ffe; time
21; 39; 47.4994; 2.08392; 70; 1012816; 324.667s
25; 40; 47.6304; 2.37134; 64; 1006596; 331.47s
19; 41; 49.6249; 3.32607; 68; 1003192; 317.68s
20; 40; 48.3608; 2.23172; 80; 1005533; 346.527s
24; 39; 47.2667; 2.41614; 75; 1005977; 366.372s
19; 40; 49.039; 2.67561; 72; 1002596; 338.292s
20; 41; 48.7709; 2.46393; 67; 1005192; 315.075s
22; 39; 48.3273; 3.22113; 75; 1009363; 334.696s
17; 42; 50.3399; 2.54064; 77; 1027290; 322.209s
16; 42; 50.5558; 2.75655; 80; 1001234; 328.023s
23; 39; 48.005; 3.04543; 73; 1006129; 348.491s
15; 42; 51.3475; 2.83722; 75; 1006979; 296.33s
26; 38; 46.9009; 2.70926; 68; 1008240; 366.408s
21; 40; 48.868; 2.8142; 70; 1013836; 344.128s
15; 41; 50.6059; 2.54258; 73; 1002066; 306.042s
12; 45; 53.4652; 2.44964; 83; 1005815; 278.796s
21; 40; 48.595; 2.72314; 75; 1003509; 366.769s
19; 41; 49.3341; 2.56095; 76; 1005423; 331.005s
24; 39; 47.4261; 2.58532; 68; 1006302; 349.681s
21; 38; 47.2617; 2.46054; 73; 1001565; 318.705s
