levels; best; avg; dev; iterations; ffe; time
26; 14; 20.569; 1.42807; 89; 1009051; 218.433s
16; 16; 23.0912; 2.21554; 102; 1013324; 203.76s
23; 15; 21.0403; 1.60528; 92; 1008338; 215.846s
31; 14; 20.3306; 1.76004; 79; 1009637; 231.308s
23; 15; 22.3803; 2.15492; 94; 1016094; 221.091s
24; 15; 20.9527; 1.61483; 87; 1010390; 240.803s
27; 13; 20.3152; 1.64932; 87; 1004645; 220.647s
22; 16; 22.0102; 1.54624; 110; 1007876; 214.443s
25; 14; 20.8604; 2.10656; 93; 1012263; 221.29s
19; 15; 22.1469; 1.83915; 98; 1016705; 191.375s
26; 14; 20.3247; 1.31604; 89; 1020392; 216.97s
23; 13; 20.2466; 1.57411; 91; 1014407; 213.27s
29; 13; 19.6479; 1.3039; 88; 1010646; 221.659s
24; 15; 21.1939; 1.66761; 85; 1013066; 221.455s
20; 15; 21.2244; 1.99499; 91; 1014196; 193.821s
18; 16; 23.4667; 2.39385; 90; 1013074; 215.82s
29; 15; 20.1077; 1.29687; 89; 1009403; 215.612s
25; 15; 21.3301; 1.5461; 95; 1004881; 208.377s
28; 15; 20.2735; 1.47352; 84; 1006259; 215.24s
19; 16; 22.4877; 1.51877; 97; 1006556; 191.512s
