levels; best; avg; dev; iterations; ffe; time
10; 5; 7.49391; 0.563749; 115; 53260; 2.07516s
13; 5; 7.21778; 0.58067; 50; 19477; 0.606734s
10; 5; 7.10041; 0.517558; 99; 36966; 1.18317s
9; 5; 8.04178; 0.894923; 39; 15012; 0.419121s
11; 5; 7.5865; 0.786259; 69; 31414; 0.992712s
11; 5; 7.71966; 0.657669; 49; 20991; 0.59865s
9; 5; 7.41883; 0.566334; 72; 26060; 0.80402s
6; 5; 8.30037; 1.13974; 27; 7875; 0.19788s
8; 5; 7.82126; 0.677766; 144; 55320; 2.19348s
10; 5; 7.58413; 0.559558; 103; 46705; 1.5946s
13; 5; 7.47245; 0.612455; 59; 29003; 1.37519s
9; 5; 7.61878; 0.829027; 55; 19003; 0.63824s
9; 5; 7.90422; 0.62838; 59; 21975; 0.725283s
10; 5; 7.13698; 0.544743; 132; 50163; 1.85233s
12; 5; 7.35337; 0.594194; 104; 48837; 1.63347s
9; 5; 7.98978; 0.702773; 25; 9046; 0.239624s
8; 5; 7.8756; 0.554823; 76; 27833; 0.89408s
11; 5; 7.81687; 0.676747; 59; 26166; 0.843356s
10; 5; 7.35261; 0.526894; 201; 84970; 3.01186s
6; 5; 7.95675; 0.870704; 20; 5180; 0.115044s
