levels; best; avg; dev; iterations; ffe; time
26; 36; 46.8127; 2.85137; 68; 1003428; 309.747s
26; 37; 46.8085; 3.12641; 70; 1004845; 314.53s
22; 38; 49.0179; 3.39797; 69; 1005622; 307.356s
29; 36; 46.2014; 2.63275; 71; 1012882; 352.335s
18; 39; 49.7411; 3.11477; 86; 1011574; 325.858s
27; 37; 46.6161; 2.61408; 75; 1003735; 320.511s
21; 38; 48.4187; 2.56053; 81; 1010039; 300.128s
24; 37; 48.1525; 3.41712; 71; 1005584; 330.394s
27; 36; 46.2665; 2.50701; 74; 1016642; 342.703s
16; 42; 51.3156; 2.21877; 95; 1005817; 300.191s
18; 39; 50.1416; 3.32108; 76; 1001295; 282.92s
23; 37; 47.3891; 2.71664; 75; 1010342; 324.579s
19; 38; 49.0703; 2.46435; 82; 1008743; 295.683s
25; 39; 47.5065; 2.79085; 73; 1006570; 319.506s
24; 37; 47.3866; 3.1062; 76; 1003752; 297.726s
22; 37; 47.4672; 2.44798; 73; 1004008; 304.386s
26; 36; 46.6728; 3.27022; 79; 1007688; 366.515s
22; 37; 48.0395; 3.11886; 78; 1017189; 325.703s
28; 35; 45.237; 2.35208; 74; 1008912; 348.84s
27; 37; 46.5364; 2.27679; 69; 1015721; 317.299s
