iteration; levels; best; avg; dev
0; 1; 83; 0; 0
1; 1; 77; 83; 0
2; 2; 75; 80; 3
3; 3; 73; 77.5; 3
4; 3; 73; 75.6667; 2.33333
5; 4; 70; 75.8333; 2.27778
6; 4; 70; 74.375; 1.69444
7; 5; 70; 74.375; 1.54861
8; 6; 70; 73.7; 1.40972
9; 7; 70; 73.1389; 1.14209
10; 8; 69; 72.5476; 1.01026
11; 9; 68; 71.9979; 0.92333
12; 10; 68; 71.4907; 0.85943
13; 11; 68; 71.08; 0.837666
14; 12; 66; 70.7578; 0.751606
15; 13; 66; 70.2285; 0.810048
16; 13; 66; 69.854; 0.769833
17; 14; 65; 69.8834; 0.797657
18; 14; 65; 69.4876; 0.788826
19; 15; 65; 69.3878; 0.938441
20; 16; 65; 69.0496; 0.958252
21; 17; 65; 68.7821; 0.91805
22; 18; 65; 68.5268; 0.878084
23; 18; 65; 68.3015; 0.825327
24; 19; 65; 68.2653; 0.831723
25; 19; 65; 68.089; 0.779843
26; 20; 64; 68.0322; 0.802383
27; 20; 64; 67.7682; 0.857347
28; 21; 64; 67.7994; 0.882772
29; 22; 64; 67.5202; 0.899726
30; 22; 64; 67.3227; 0.873175
31; 23; 64; 67.3214; 0.869991
32; 24; 64; 67.1581; 0.830762
33; 25; 63; 67.0089; 0.792543
34; 26; 63; 66.8084; 0.77624
35; 27; 63; 66.6478; 0.746286
36; 28; 63; 66.4843; 0.730304
37; 29; 63; 66.3467; 0.708481
38; 30; 63; 66.2248; 0.681239
39; 30; 63; 66.0875; 0.692733
40; 30; 63; 66.0675; 0.690979
41; 30; 63; 66.027; 0.730672
42; 31; 62; 66.0099; 0.739321
43; 31; 62; 65.8066; 0.810631
44; 32; 62; 65.822; 0.828245
45; 33; 62; 65.6387; 0.859485
46; 34; 62; 65.5231; 0.832931
47; 34; 61; 65.3724; 0.835415
48; 34; 61; 65.2661; 0.935879
49; 35; 61; 65.2497; 0.945693
50; 35; 61; 65.0504; 0.971627
51; 36; 61; 65.0646; 0.986236
52; 37; 61; 64.9361; 0.9583
53; 38; 61; 64.7991; 0.933396
54; 39; 61; 64.675; 0.910075
55; 40; 60; 64.5708; 0.883321
56; 40; 60; 64.3803; 0.927398
57; 41; 60; 64.367; 0.947142
58; 41; 60; 64.2257; 0.934523
59; 42; 59; 64.1902; 0.942908
60; 43; 59; 64.0076; 0.950071
61; 44; 59; 63.8822; 0.926004
62; 45; 59; 63.7025; 0.969642
63; 46; 59; 63.578; 0.958918
64; 47; 59; 63.4606; 0.941478
65; 48; 58; 63.353; 0.928067
66; 48; 58; 63.1833; 0.968248
67; 48; 58; 63.1856; 0.979729
68; 49; 58; 63.1721; 0.983091
69; 49; 58; 63.0487; 0.972668
70; 50; 58; 63.0162; 0.979605
71; 51; 58; 62.8809; 0.975099
72; 52; 58; 62.7567; 0.966956
73; 52; 58; 62.6365; 0.955172
74; 53; 58; 62.6172; 0.95731
75; 54; 58; 62.5079; 0.943826
76; 54; 58; 62.4026; 0.930602
77; 55; 57; 62.3655; 0.947364
78; 55; 57; 62.223; 0.984092
79; 55; 57; 62.2049; 1.01157
80; 56; 57; 62.1791; 1.02069
81; 57; 57; 62.0798; 1.00068
82; 58; 57; 61.9626; 0.991441
83; 58; 57; 61.86; 0.980066
84; 59; 57; 61.8507; 0.979696
85; 59; 56; 61.748; 0.968277
86; 59; 56; 61.7034; 1.00068
87; 60; 56; 61.6851; 1.00204
88; 61; 56; 61.595; 0.985176
89; 61; 56; 61.4873; 0.976165
90; 62; 56; 61.4798; 0.987953
91; 62; 56; 61.3868; 0.970206
92; 63; 56; 61.3807; 0.968437
93; 63; 56; 61.2912; 0.950819
94; 63; 56; 61.281; 0.949468
95; 64; 56; 61.2681; 0.948535
96; 65; 56; 61.1688; 0.935999
97; 65; 56; 61.0739; 0.925317
iteration; levels; best; avg; dev
0; 1; 87; 0; 0
1; 1; 74; 87; 0
2; 1; 74; 80.5; 6.5
3; 1; 74; 80.5; 13
4; 2; 72; 80.5; 19.5
5; 2; 72; 76.25; 13
6; 3; 71; 77; 10.5
7; 3; 71; 75; 6.16667
8; 4; 71; 75; 4.72222
9; 5; 68; 73.7917; 3.23047
10; 6; 68; 72.4333; 2.48603
11; 7; 68; 71.75; 1.93809
12; 8; 67; 71.1667; 1.59111
13; 9; 67; 70.7021; 1.40045
14; 9; 67; 70.3611; 1.2751
15; 9; 67; 70.3426; 1.258
16; 10; 67; 70.2976; 1.32965
17; 11; 67; 69.9783; 1.18902
18; 12; 66; 69.7076; 1.06814
19; 13; 66; 69.3219; 1.07629
20; 13; 66; 69.021; 1.01356
21; 14; 65; 69.0114; 1.00313
22; 14; 65; 68.6705; 0.993392
23; 14; 65; 68.7128; 1.02351
24; 15; 65; 68.6631; 1.02911
25; 15; 65; 68.3704; 0.971682
26; 16; 65; 68.3457; 0.984964
27; 16; 64; 68.1322; 0.915349
28; 17; 64; 68.011; 1.04822
29; 17; 64; 67.7521; 1.00457
30; 18; 64; 67.7896; 1.02232
31; 19; 63; 67.5122; 0.994964
32; 20; 62; 67.2328; 0.982772
33; 21; 62; 66.9365; 0.967537
34; 21; 62; 66.6754; 0.926561
35; 22; 62; 66.6949; 0.946908
36; 22; 62; 66.4223; 0.939405
37; 23; 62; 66.4093; 0.940126
38; 23; 62; 66.1337; 0.96683
39; 23; 62; 66.1213; 0.970771
40; 24; 62; 66.0759; 0.985602
41; 25; 62; 65.8941; 0.943601
42; 26; 62; 65.728; 0.900882
43; 27; 61; 65.5821; 0.862716
44; 27; 61; 65.3762; 0.867009
45; 28; 61; 65.3461; 0.895789
46; 29; 61; 65.1666; 0.866874
47; 30; 61; 64.985; 0.847755
48; 31; 61; 64.8262; 0.823493
49; 31; 61; 64.6767; 0.798289
50; 31; 60; 64.6742; 0.795412
51; 32; 59; 64.6244; 0.858084
52; 32; 59; 64.3614; 0.929823
53; 32; 59; 64.3425; 0.96653
54; 33; 58; 64.2991; 0.985988
55; 34; 58; 64.0908; 0.95787
56; 34; 58; 63.9001; 0.966418
57; 34; 58; 63.9201; 0.998002
58; 34; 58; 63.9049; 1.00347
59; 34; 58; 63.8896; 1.00459
60; 35; 58; 63.8852; 1.00178
61; 35; 58; 63.6969; 0.973669
62; 36; 58; 63.6762; 0.975377
63; 36; 58; 63.5119; 0.951538
64; 36; 58; 63.5238; 0.963394
65; 36; 58; 63.4895; 0.986947
66; 36; 58; 63.4813; 0.98348
67; 37; 58; 63.4716; 0.988839
68; 38; 58; 63.2659; 1.00081
69; 39; 58; 63.1191; 0.972078
70; 39; 58; 62.9871; 0.945581
71; 40; 58; 62.9582; 0.959144
72; 40; 58; 62.8281; 0.934276
73; 41; 58; 62.8162; 0.936243
74; 41; 58; 62.6794; 0.927712
75; 42; 57; 62.63; 0.96693
76; 42; 57; 62.477; 0.979776
77; 42; 57; 62.4814; 0.994304
78; 42; 57; 62.4717; 1.00099
79; 42; 57; 62.4713; 0.998153
80; 43; 57; 62.4662; 0.998314
81; 44; 57; 62.3358; 0.973954
82; 44; 57; 62.1934; 0.968614
83; 44; 57; 62.2048; 0.979485
84; 45; 57; 62.2; 0.979796
85; 46; 57; 62.0764; 0.958765
86; 46; 57; 61.9455; 0.948014
87; 46; 57; 61.9176; 0.95147
88; 47; 57; 61.9049; 0.952972
89; 47; 57; 61.7895; 0.931668
90; 47; 57; 61.781; 0.93455
91; 47; 57; 61.7814; 0.944673
92; 48; 57; 61.762; 0.944738
