iteration; levels; best; avg; dev
0; 1; 85; 0; 0
1; 1; 82; 85; 0
2; 1; 82; 83.5; 1.5
3; 1; 82; 83.5; 3
4; 1; 82; 83.5; 4.5
5; 2; 82; 83.5; 6
6; 2; 82; 82.75; 3.75
7; 3; 80; 83; 2.875
8; 3; 80; 81.7222; 1.87407
9; 4; 79; 81.8889; 1.7071
10; 5; 78; 81.1667; 1.23858
11; 6; 77; 80.6333; 0.99716
12; 7; 77; 80; 0.785964
13; 7; 77; 79.6667; 0.719026
14; 8; 76; 79.6881; 0.769879
15; 8; 76; 79.0771; 0.738966
16; 8; 76; 79.0277; 0.739755
17; 9; 75; 79.0564; 0.740819
18; 9; 75; 78.4787; 0.805197
19; 10; 75; 78.4772; 0.881231
20; 11; 74; 78.0965; 0.798724
21; 12; 74; 77.6794; 0.755933
22; 13; 73; 77.3083; 0.72532
23; 13; 73; 76.8308; 0.813052
24; 14; 73; 76.8513; 0.853637
25; 15; 73; 76.5631; 0.795273
26; 16; 71; 76.2556; 0.741805
27; 17; 71; 75.6619; 1.0232
28; 18; 71; 75.3193; 0.988386
29; 19; 70; 75.0734; 0.925649
30; 20; 70; 74.6754; 0.974039
31; 21; 70; 74.4143; 0.925473
32; 22; 70; 74.1964; 0.879344
33; 23; 70; 73.985; 0.850255
34; 24; 70; 73.7823; 0.808452
35; 25; 70; 73.6113; 0.770191
36; 26; 70; 73.458; 0.735583
37; 27; 70; 73.3129; 0.704897
38; 28; 70; 73.1668; 0.68417
39; 29; 70; 72.9906; 0.712675
40; 30; 70; 72.8792; 0.684392
41; 31; 69; 72.7704; 0.661675
42; 31; 69; 72.5787; 0.733128
43; 32; 69; 72.5817; 0.751709
44; 33; 68; 72.4025; 0.766629
45; 34; 68; 72.2182; 0.790515
46; 35; 68; 72.0244; 0.803017
47; 36; 68; 71.8701; 0.792979
48; 37; 68; 71.7184; 0.789565
49; 38; 68; 71.576; 0.785507
50; 39; 68; 71.461; 0.7659
51; 40; 67; 71.3284; 0.764382
52; 41; 67; 71.1556; 0.823125
53; 41; 67; 71.0029; 0.830618
54; 42; 67; 70.9773; 0.835034
55; 42; 67; 70.8343; 0.840288
56; 43; 67; 70.8049; 0.845265
57; 44; 67; 70.6963; 0.828325
58; 45; 67; 70.5852; 0.81662
59; 46; 66; 70.5048; 0.794971
60; 46; 66; 70.3528; 0.824926
61; 47; 66; 70.3497; 0.835579
62; 48; 66; 70.2447; 0.81574
63; 49; 66; 70.1423; 0.798507
64; 50; 66; 70.051; 0.779064
65; 51; 66; 69.9587; 0.767908
66; 52; 66; 69.8717; 0.75099
67; 52; 66; 69.7824; 0.738844
68; 53; 66; 69.7739; 0.741149
69; 54; 66; 69.6831; 0.734323
70; 55; 66; 69.5935; 0.728571
71; 56; 66; 69.5282; 0.713834
72; 57; 66; 69.462; 0.700509
73; 58; 66; 69.3923; 0.691076
74; 59; 66; 69.3317; 0.678715
75; 60; 66; 69.269; 0.666204
76; 61; 66; 69.1961; 0.665293
77; 61; 66; 69.1347; 0.656258
78; 62; 66; 69.119; 0.662725
79; 63; 66; 69.0505; 0.658829
80; 64; 66; 68.9905; 0.650603
81; 65; 66; 68.9277; 0.64317
82; 66; 66; 68.8704; 0.637763
83; 67; 66; 68.8056; 0.639394
84; 68; 66; 68.757; 0.629756
85; 69; 65; 68.7051; 0.622598
86; 69; 65; 68.6232; 0.642018
87; 70; 65; 68.6137; 0.659103
88; 71; 65; 68.5615; 0.647898
89; 72; 65; 68.5005; 0.641831
90; 72; 65; 68.44; 0.637195
91; 73; 65; 68.434; 0.636648
92; 74; 65; 68.3821; 0.627657
93; 75; 65; 68.3295; 0.619541
94; 76; 65; 68.2703; 0.618303
95; 77; 65; 68.2216; 0.610397
96; 78; 65; 68.1711; 0.603507
97; 79; 65; 68.1223; 0.595445
98; 80; 65; 68.0731; 0.588682
99; 81; 65; 68.0317; 0.581176
100; 82; 65; 67.9869; 0.574693
101; 82; 65; 67.9405; 0.568709
102; 83; 65; 67.9316; 0.569581
103; 83; 65; 67.8918; 0.563133
iteration; levels; best; avg; dev
0; 1; 90; 0; 0
1; 1; 87; 90; 0
2; 2; 82; 88.5; 1.5
3; 3; 78; 85.25; 1.5
4; 4; 77; 83.5; 1.66667
5; 4; 77; 82.125; 1.54167
6; 5; 77; 82.625; 1.70873
7; 6; 77; 81.45; 1.30865
8; 7; 76; 80.75; 0.977068
9; 7; 76; 79.7095; 1.18579
10; 8; 76; 79.7925; 1.28188
11; 9; 76; 79.3088; 1.11254
12; 10; 76; 78.8979; 0.96644
13; 10; 76; 78.604; 0.854226
14; 11; 75; 78.594; 0.832981
15; 11; 75; 78.1496; 0.919468
16; 12; 74; 78.1978; 0.957099
17; 13; 73; 77.7099; 0.973968
18; 14; 72; 77.1055; 1.10643
19; 14; 72; 76.4591; 1.30361
20; 15; 72; 76.4827; 1.36004
21; 16; 71; 76.0161; 1.32997
22; 17; 71; 75.709; 1.23998
23; 18; 71; 75.4598; 1.18851
24; 19; 70; 75.2155; 1.1086
25; 19; 70; 74.7721; 1.19345
26; 20; 70; 74.7854; 1.21985
27; 21; 70; 74.4684; 1.16477
28; 21; 68; 74.2126; 1.10931
29; 21; 68; 74.0769; 1.24321
30; 21; 68; 74.0382; 1.24952
31; 22; 68; 73.9768; 1.24762
32; 22; 68; 73.6227; 1.20828
33; 23; 68; 73.634; 1.24229
34; 24; 68; 73.3593; 1.17852
35; 25; 67; 73.0904; 1.13257
36; 25; 67; 72.778; 1.13561
37; 25; 67; 72.7612; 1.13024
38; 26; 67; 72.747; 1.118
39; 27; 67; 72.5118; 1.06373
40; 27; 67; 72.2816; 1.02259
41; 28; 67; 72.2657; 1.01073
42; 28; 66; 72.0655; 0.963921
43; 28; 66; 72.0093; 1.02053
44; 29; 66; 71.981; 1.01929
45; 29; 66; 71.7355; 0.989502
46; 30; 66; 71.7083; 0.986398
47; 30; 66; 71.487; 0.95163
48; 31; 65; 71.4959; 0.96149
49; 31; 65; 71.2516; 0.943658
50; 31; 65; 71.2496; 0.956605
51; 31; 65; 71.2393; 0.951824
52; 31; 65; 71.2357; 0.946799
53; 32; 65; 71.2254; 0.946041
54; 33; 65; 70.9909; 0.934844
55; 34; 65; 70.809; 0.904194
56; 34; 65; 70.6369; 0.873706
57; 34; 65; 70.6136; 0.876877
58; 34; 65; 70.6084; 0.873616
59; 34; 65; 70.5967; 0.87288
60; 34; 65; 70.5944; 0.870625
61; 34; 65; 70.5778; 0.867539
62; 35; 65; 70.5646; 0.861963
63; 35; 65; 70.3969; 0.834663
64; 35; 65; 70.3927; 0.830123
65; 35; 65; 70.3717; 0.834798
66; 35; 65; 70.3531; 0.83452
67; 36; 65; 70.3419; 0.834245
68; 36; 65; 70.169; 0.821883
69; 36; 65; 70.1622; 0.816238
70; 36; 65; 70.151; 0.817886
71; 37; 65; 70.1477; 0.814316
72; 37; 65; 70.0001; 0.791503
73; 38; 65; 69.9937; 0.788834
74; 39; 64; 69.8554; 0.765842
75; 39; 64; 69.6566; 0.809901
76; 39; 64; 69.6542; 0.810729
77; 39; 64; 69.6639; 0.822077
78; 39; 64; 69.6579; 0.821948
79; 40; 64; 69.6585; 0.820825
80; 40; 64; 69.5148; 0.798213
81; 40; 64; 69.5247; 0.809409
82; 40; 64; 69.5067; 0.819808
83; 40; 64; 69.5027; 0.818841
84; 41; 64; 69.4942; 0.820124
85; 42; 64; 69.3342; 0.800536
86; 42; 64; 69.2012; 0.780537
87; 42; 64; 69.1922; 0.777549
88; 42; 64; 69.1856; 0.773488
89; 42; 64; 69.1789; 0.76995
90; 42; 64; 69.164; 0.769654
91; 42; 64; 69.1613; 0.768292
92; 43; 64; 69.1568; 0.766655
93; 43; 64; 69.0313; 0.745003
94; 43; 64; 69.0248; 0.743367
95; 43; 64; 69.0213; 0.740631
96; 43; 64; 69.0136; 0.742225
97; 44; 64; 68.9951; 0.754255
98; 44; 64; 68.8696; 0.736547
99; 44; 64; 68.86; 0.736832
iteration; levels; best; avg; dev
0; 1; 82; 0; 0
1; 1; 82; 82; 0
2; 2; 80; 83; 1
3; 3; 79; 81.5; 1
4; 3; 79; 80.6667; 0.666667
5; 4; 78; 80.6667; 0.555556
6; 5; 78; 79.9375; 0.497142
7; 6; 77; 79.66; 0.479428
8; 7; 77; 78.8889; 0.794582
9; 8; 77; 78.5303; 0.732103
10; 9; 77; 78.3187; 0.618114
11; 10; 76; 78.1784; 0.53186
12; 11; 74; 77.8117; 0.640179
13; 11; 74; 76.9424; 1.24156
14; 12; 74; 77.0409; 1.38213
15; 13; 74; 76.7934; 1.2744
16; 14; 74; 76.5832; 1.16443
17; 15; 73; 76.2607; 1.08904
18; 16; 73; 75.9569; 1.03091
19; 17; 73; 75.6768; 1.02069
20; 18; 73; 75.4865; 0.959709
21; 19; 73; 75.313; 0.899338
22; 19; 73; 75.1669; 0.842132
23; 20; 72; 75.1511; 0.828866
24; 20; 72; 74.731; 1.06226
25; 21; 72; 74.7577; 1.09752
26; 22; 71; 74.5635; 1.06891
27; 22; 71; 74.3402; 1.06694
28; 23; 71; 74.3609; 1.08543
29; 23; 70; 74.104; 1.08462
30; 24; 70; 74.0762; 1.10283
31; 25; 70; 73.8764; 1.06354
32; 26; 70; 73.612; 1.04981
33; 27; 70; 73.3572; 1.07345
34; 28; 70; 73.1905; 1.03995
35; 29; 69; 73.0436; 1.0036
36; 29; 68; 72.8331; 1.05782
37; 30; 67; 72.6617; 1.18668
38; 30; 67; 72.4051; 1.17243
39; 31; 67; 72.3714; 1.19908
40; 32; 67; 72.1532; 1.16711
41; 33; 67; 71.9262; 1.13617
42; 34; 66; 71.7334; 1.09816
43; 34; 66; 71.4557; 1.15903
44; 35; 66; 71.4694; 1.17462
45; 36; 66; 71.2799; 1.14122
46; 37; 66; 71.0771; 1.13067
47; 38; 66; 70.9044; 1.11293
48; 39; 65; 70.7327; 1.09275
49; 39; 65; 70.5277; 1.08721
50; 40; 65; 70.4917; 1.13093
51; 41; 65; 70.3518; 1.10077
52; 42; 65; 70.2009; 1.07457
53; 43; 64; 70.0518; 1.0526
54; 43; 64; 69.8616; 1.06339
55; 43; 64; 69.8363; 1.07198
56; 44; 64; 69.8157; 1.08037
57; 44; 64; 69.6645; 1.05501
58; 45; 64; 69.6049; 1.0976
59; 46; 64; 69.44; 1.08971
60; 47; 64; 69.2941; 1.07182
61; 48; 64; 69.1331; 1.06484
62; 49; 64; 69.0033; 1.04884
63; 49; 64; 68.8635; 1.04045
64; 50; 64; 68.8511; 1.03972
65; 51; 64; 68.735; 1.02618
66; 52; 64; 68.6214; 1.01914
67; 52; 64; 68.5145; 1.0035
68; 53; 64; 68.5074; 1.00291
69; 54; 63; 68.3856; 0.999739
70; 54; 63; 68.2544; 1.01901
71; 54; 63; 68.2583; 1.02763
72; 55; 63; 68.2513; 1.02552
73; 56; 63; 68.1273; 1.01843
74; 57; 63; 68.0196; 1.00003
75; 58; 63; 67.9205; 0.983394
76; 58; 63; 67.8204; 0.971391
77; 59; 62; 67.8112; 0.971608
78; 59; 62; 67.655; 0.999491
79; 60; 62; 67.647; 1.00828
80; 61; 62; 67.5408; 0.990123
81; 61; 62; 67.4167; 0.974377
82; 62; 62; 67.3907; 0.974285
83; 63; 61; 67.2873; 0.960518
84; 63; 61; 67.1463; 0.983473
85; 63; 61; 67.1271; 0.984349
86; 64; 61; 67.1178; 0.981661
87; 64; 61; 67.0057; 0.975034
88; 65; 60; 66.9818; 0.986674
89; 65; 60; 66.8518; 0.983765
90; 66; 60; 66.8472; 0.998676
91; 66; 60; 66.7121; 0.995054
92; 67; 60; 66.6899; 1.00736
93; 67; 60; 66.5809; 1.00313
94; 67; 60; 66.565; 1.00429
95; 67; 60; 66.5527; 1.00682
96; 68; 60; 66.5477; 1.00692
97; 68; 60; 66.4421; 0.994226
98; 68; 60; 66.4318; 0.998572
99; 68; 60; 66.4237; 1.0008
100; 68; 60; 66.4027; 1.00839
iteration; levels; best; avg; dev
0; 1; 81; 0; 0
1; 1; 81; 81; 0
2; 2; 80; 85; 4
3; 3; 79; 82.5; 4
4; 3; 79; 81.3333; 2.66667
5; 4; 76; 81.3333; 2.22222
6; 4; 76; 79.625; 2.02206
7; 5; 74; 79.9; 2.20552
8; 5; 74; 78.7333; 1.79017
9; 5; 74; 78.7429; 1.69801
10; 6; 73; 78.75; 1.67189
11; 7; 73; 77.8519; 1.53101
12; 8; 73; 77.1381; 1.32941
13; 9; 72; 76.6504; 1.15225
14; 9; 72; 76.063; 1.05126
15; 9; 72; 76.0037; 1.02831
16; 10; 72; 75.9894; 1.02472
17; 10; 72; 75.6127; 0.920655
