levels; best; avg; dev; iterations; ffe; time
65; 56; 61.0739; 0.925317; 97; 1014456; 198.247s
51; 57; 61.3408; 0.873037; 97; 1000919; 161.146s
63; 55; 59.3119; 0.614805; 99; 1005442; 196.888s
67; 56; 60.2473; 0.612197; 99; 1002853; 193.485s
44; 58; 63.1178; 0.937881; 92; 1003231; 151.906s
64; 59; 62.3039; 0.599654; 94; 1010329; 185.505s
57; 62; 64.9748; 0.508577; 94; 1007530; 177.356s
59; 60; 63.458; 0.687057; 98; 1002233; 186.256s
61; 59; 62.2623; 0.652523; 89; 1000033; 171.32s
65; 56; 60.9929; 0.925518; 99; 1014985; 184.106s
64; 58; 62.7867; 0.679772; 99; 1007229; 210.941s
69; 55; 60.7513; 0.891763; 99; 1018879; 198.542s
40; 60; 62.5009; 0.393895; 85; 1000788; 148.449s
49; 57; 61.0516; 0.695108; 93; 1005044; 162.713s
58; 60; 64.5751; 0.725715; 104; 1005559; 186.416s
69; 56; 60.9011; 0.940151; 101; 1005611; 203.739s
61; 60; 63.8292; 0.71183; 95; 1003927; 171.119s
59; 56; 60.6297; 0.677866; 89; 1004141; 167.98s
58; 60; 61.9959; 0.542742; 84; 1005691; 165.17s
59; 57; 61.8319; 0.771572; 97; 1014400; 169.62s
