levels; best; avg; dev; iterations; ffe; time
64; 26; 31.3761; 0.938338; 133; 1003453; 154.532s
62; 27; 30.1601; 0.671827; 126; 1000957; 157.279s
68; 25; 29.3881; 1.09824; 122; 1003139; 241.323s
59; 27; 30.2671; 0.693587; 129; 1001614; 176.056s
68; 24; 29.1614; 0.988141; 125; 1006178; 186.266s
62; 25; 30.4605; 1.08234; 133; 1002441; 177.503s
52; 26; 30.2701; 0.707045; 123; 1002787; 162.404s
45; 27; 30.4607; 0.557602; 130; 1002493; 120.151s
47; 28; 31.0321; 0.619806; 127; 1002310; 108.186s
71; 28; 31.5274; 0.786019; 132; 1005117; 143.418s
