levels; best; avg; dev; iterations; ffe; time
119; 10; 10.6052; 0.181153; 1219; 1001378; 394.09s
170; 10; 11.0053; 0.222979; 1124; 1000344; 584.832s
173; 10; 10.7625; 0.371115; 1152; 1000169; 277.318s
133; 10; 10.3268; 0.0900004; 1239; 1001077; 253.023s
56; 10; 10.8442; 0.205077; 1441; 1000360; 198.648s
156; 10; 10.4142; 0.10858; 1230; 1000345; 304.247s
107; 9; 10.461; 0.144667; 1276; 1000700; 306.449s
138; 8; 9.93144; 0.377361; 1136; 1000433; 479.055s
143; 9; 10.5404; 0.260406; 1160; 1000156; 516.327s
128; 11; 11.3877; 0.120087; 1290; 1000848; 297.666s
151; 9; 9.53941; 0.155693; 1233; 1000242; 317.814s
65; 9; 10.2934; 0.338282; 1322; 1000525; 311.926s
132; 9; 10.6033; 0.323551; 1208; 1000799; 491.588s
82; 10; 11.44; 0.408251; 1181; 1000521; 498.669s
147; 10; 10.3742; 0.0644133; 1259; 1000087; 253.343s
125; 10; 10.477; 0.154631; 1214; 1000313; 288.801s
208; 9; 10.1572; 0.258022; 1070; 1000280; 323.56s
90; 9; 10.6913; 0.315449; 1235; 1000409; 375.102s
134; 10; 10.4277; 0.118559; 1302; 1001096; 257.55s
139; 10; 10.4768; 0.170793; 1256; 1000627; 243.826s
