levels; best; avg; dev; iterations; ffe; time
83; 65; 67.8918; 0.563133; 103; 1007300; 205.973s
44; 64; 68.86; 0.736832; 99; 1003641; 177.353s
68; 60; 66.4027; 1.00839; 100; 1009616; 167.613s
57; 66; 68.8065; 0.375264; 112; 1008917; 186.046s
75; 65; 69.3272; 0.938023; 100; 1011499; 198.576s
84; 62; 67.539; 0.753827; 98; 1013685; 201.629s
59; 65; 70.2904; 0.751924; 116; 1000814; 181.105s
67; 63; 67.7309; 0.749037; 101; 1007405; 175.486s
89; 66; 67.9015; 0.713385; 100; 1014187; 305.853s
55; 64; 68.6402; 0.783562; 100; 1001913; 154.184s
86; 65; 67.9438; 0.684651; 95; 1000538; 274.442s
73; 62; 66.6902; 0.690175; 109; 1006166; 227.185s
71; 58; 65.3488; 0.586293; 115; 1000915; 175.535s
75; 66; 70.1786; 0.888908; 115; 1031527; 195.744s
72; 66; 68.8359; 1.0162; 99; 1016799; 191.366s
83; 59; 65.3875; 0.674163; 98; 1000909; 189.541s
61; 62; 67.5644; 0.865361; 102; 1009515; 204.419s
67; 59; 66.0083; 0.786126; 96; 1018882; 182.636s
51; 65; 68.6956; 0.518039; 111; 1006571; 155.996s
65; 63; 69.5065; 1.31289; 108; 1006025; 204.088s
