it; best; temp
0; 16; 50000
10; 16; 47555.5
20; 16; 45230.5
30; 16; 43019.2
40; 16; 40916
50; 16; 38915.6
60; 16; 37013
70; 16; 35203.5
80; 16; 33482.4
90; 16; 31845.4
100; 16; 30288.5
110; 16; 28807.7
120; 15; 27399.3
130; 14; 26059.8
140; 16; 24785.7
150; 16; 23573.9
160; 16; 22421.4
170; 15; 21325.2
180; 14; 20282.6
190; 14; 19291
200; 14; 18347.9
210; 13; 17450.9
220; 16; 16597.7
230; 16; 15786.2
240; 16; 15014.4
250; 15; 14280.4
260; 15; 13582.2
270; 15; 12918.2
280; 16; 12286.6
290; 16; 11685.9
300; 16; 11114.6
310; 16; 10571.2
320; 16; 10054.4
330; 16; 9562.83
340; 16; 9095.31
350; 16; 8650.64
360; 14; 8227.71
370; 14; 7825.46
380; 15; 7442.87
390; 14; 7078.99
400; 15; 6732.9
410; 16; 6403.73
420; 16; 6090.65
430; 16; 5792.88
440; 16; 5509.67
450; 16; 5240.3
460; 16; 4984.1
470; 16; 4740.43
480; 15; 4508.67
490; 15; 4288.24
500; 15; 4078.59
510; 13; 3879.19
520; 14; 3689.54
530; 15; 3509.16
540; 16; 3337.59
550; 15; 3174.42
560; 16; 3019.22
570; 16; 2871.61
580; 16; 2731.22
590; 15; 2597.69
600; 16; 2470.69
610; 15; 2349.9
620; 15; 2235.01
630; 16; 2125.74
640; 16; 2021.82
650; 15; 1922.97
660; 16; 1828.96
670; 15; 1739.54
680; 15; 1654.49
690; 14; 1573.6
700; 14; 1496.67
710; 15; 1423.5
720; 16; 1353.9
730; 15; 1287.71
740; 16; 1224.76
750; 15; 1164.88
760; 16; 1107.93
770; 15; 1053.76
780; 15; 1002.24
790; 16; 953.243
800; 16; 906.639
810; 15; 862.314
820; 16; 820.156
830; 15; 780.058
840; 15; 741.921
850; 15; 705.649
860; 15; 671.15
870; 15; 638.337
880; 14; 607.129
890; 14; 577.447
900; 15; 549.215
910; 16; 522.364
920; 16; 496.826
930; 16; 472.536
940; 15; 449.434
950; 16; 427.461
960; 16; 406.563
970; 15; 386.686
980; 15; 367.781
990; 15; 349.8
1000; 15; 332.698
1010; 15; 316.433
1020; 15; 300.962
1030; 15; 286.248
1040; 14; 272.254
1050; 14; 258.943
1060; 15; 246.284
1070; 15; 234.243
1080; 14; 222.791
1090; 15; 211.899
1100; 16; 201.539
1110; 15; 191.686
1120; 16; 182.314
1130; 16; 173.401
1140; 14; 164.923
1150; 15; 156.86
1160; 14; 149.191
1170; 14; 141.897
1180; 15; 134.96
1190; 15; 128.362
1200; 15; 122.086
1210; 15; 116.118
1220; 14; 110.441
1230; 15; 105.041
1240; 15; 99.9057
1250; 14; 95.0213
1260; 14; 90.3757
1270; 15; 85.9573
1280; 15; 81.7548
1290; 15; 77.7578
1300; 15; 73.9563
1310; 15; 70.3406
1320; 14; 66.9016
1330; 14; 63.6308
1340; 15; 60.5199
1350; 13; 57.5611
1360; 13; 54.7469
1370; 14; 52.0704
1380; 15; 49.5247
1390; 15; 47.1034
1400; 16; 44.8005
1410; 16; 42.6102
1420; 14; 40.527
1430; 16; 38.5457
1440; 16; 36.6612
1450; 15; 34.8688
1460; 15; 33.1641
1470; 14; 31.5427
1480; 15; 30.0006
1490; 16; 28.5338
1500; 14; 27.1388
1510; 16; 25.812
1520; 16; 24.5501
1530; 16; 23.3498
1540; 14; 22.2083
1550; 14; 21.1225
1560; 15; 20.0898
1570; 15; 19.1076
1580; 15; 18.1735
1590; 15; 17.285
1600; 16; 16.4399
1610; 16; 15.6362
1620; 16; 14.8717
1630; 16; 14.1446
1640; 16; 13.4531
1650; 16; 12.7954
1660; 16; 12.1698
1670; 16; 11.5748
1680; 15; 11.0089
1690; 15; 10.4707
1700; 16; 9.95881
1710; 16; 9.47192
1720; 16; 9.00884
1730; 16; 8.5684
1740; 16; 8.14949
1750; 16; 7.75106
1760; 16; 7.37212
1770; 16; 7.01169
1780; 16; 6.66889
1790; 15; 6.34285
1800; 16; 6.03275
1810; 16; 5.73781
1820; 16; 5.45729
1830; 16; 5.19048
1840; 16; 4.93672
1850; 16; 4.69537
1860; 14; 4.46581
1870; 16; 4.24748
1880; 16; 4.03982
1890; 16; 3.84231
1900; 14; 3.65446
1910; 16; 3.4758
1920; 16; 3.30586
1930; 16; 3.14424
1940; 16; 2.99052
1950; 16; 2.84431
1960; 16; 2.70526
1970; 16; 2.573
1980; 16; 2.4472
1990; 16; 2.32756
2000; 14; 2.21376
2010; 16; 2.10553
2020; 15; 2.00259
2030; 15; 1.90469
2040; 14; 1.81157
2050; 14; 1.723
2060; 15; 1.63876
2070; 15; 1.55864
2080; 16; 1.48244
2090; 15; 1.40997
2100; 15; 1.34103
2110; 15; 1.27547
2120; 15; 1.21311
2130; 15; 1.1538
2140; 15; 1.09739
2150; 15; 1.04374
2160; 15; 0.992715
2170; 15; 0.944181
2180; 15; 0.89802
2190; 15; 0.854116
2200; 15; 0.812358
2210; 15; 0.772642
2220; 14; 0.734868
2230; 15; 0.69894
2240; 15; 0.664769
2250; 14; 0.632269
2260; 14; 0.601357
2270; 14; 0.571957
2280; 14; 0.543994
2290; 14; 0.517398
2300; 14; 0.492103
2310; 14; 0.468044
2320; 14; 0.445161
2330; 14; 0.423397
2340; 13; 0.402698
2350; 13; 0.38301
2360; 13; 0.364284
2370; 13; 0.346475
2380; 13; 0.329535
2390; 13; 0.313425
2400; 13; 0.298101
2410; 14; 0.283527
2420; 13; 0.269666
2430; 13; 0.256482
2440; 13; 0.243942
2450; 13; 0.232016
2460; 13; 0.220673
2470; 13; 0.209884
2480; 13; 0.199623
2490; 13; 0.189863
2500; 13; 0.180581
2510; 13; 0.171752
2520; 13; 0.163355
2530; 12; 0.155369
2540; 12; 0.147773
2550; 12; 0.140548
2560; 12; 0.133677
2570; 12; 0.127142
2580; 12; 0.120926
2590; 12; 0.115014
2600; 12; 0.109391
2610; 12; 0.104042
2620; 12; 0.0989559
2630; 12; 0.0941179
2640; 12; 0.0895165
2650; 12; 0.0851401
2660; 12; 0.0809776
2670; 11; 0.0770186
2680; 11; 0.0732532
2690; 11; 0.0696718
2700; 11; 0.0662656
2710; 11; 0.0630259
2720; 10; 0.0599445
2730; 10; 0.0570139
2740; 10; 0.0542265
2750; 10; 0.0515753
2760; 10; 0.0490538
2770; 10; 0.0466556
2780; 10; 0.0443746
2790; 10; 0.0422051
2800; 10; 0.0401417
2810; 10; 0.0381792
2820; 10; 0.0363126
2830; 10; 0.0345373
2840; 10; 0.0328488
2850; 10; 0.0312428
2860; 10; 0.0297154
2870; 10; 0.0282626
