it; best; temp
0; 26; 50000
10; 26; 47555.5
20; 27; 45230.5
30; 26; 43019.2
40; 25; 40916
50; 26; 38915.6
60; 25; 37013
70; 26; 35203.5
80; 26; 33482.4
90; 25; 31845.4
100; 24; 30288.5
110; 24; 28807.7
120; 23; 27399.3
130; 23; 26059.8
140; 21; 24785.7
150; 22; 23573.9
160; 23; 22421.4
170; 25; 21325.2
180; 24; 20282.6
190; 23; 19291
200; 24; 18347.9
210; 26; 17450.9
220; 25; 16597.7
230; 25; 15786.2
240; 23; 15014.4
250; 25; 14280.4
260; 25; 13582.2
270; 24; 12918.2
280; 24; 12286.6
290; 23; 11685.9
300; 23; 11114.6
310; 23; 10571.2
320; 23; 10054.4
330; 23; 9562.83
340; 24; 9095.31
350; 25; 8650.64
360; 26; 8227.71
370; 27; 7825.46
380; 25; 7442.87
390; 25; 7078.99
400; 25; 6732.9
410; 24; 6403.73
420; 25; 6090.65
430; 26; 5792.88
440; 26; 5509.67
450; 24; 5240.3
460; 25; 4984.1
470; 25; 4740.43
480; 24; 4508.67
490; 24; 4288.24
500; 24; 4078.59
510; 23; 3879.19
520; 24; 3689.54
530; 26; 3509.16
540; 26; 3337.59
550; 25; 3174.42
560; 25; 3019.22
570; 24; 2871.61
580; 25; 2731.22
590; 25; 2597.69
600; 23; 2470.69
610; 24; 2349.9
620; 23; 2235.01
630; 24; 2125.74
640; 25; 2021.82
650; 23; 1922.97
660; 26; 1828.96
670; 26; 1739.54
680; 26; 1654.49
690; 23; 1573.6
700; 23; 1496.67
710; 24; 1423.5
720; 25; 1353.9
730; 25; 1287.71
740; 26; 1224.76
750; 24; 1164.88
760; 25; 1107.93
770; 25; 1053.76
780; 24; 1002.24
790; 24; 953.243
800; 25; 906.639
810; 26; 862.314
820; 26; 820.156
830; 26; 780.058
840; 24; 741.921
850; 24; 705.649
860; 25; 671.15
870; 23; 638.337
880; 24; 607.129
890; 24; 577.447
900; 23; 549.215
910; 25; 522.364
920; 27; 496.826
930; 26; 472.536
940; 27; 449.434
950; 26; 427.461
960; 27; 406.563
970; 25; 386.686
980; 27; 367.781
990; 27; 349.8
1000; 26; 332.698
1010; 26; 316.433
1020; 26; 300.962
1030; 26; 286.248
1040; 25; 272.254
1050; 22; 258.943
1060; 24; 246.284
1070; 23; 234.243
1080; 24; 222.791
1090; 25; 211.899
1100; 26; 201.539
1110; 26; 191.686
1120; 26; 182.314
1130; 25; 173.401
1140; 25; 164.923
1150; 25; 156.86
1160; 25; 149.191
1170; 26; 141.897
1180; 22; 134.96
1190; 22; 128.362
1200; 22; 122.086
1210; 22; 116.118
1220; 24; 110.441
1230; 24; 105.041
1240; 25; 99.9057
1250; 26; 95.0213
1260; 26; 90.3757
1270; 25; 85.9573
1280; 26; 81.7548
1290; 26; 77.7578
1300; 25; 73.9563
1310; 22; 70.3406
1320; 24; 66.9016
1330; 24; 63.6308
1340; 24; 60.5199
1350; 23; 57.5611
1360; 25; 54.7469
1370; 24; 52.0704
1380; 24; 49.5247
1390; 24; 47.1034
1400; 22; 44.8005
1410; 22; 42.6102
1420; 24; 40.527
1430; 24; 38.5457
1440; 24; 36.6612
1450; 22; 34.8688
1460; 23; 33.1641
1470; 22; 31.5427
1480; 22; 30.0006
1490; 22; 28.5338
1500; 24; 27.1388
1510; 23; 25.812
1520; 23; 24.5501
1530; 25; 23.3498
1540; 25; 22.2083
1550; 25; 21.1225
1560; 27; 20.0898
1570; 26; 19.1076
1580; 24; 18.1735
1590; 24; 17.285
1600; 26; 16.4399
1610; 26; 15.6362
1620; 26; 14.8717
1630; 24; 14.1446
1640; 24; 13.4531
1650; 25; 12.7954
1660; 26; 12.1698
1670; 25; 11.5748
1680; 26; 11.0089
1690; 26; 10.4707
1700; 26; 9.95881
1710; 24; 9.47192
1720; 25; 9.00884
1730; 27; 8.5684
1740; 27; 8.14949
1750; 26; 7.75106
1760; 24; 7.37212
1770; 25; 7.01169
1780; 26; 6.66889
1790; 26; 6.34285
1800; 26; 6.03275
1810; 26; 5.73781
1820; 24; 5.45729
1830; 23; 5.19048
1840; 25; 4.93672
1850; 24; 4.69537
1860; 25; 4.46581
1870; 25; 4.24748
1880; 23; 4.03982
1890; 24; 3.84231
1900; 23; 3.65446
1910; 23; 3.4758
1920; 24; 3.30586
1930; 23; 3.14424
1940; 23; 2.99052
1950; 24; 2.84431
1960; 22; 2.70526
1970; 24; 2.573
1980; 24; 2.4472
1990; 24; 2.32756
2000; 24; 2.21376
2010; 24; 2.10553
2020; 22; 2.00259
2030; 22; 1.90469
2040; 23; 1.81157
2050; 22; 1.723
2060; 22; 1.63876
2070; 23; 1.55864
2080; 23; 1.48244
2090; 23; 1.40997
2100; 22; 1.34103
2110; 22; 1.27547
2120; 22; 1.21311
2130; 22; 1.1538
2140; 21; 1.09739
2150; 23; 1.04374
2160; 22; 0.992715
2170; 22; 0.944181
2180; 22; 0.89802
2190; 21; 0.854116
2200; 21; 0.812358
2210; 21; 0.772642
2220; 21; 0.734868
2230; 21; 0.69894
2240; 21; 0.664769
2250; 21; 0.632269
2260; 21; 0.601357
2270; 20; 0.571957
2280; 21; 0.543994
2290; 21; 0.517398
2300; 21; 0.492103
2310; 21; 0.468044
2320; 20; 0.445161
2330; 20; 0.423397
2340; 20; 0.402698
2350; 20; 0.38301
2360; 19; 0.364284
2370; 18; 0.346475
2380; 18; 0.329535
2390; 18; 0.313425
2400; 18; 0.298101
2410; 17; 0.283527
2420; 17; 0.269666
2430; 17; 0.256482
2440; 17; 0.243942
2450; 17; 0.232016
2460; 17; 0.220673
2470; 17; 0.209884
2480; 17; 0.199623
2490; 17; 0.189863
2500; 17; 0.180581
2510; 17; 0.171752
2520; 17; 0.163355
2530; 17; 0.155369
2540; 17; 0.147773
2550; 17; 0.140548
2560; 17; 0.133677
2570; 17; 0.127142
2580; 17; 0.120926
2590; 17; 0.115014
2600; 17; 0.109391
2610; 17; 0.104042
2620; 17; 0.0989559
2630; 17; 0.0941179
2640; 17; 0.0895165
2650; 17; 0.0851401
2660; 17; 0.0809776
2670; 17; 0.0770186
2680; 17; 0.0732532
2690; 17; 0.0696718
2700; 17; 0.0662656
2710; 17; 0.0630259
2720; 17; 0.0599445
2730; 17; 0.0570139
2740; 17; 0.0542265
2750; 16; 0.0515753
2760; 16; 0.0490538
2770; 16; 0.0466556
2780; 15; 0.0443746
2790; 15; 0.0422051
2800; 14; 0.0401417
2810; 14; 0.0381792
2820; 14; 0.0363126
2830; 14; 0.0345373
2840; 14; 0.0328488
2850; 14; 0.0312428
2860; 14; 0.0297154
2870; 14; 0.0282626
2880; 14; 0.0268808
2890; 14; 0.0255666
2900; 14; 0.0243167
2910; 14; 0.0231278
2920; 14; 0.0219971
2930; 14; 0.0209217
2940; 14; 0.0198988
2950; 14; 0.018926
2960; 14; 0.0180007
2970; 14; 0.0171206
2980; 14; 0.0162836
2990; 14; 0.0154875
3000; 14; 0.0147303
3010; 14; 0.0140102
3020; 14; 0.0133252
3030; 14; 0.0126737
3040; 14; 0.0120541
3050; 14; 0.0114648
3060; 14; 0.0109043
3070; 14; 0.0103712
3080; 14; 0.00986413
3090; 14; 0.00938187
3100; 14; 0.00892319
3110; 14; 0.00848694
3120; 14; 0.00807201
3130; 14; 0.00767737
3140; 14; 0.00730203
3150; 14; 0.00694503
3160; 14; 0.00660549
3170; 14; 0.00628255
3180; 14; 0.0059754
3190; 14; 0.00568326
3200; 14; 0.00540541
3210; 14; 0.00514114
3220; 14; 0.00488979
3230; 14; 0.00465073
3240; 14; 0.00442335
3250; 14; 0.0042071
3260; 14; 0.00400141
3270; 14; 0.00380578
3280; 14; 0.00361972
3290; 14; 0.00344275
3300; 14; 0.00327444
3310; 14; 0.00311435
3320; 14; 0.00296209
3330; 14; 0.00281727
3340; 14; 0.00267954
3350; 14; 0.00254853
3360; 14; 0.00242394
3370; 14; 0.00230543
3380; 14; 0.00219272
3390; 14; 0.00208552
3400; 14; 0.00198356
3410; 14; 0.00188658
3420; 14; 0.00179435
