cx; mx; best; avg; time
0.5; 0.05; 8; 9.925; 219.111s
0.5; 0.05; 8; 10.06; 200.921s
0.5; 0.05; 8; 10.405; 190.444s
0.5; 0.05; 8; 9.9; 229.383s
0.5; 0.05; 8; 9.62; 184.905s
0.5; 0.1; 8; 10.66; 213.606s
0.5; 0.1; 8; 9.135; 199.412s
0.5; 0.1; 8; 9.805; 192.64s
0.5; 0.1; 8; 9.835; 188.885s
0.5; 0.1; 8; 9.745; 194.925s
0.5; 0.15; 8; 10.05; 210.972s
0.5; 0.15; 8; 9.83; 178.426s
0.5; 0.15; 8; 10.43; 180.37s
0.5; 0.15; 8; 10.205; 217.527s
0.5; 0.15; 8; 9.295; 142.857s
0.5; 0.2; 8; 10.585; 211.789s
0.5; 0.2; 8; 10.04; 208.824s
0.5; 0.2; 8; 10.04; 169.237s
0.5; 0.2; 8; 10.015; 170.804s
0.5; 0.2; 8; 10.33; 198.65s
0.5; 0.25; 8; 10.43; 178.796s
0.5; 0.25; 8; 10.295; 158.041s
0.5; 0.25; 8; 9.81; 184.936s
0.5; 0.25; 8; 10.015; 165.206s
0.5; 0.25; 8; 9.79; 152.273s
0.6; 0.05; 8; 10.015; 177.167s
0.6; 0.05; 8; 10.3; 177.776s
0.6; 0.05; 8; 9.355; 135.77s
0.6; 0.05; 8; 9.975; 165.803s
0.6; 0.05; 8; 9.82; 171.263s
0.6; 0.1; 8; 10.11; 176.765s
0.6; 0.1; 8; 9.87; 148.641s
0.6; 0.1; 8; 9.915; 168.25s
0.6; 0.1; 8; 9.675; 146.742s
0.6; 0.1; 8; 9.255; 161.595s
0.6; 0.15; 8; 10.06; 145.007s
0.6; 0.15; 8; 9.515; 131.473s
0.6; 0.15; 8; 9.855; 163.832s
0.6; 0.15; 8; 9.59; 149.806s
0.6; 0.15; 8; 10.015; 159.589s
0.6; 0.2; 8; 9.695; 149.143s
0.6; 0.2; 8; 10.33; 148.541s
0.6; 0.2; 8; 9.315; 136.771s
0.6; 0.2; 8; 10.175; 136.817s
0.6; 0.2; 8; 9.25; 122.684s
0.6; 0.25; 8; 10.49; 163.348s
0.6; 0.25; 8; 10.37; 177.729s
0.6; 0.25; 8; 10; 150.877s
0.6; 0.25; 8; 10.2; 144.113s
0.6; 0.25; 8; 10.065; 183.333s
0.7; 0.05; 9; 9.675; 97.4695s
0.7; 0.05; 8; 9.84; 130.255s
0.7; 0.05; 8; 9.72; 121.632s
0.7; 0.05; 8; 9.895; 137.047s
0.7; 0.05; 8; 8.825; 99.4601s
0.7; 0.1; 8; 9.265; 104.746s
0.7; 0.1; 8; 9.86; 122.386s
0.7; 0.1; 8; 9.41; 112.028s
0.7; 0.1; 8; 9.985; 119.994s
0.7; 0.1; 8; 9.32; 111.381s
0.7; 0.15; 8; 9.295; 109.212s
0.7; 0.15; 8; 9.775; 113.823s
0.7; 0.15; 8; 9.305; 104.48s
0.7; 0.15; 8; 9.885; 131.828s
0.7; 0.15; 8; 10.755; 152.767s
0.7; 0.2; 8; 9.395; 111.332s
0.7; 0.2; 8; 9.375; 93.1842s
