cp; mp; best; avg; time
0.5; 0.05; 10; 11.4; 306.544s
0.5; 0.05; 10; 11.595; 396.214s
0.5; 0.05; 10; 11.725; 386.888s
0.5; 0.05; 10; 11.96; 409.403s
0.5; 0.05; 10; 12.115; 413.252s
0.5; 0.05; 10; 12.175; 406.906s
0.5; 0.05; 11; 12.915; 371.663s
0.5; 0.05; 9; 11.29; 340.293s
0.5; 0.05; 9; 11.33; 439.887s
0.5; 0.05; 9; 11.5; 443.685s
0.5; 0.1; 10; 10.69; 355.522s
0.5; 0.1; 10; 11.63; 393.165s
0.5; 0.1; 10; 12.04; 366.336s
0.5; 0.1; 11; 11.98; 301.718s
0.5; 0.1; 11; 12.23; 360.938s
0.5; 0.15; 10; 11.545; 341.819s
0.5; 0.15; 11; 12.23; 346.864s
0.5; 0.15; 9; 10.6; 309.012s
0.5; 0.15; 9; 10.715; 444.696s
0.5; 0.15; 9; 10.735; 355.539s
0.5; 0.15; 9; 11.185; 365.609s
0.5; 0.15; 9; 11.315; 358.218s
0.5; 0.15; 9; 11.555; 593.635s
0.5; 0.15; 9; 11.625; 382.251s
0.5; 0.15; 9; 11.73; 393.986s
0.5; 0.1; 8; 10.93; 477.477s
0.5; 0.1; 9; 10.48; 337.869s
0.5; 0.1; 9; 10.635; 419.015s
0.5; 0.1; 9; 11.085; 492.379s
0.5; 0.1; 9; 11.12; 449.011s
0.5; 0.2; 10; 11.095; 308.323s
0.5; 0.2; 10; 11.325; 340.631s
0.5; 0.2; 10; 11.715; 319.759s
0.5; 0.2; 10; 11.765; 326.064s
0.5; 0.2; 10; 11.775; 412.244s
0.5; 0.2; 10; 12.175; 418.786s
0.5; 0.2; 11; 12.4; 327.91s
0.5; 0.25; 10; 11.895; 319.317s
0.5; 0.25; 10; 12.385; 369.085s
0.5; 0.25; 10; 12.635; 342.924s
0.5; 0.25; 8; 12.305; 1028.25s
0.5; 0.25; 9; 10.48; 380.705s
0.5; 0.25; 9; 10.54; 276.868s
0.5; 0.25; 9; 10.68; 300.111s
0.5; 0.25; 9; 11.75; 398.111s
0.5; 0.25; 9; 11.845; 452.848s
0.5; 0.25; 9; 11.99; 420.709s
0.5; 0.2; 9; 10.455; 482.62s
0.5; 0.2; 9; 11.385; 445.963s
0.5; 0.2; 9; 11.7; 411.002s
0.6; 0.05; 10; 10.9; 285.289s
0.6; 0.05; 10; 11.025; 282.369s
0.6; 0.05; 10; 11.08; 254.043s
0.6; 0.05; 10; 11.18; 311.687s
0.6; 0.05; 10; 11.365; 289.777s
0.6; 0.05; 10; 11.43; 290.078s
0.6; 0.05; 10; 11.48; 246.646s
0.6; 0.05; 10; 11.63; 306.357s
0.6; 0.05; 10; 11.665; 276.679s
0.6; 0.05; 9; 10.28; 272.68s
0.6; 0.1; 10; 11.055; 328.19s
0.6; 0.1; 10; 11.2; 267.74s
