cx; mx; best
0.3; 0.1; 8
0.3; 0.1; 8
0.3; 0.1; 8
0.3; 0.1; 8
0.3; 0.1; 8
0.3; 0.15; 8
0.3; 0.15; 8
0.3; 0.15; 8
0.3; 0.15; 8
0.3; 0.15; 8
0.3; 0.2; 8
0.3; 0.2; 8
0.3; 0.2; 8
0.3; 0.2; 8
0.3; 0.2; 8
0.3; 0.25; 8
0.3; 0.25; 8
0.3; 0.25; 8
0.3; 0.25; 8
0.3; 0.25; 7
0.3; 0.3; 8
0.3; 0.3; 8
0.3; 0.3; 8
0.3; 0.3; 8
0.3; 0.3; 8
0.4; 0.1; 8
0.4; 0.1; 8
0.4; 0.1; 8
0.4; 0.1; 8
0.4; 0.1; 8
0.4; 0.15; 8
0.4; 0.15; 8
0.4; 0.15; 8
0.4; 0.15; 8
0.4; 0.15; 8
0.4; 0.2; 8
0.4; 0.2; 8
0.4; 0.2; 8
0.4; 0.2; 8
0.4; 0.2; 8
0.4; 0.25; 8
0.4; 0.25; 8
0.4; 0.25; 8
0.4; 0.25; 8
0.4; 0.25; 8
0.4; 0.3; 8
0.4; 0.3; 8
0.4; 0.3; 8
0.4; 0.3; 8
0.4; 0.3; 8
0.5; 0.1; 8
0.5; 0.1; 8
0.5; 0.1; 8
0.5; 0.1; 8
0.5; 0.1; 8
0.5; 0.15; 8
0.5; 0.15; 8
0.5; 0.15; 8
0.5; 0.15; 8
0.5; 0.15; 8
0.5; 0.2; 8
0.5; 0.2; 8
0.5; 0.2; 8
0.5; 0.2; 8
0.5; 0.2; 8
0.5; 0.25; 8
0.5; 0.25; 8
0.5; 0.25; 8
0.5; 0.25; 8
0.5; 0.25; 8
0.5; 0.3; 8
0.5; 0.3; 8
0.5; 0.3; 8
0.5; 0.3; 8
0.5; 0.3; 8
0.6; 0.1; 8
0.6; 0.1; 8
0.6; 0.1; 8
0.6; 0.1; 8
0.6; 0.1; 8
0.6; 0.15; 8
0.6; 0.15; 8
0.6; 0.15; 8
0.6; 0.15; 8
0.6; 0.15; 8
0.6; 0.2; 8
0.6; 0.2; 8
0.6; 0.2; 8
0.6; 0.2; 8
0.6; 0.2; 8
0.6; 0.25; 8
0.6; 0.25; 8
0.6; 0.25; 8
0.6; 0.25; 7
0.6; 0.25; 8
0.6; 0.3; 8
0.6; 0.3; 8
0.6; 0.3; 8
0.6; 0.3; 8
0.6; 0.3; 8
0.7; 0.1; 8
0.7; 0.1; 8
0.7; 0.1; 8
0.7; 0.1; 8
0.7; 0.1; 8
0.7; 0.15; 8
0.7; 0.15; 8
0.7; 0.15; 8
0.7; 0.15; 7
0.7; 0.15; 8
0.7; 0.2; 8
0.7; 0.2; 8
0.7; 0.2; 8
0.7; 0.2; 8
0.7; 0.2; 8
0.7; 0.25; 8
0.7; 0.25; 8
0.7; 0.25; 8
0.7; 0.25; 8
0.7; 0.25; 8
0.7; 0.3; 8
0.7; 0.3; 8
0.7; 0.3; 8
0.7; 0.3; 8
0.7; 0.3; 8
