gen; best; worst; avg
0; 69054.1; 13963.8; 26985.6
10; 69054.1; 15029.4; 34318.2
20; 69557.2; 14885.3; 34368.5
30; 69798.9; 14838.6; 34436
40; 69998; 14838.6; 34230.2
50; 69998; 14379.2; 34125
60; 69998; 13928.4; 34143.8
70; 69998; 13928.4; 34059.6
80; 70047.6; 13928.4; 33982.8
90; 70047.6; 14842.5; 33912.2
100; 70047.6; 15128.2; 33813.3
110; 70047.6; 14150.4; 33794.8
120; 70047.6; 14150.4; 33575.5
130; 70047.6; 14018.7; 33496.8
140; 70047.6; 14018.7; 33424.6
150; 70047.6; 14123.3; 33429
160; 70047.6; 14778.7; 33403
170; 70047.6; 14778.7; 33244.9
180; 70047.6; 14566.1; 33234.3
190; 70047.6; 14566.1; 33123.6
200; 70047.6; 13620.7; 32898.1
210; 70047.6; 13799.6; 32735.9
220; 70047.6; 13799.6; 32749.7
230; 70047.6; 13524; 32989.5
240; 70047.6; 14900.5; 32936.9
250; 70047.6; 14668.4; 32967
260; 70047.6; 14900.5; 33055.7
270; 70051.4; 13283.6; 32899.3
280; 70051.4; 12387.9; 32836.5
290; 70051.4; 12363.7; 32762.2
300; 70051.4; 13163.4; 32644.9
310; 70051.4; 13750.1; 32589.3
320; 70051.4; 13902.4; 32440.3
330; 70065; 13902.4; 32576.5
340; 70065; 13913.2; 32635.2
350; 70065; 14629.4; 32587.5
360; 70065; 14425.8; 32538.5
370; 70065; 13718.9; 32374.6
380; 70065; 13670.2; 32328.6
390; 70065; 13670.2; 32308.2
400; 70065; 13670.2; 32114.9
410; 70152.4; 13250.1; 31975.7
420; 70179.8; 13030; 31946.3
430; 70205.9; 13620.5; 32089.7
440; 70205.9; 13426.2; 31941.5
450; 70205.9; 12148.8; 31666.5
460; 70205.9; 12148.8; 31626.9
470; 70205.9; 12148.8; 31789.3
480; 70205.9; 12148.8; 31768.1
490; 70205.9; 12497.5; 31797.5
500; 70205.9; 15223.1; 31873.6
510; 70205.9; 14887.7; 31870.6
520; 70205.9; 14798.7; 31760.3
530; 70205.9; 14834.3; 31742.7
540; 70205.9; 14895; 31734.8
550; 70265.5; 15053.8; 31662.8
560; 70265.5; 15936.8; 31557.5
570; 70265.5; 13018.9; 31612.1
580; 70265.5; 12088.1; 31763.3
590; 70265.5; 13662; 31564.8
600; 70265.5; 14057.4; 31563.1
610; 70265.5; 13710.4; 31633.5
620; 70265.5; 13710.4; 31452.4
630; 70265.5; 13903.7; 31125.2
640; 70265.5; 13903.7; 31129.7
650; 70265.5; 14248.1; 31177.7
660; 70265.5; 14368.3; 31127.8
670; 70265.5; 14078.2; 31189
680; 70265.5; 14650.7; 31146.8
690; 70265.5; 14086.8; 31252.7
700; 70265.5; 15045.1; 31182.3
710; 70265.5; 14470.4; 31151.7
720; 70265.5; 14470.4; 31091.8
730; 70265.5; 14525.3; 30938.4
740; 70265.5; 12695; 30842.6
750; 70265.5; 14355.3; 30773.8
760; 70265.5; 14349.7; 30686.2
770; 70265.5; 15085.3; 30541.3
780; 70265.5; 15085.3; 30410.5
790; 70265.5; 14539.5; 30319.8
800; 70265.5; 15487.6; 30317.7
810; 70265.5; 15096.9; 30394.6
820; 70265.5; 15096.9; 30375.6
830; 70265.5; 14031.1; 30259.5
840; 70265.5; 14031.1; 30138.4
850; 70265.5; 14031.1; 29996.1
860; 70265.5; 15436.5; 29985.4
870; 70265.5; 15211.6; 30121.7
880; 70265.5; 15328.2; 30112.2
890; 70265.5; 15189.3; 30091.5
900; 70266; 13872.9; 30032.3
910; 70269.8; 13872.9; 30038.4
920; 70269.8; 13872.9; 29860.1
930; 70269.8; 13233.2; 29808.5
940; 70269.8; 13233.2; 29709.4
950; 70269.8; 14279.8; 29661.5
960; 70269.8; 14352; 29663.5
970; 70269.8; 14352; 29652.3
980; 70269.8; 14355.6; 29759.1
990; 70269.8; 14713.9; 29726.2
1000; 70269.8; 14197.1; 29602.9
1010; 70269.8; 15387.4; 29663.3
1020; 70269.8; 15425.7; 29629.9
1030; 70269.8; 15045.8; 29602.6
1040; 70269.8; 15045.8; 29450.3
1050; 70269.8; 16060.7; 29463.9
1060; 70269.8; 15229.3; 29294.5
1070; 70269.8; 14588.5; 29361.5
1080; 70269.8; 14761.7; 29282.2
1090; 70269.8; 14642.8; 29317.4
1100; 70269.8; 14484.6; 29215.9
1110; 70269.8; 14948; 29197.7
1120; 70269.8; 15391.6; 29208
1130; 70269.8; 15391.6; 29174.1
1140; 70269.8; 16218.7; 29094.7
1150; 70269.8; 14720.7; 28930.2
1160; 70269.8; 14532.9; 28869.5
1170; 70289.3; 14720.7; 28936.6
1180; 70289.3; 15160.2; 28838.7
1190; 70289.3; 15657.5; 28863.5
1200; 70289.3; 15900.6; 28796.5
1210; 70289.3; 16269.2; 28821.8
1220; 70289.3; 15842; 28886.6
1230; 70289.3; 15396.6; 28957.2
1240; 70289.3; 15310.3; 28858.3
1250; 70289.3; 15310.3; 28881.8
1260; 70289.3; 15012.4; 28909.7
1270; 70289.3; 14846.9; 28849
1280; 70354.7; 14846.9; 28857.4
1290; 70354.7; 15020.5; 28674.5
1300; 70354.7; 14614.1; 28555.7
1310; 70354.7; 14614.1; 28489.4
1320; 70354.7; 14614.1; 28545.2
1330; 70354.7; 14952.7; 28579.1
1340; 70360.7; 14904.4; 28472.1
1350; 70360.7; 14501.4; 28482.1
1360; 70360.7; 15634; 28352.3
1370; 70360.7; 14717.4; 28334.3
1380; 70360.7; 15267.2; 28292.4
1390; 70360.7; 15457.1; 28401
1400; 70360.7; 15269; 28396.8
1410; 70360.7; 15083.7; 28231.6
1420; 70360.7; 15083.7; 28155.2
1430; 70360.7; 15231.5; 28162.7
1440; 70360.7; 15231.5; 28143.5
1450; 70360.7; 14272.3; 28161.6
1460; 70360.7; 14272.3; 28200.9
1470; 70360.7; 15405.3; 28311.9
1480; 70406.3; 16200; 28156.9
1490; 70408.4; 15877.4; 28118.3
1500; 70408.4; 15877.4; 28177.4
1510; 70408.4; 15786; 28138.4
1520; 70408.4; 15233.5; 27868.9
1530; 70445.5; 15480.2; 27900.7
1540; 70445.5; 14458.4; 27902.7
1550; 70445.5; 14753.3; 27859.6
1560; 70445.5; 14753.3; 27848.3
1570; 70445.5; 14753.3; 27724.2
1580; 70445.5; 14559.1; 27791.8
1590; 70445.5; 14559.1; 27875.6
1600; 70445.5; 13601.5; 27720.3
1610; 70445.5; 13601.5; 27704.5
1620; 70445.5; 14596.8; 27791.2
1630; 70445.5; 14596.8; 27645.5
1640; 70445.5; 14596.8; 27662.5
1650; 70445.5; 14558.8; 27528.7
1660; 70445.5; 14558.8; 27467.6
1670; 70446.9; 14970.6; 27417.5
1680; 70446.9; 15086.6; 27477.8
1690; 70446.9; 15086.6; 27446.2
1700; 70446.9; 15086.6; 27340.1
1710; 70446.9; 15086.6; 27446.2
1720; 70446.9; 14833.7; 27374.2
1730; 70446.9; 14077.1; 27305.9
1740; 70451.1; 14035.8; 27293.1
1750; 70451.1; 14957.9; 27304
1760; 70464; 16296.1; 27490.1
1770; 70464; 16296.1; 27525.1
1780; 70464; 16292.7; 27405.5
1790; 70464; 15586.7; 27442.5
1800; 70464; 15113.8; 27398.7
1810; 70464; 14532.9; 27196.2
1820; 70464; 14525.7; 27189.9
1830; 70464; 13987.7; 27338.4
1840; 70464; 14090.6; 27247.5
1850; 70464; 14108.4; 27193.4
1860; 70464; 14108.4; 27165.6
1870; 70464; 13977.2; 27154.1
1880; 70464; 13634.9; 27132.8
1890; 70464; 14740.8; 27203.8
1900; 70464; 13986.8; 27033.8
1910; 70464; 13986.8; 26991.4
1920; 70464; 14115.5; 27021
1930; 70464; 12374.7; 27115.6
1940; 70464; 13014.2; 27098
1950; 70464; 13638.4; 27011.2
1960; 70464; 14842.5; 26912.4
1970; 70464; 14819.3; 26935.9
1980; 70464; 14110.5; 26973.2
1990; 70471.7; 14110.5; 26746.5
2000; 70471.7; 14110.5; 26748.8
2010; 70471.7; 14963.7; 26831.3
2020; 70471.7; 14556.9; 26755.4
2030; 70471.7; 14556.9; 26810.1
2040; 70483.8; 15406.2; 26950.3
2050; 70483.8; 15406.2; 26738
2060; 70483.8; 15332.9; 26621.1
2070; 70483.8; 14744.4; 26600.3
2080; 70483.8; 14744.4; 26709.6
2090; 70483.8; 14744.4; 26783.8
2100; 70483.8; 14744.4; 26791.9
2110; 70483.8; 14699.5; 26699.2
2120; 70483.8; 14696.7; 26791
2130; 70483.8; 14850.6; 26702.5
2140; 70483.8; 14850.6; 26643.8
2150; 70483.8; 14857.3; 26598.2
2160; 70483.8; 14857.3; 26477.5
2170; 70509.1; 12384.6; 26609.7
2180; 70509.1; 12310.1; 26505.1
2190; 70509.1; 11852; 26546.6
2200; 70509.1; 11852; 26458.3
2210; 70520.4; 13491.4; 26467
2220; 70520.4; 13491.4; 26426.4
2230; 70520.4; 14171.3; 26430.5
2240; 70520.4; 13218.9; 26291.4
2250; 70520.4; 13218.9; 26419
2260; 70520.4; 14171.3; 26499.9
2270; 70520.4; 13153.6; 26526.5
2280; 70520.4; 13986.5; 26413.8
2290; 70520.4; 13986.5; 26373
2300; 70520.4; 13983; 26348.6
2310; 70520.4; 13500; 26334.9
2320; 70520.4; 13500; 26404
2330; 70520.4; 13499.1; 26216.3
2340; 70520.4; 11973.6; 26193.3
2350; 70520.4; 11973.6; 26071.8
2360; 70520.4; 11973.6; 26076.2
2370; 70520.4; 13789; 26151.3
2380; 70520.4; 12859; 26204.3
2390; 70520.4; 12859; 26156.9
2400; 70520.4; 12859; 26112
2410; 70520.4; 12859; 26230.7
2420; 70520.4; 11724.8; 26310.6
2430; 70520.4; 13689; 26296.4
2440; 70520.4; 13264.5; 26317.6
2450; 70520.4; 13270.5; 26382.1
2460; 70520.4; 13666.3; 26441.7
2470; 70520.4; 13666.3; 26329.3
2480; 70520.4; 13489.3; 26474.4
2490; 70546.7; 13498.5; 26337.8
2500; 70546.7; 13498.5; 26411.3
2510; 70546.7; 13498.5; 26329.8
2520; 70546.7; 14144.4; 26458.5
2530; 70563.9; 14144.4; 26410.7
2540; 70563.9; 14969.4; 26516.4
2550; 70614.8; 13138.6; 26197.7
2560; 70711; 13138.6; 26181.6
2570; 70711; 13138.6; 26326
2580; 70711; 12845.5; 26218.5
2590; 70711; 12566.9; 26316.6
2600; 70711; 12566.9; 26213.3
2610; 70711; 12120.6; 26226.5
2620; 70711; 12577.2; 25939.2
2630; 70711; 12577.2; 26055.4
2640; 70711; 12233.2; 26092.8
2650; 70711; 14988.5; 26023.5
2660; 70717.7; 14988.5; 25973.9
2670; 70717.7; 14852.5; 26053.1
2680; 70717.7; 14668.1; 25974.9
2690; 70717.7; 15080.9; 26093.8
2700; 70717.7; 15080.9; 26268.6
2710; 70717.7; 15144.9; 26141.1
2720; 70717.7; 15144.9; 26254.6
2730; 70717.7; 15144.9; 26115.3
2740; 70717.7; 15911.4; 26054.2
2750; 70717.7; 15911.4; 25981.1
2760; 70717.7; 15347.8; 26023.2
2770; 70717.7; 14842.4; 25960.8
2780; 70717.7; 14884.4; 26130.2
2790; 70717.7; 15540.3; 26222.8
2800; 70739.7; 15226.1; 26332.8
2810; 70739.7; 14579.2; 26100.1
2820; 70739.7; 15226.1; 26083
2830; 70739.7; 15849.6; 25988
2840; 70739.7; 15847; 25929.4
2850; 70739.7; 15955.5; 25938.1
2860; 70739.7; 16091.3; 25980
2870; 70739.7; 16091.3; 25957.6
2880; 70739.7; 15603; 25854
2890; 70739.7; 15428.6; 25888.1
2900; 70739.7; 15782.9; 25688.5
2910; 70739.7; 16373.7; 25703.5
2920; 70774.8; 15507.2; 25705.1
2930; 70774.8; 16203.8; 25828.4
2940; 70774.8; 15623.9; 25914.6
2950; 70774.8; 13681.3; 25918.7
2960; 70777.9; 14084.7; 25943.9
2970; 70777.9; 15658.3; 25865.9
2980; 70777.9; 15658.3; 25973.1
2990; 70777.9; 15721.9; 25963.6
3000; 70777.9; 15721.9; 25919.7
3010; 70777.9; 14179.4; 26026.4
3020; 70777.9; 14179.4; 26131.8
3030; 70777.9; 15213.5; 26070.9
3040; 70777.9; 16696.9; 25943.6
3050; 70777.9; 16362.9; 25999.5
3060; 70777.9; 16819.1; 25998.5
3070; 70879.8; 16197.2; 25845.3
3080; 70879.8; 14561.2; 25653.3
3090; 70879.8; 14561.2; 25565.5
3100; 70879.8; 15488.8; 25563.2
3110; 70887.8; 14415.9; 25611.9
3120; 70911.8; 14553.4; 25804.1
3130; 70911.8; 15015.1; 25747.7
3140; 70911.8; 13637.7; 25780.1
3150; 70911.8; 13637.7; 25850.3
3160; 70911.8; 13051.6; 25887.7
3170; 70911.8; 13051.6; 25765.8
3180; 70911.8; 12676.1; 25818.7
3190; 70911.8; 12676.1; 25733.1
3200; 70911.8; 15120.2; 25704.9
3210; 70911.8; 15153.3; 25814.9
3220; 70911.8; 13999.8; 25959
3230; 70911.8; 13921.8; 25785.7
3240; 70911.8; 13369; 25853.8
3250; 70911.8; 13369; 25714.3
3260; 70911.8; 15767.2; 25690.1
3270; 70911.8; 14194.2; 25769.6
3280; 70911.8; 15744.1; 25699.7
3290; 70941.6; 15337.6; 25868.2
3300; 70941.6; 14489.9; 25929.4
3310; 70941.6; 14924.6; 25932.7
3320; 70941.6; 14966.5; 25895.2
3330; 70941.6; 15447; 26035.6
3340; 70941.6; 13451.9; 25872.3
