temp; best; diff
999900; 67922.5; -293.136
951132; 17609; 174.716
904742; 23080.2; -299.233
860615; 19343; -70.3834
818641; 19978.3; 113.146
778713; 19111.4; -267.915
740733; 22647; 3623.38
704605; 19129.5; 9.83707
670240; 22365.3; -151.114
637550; 17932.9; -654.242
606455; 18344; 95.5112
576876; 22243.6; -705.381
548740; 19036; -626.364
521977; 21531.1; -248.48
496518; 19758.4; -166.75
472302; 24879; -57.1703
449266; 18644.2; -73.0511
427354; 20123.2; -192.405
406511; 23148.1; 4765.8
386684; 21516; 276.738
367824; 22588.5; -27.1041
349884; 21937.8; -869.174
332819; 16614.4; -2122.2
316587; 22807.5; -866.052
301146; 21024; 722.779
286458; 20090.1; 509.706
272487; 18104.1; 224.16
259197; 20984.2; 1153.23
246555; 19358.3; -423.547
234530; 16582.9; -4970.17
223091; 18404.5; -907.81
212210; 23690; 2546.21
201860; 25107.6; -514.55
192015; 20679.8; 931.676
182650; 18333.2; -104.268
173741; 21209.7; 1343.5
165267; 20209.3; 301.179
157207; 17190.3; 251.652
149539; 21373.9; 343.414
142246; 24494; 133.534
135308; 25132.9; 957.333
128709; 22441.2; 635.395
122431; 21344; -142.58
116460; 21596.7; 3049.15
110780; 25557.7; 1905.72
105377; 22628.4; -615.072
100237; 23069.6; 1389.55
95348.4; 23418.6; 22.3858
90698; 20210.4; -285.992
86274.4; 20147.1; 1360.35
82066.5; 22584.6; 177.621
78063.9; 22858; -270.375
74256.5; 20734.6; -671.287
70634.8; 23193.8; -685.255
67189.7; 20430.8; 209.211
63912.7; 17908.4; -144.593
60795.5; 20533.4; -1674.8
57830.3; 21386.5; -13.497
55009.7; 20103.3; -220.948
52326.8; 21198.2; 230.311
49774.6; 21725.1; 8.8698
47347; 18408.1; -607.402
45037.7; 21392.8; -1804.85
42841.1; 20705; 981.954
40751.6; 22654; -255.468
38764; 22750.8; 57.0619
36873.4; 18303.2; -267.357
35075; 25175.2; 1384.45
33364.3; 23414.1; -417.889
31737; 25874.6; 1038.33
30189.1; 20237.8; 29.3563
28716.7; 20938; -602.647
27316.1; 21647.9; 1104.87
25983.8; 19769.7; -17.0828
24716.5; 22417; 3498.81
23511; 24438.5; 645.742
22364.3; 17596; -65.4737
21273.5; 22672.4; 609.136
20235.9; 22522.9; -2475.19
19249; 19360.7; -1894.52
18310.1; 21645.3; -512.795
17417.1; 14821.1; -239.689
16567.6; 17942.5; -1140.4
15759.6; 22917.4; -264.481
14990.9; 21227; 461.668
14259.8; 21786.9; 231.344
13564.3; 18818.9; 783.546
12902.7; 19536.1; -411.312
12273.4; 27245.5; 818.023
11674.8; 23175.1; 687.934
11105.4; 19598.3; 244.941
10563.7; 24444; 914.712
10048.5; 25667.2; -91.5017
9558.42; 22411.1; -149.127
9092.23; 21566.6; -1465.41
8648.78; 19998.7; -1082.08
8226.95; 20380.4; 1167.23
7825.7; 19193.6; -643.552
7444.01; 22129.4; -75.5408
7080.95; 25327.3; 289.856
6735.59; 26984; -81.0898
6407.07; 24511.4; 1699.54
6094.58; 25650.6; -2853.85
5797.33; 24604.6; -95.8067
5514.58; 20906.6; -727.012
5245.62; 19640.1; 979.871
4989.77; 20297.4; 0
4746.41; 25366.1; 419.172
4514.91; 23446.9; 428.071
4294.7; 22844.7; -1329.55
4085.24; 22076.4; 140.811
3885.99; 25862.7; 49.2085
3696.46; 19509.8; -213.256
3516.17; 20857.4; -52.1381
3344.68; 16986; 163.012
3181.55; 22347.6; -3843.68
3026.37; 24268; 1523.82
2878.77; 21441.2; -240.697
2738.36; 21069.8; -847.168
2604.8; 23230.2; 181.917
2477.76; 26884.3; 0
2356.91; 21542.5; 638.431
2241.96; 25900.9; 10.8264
2132.61; 21840.2; -933.909
2028.6; 23710.2; -1039.18
1929.66; 26538.4; -279.785
1835.54; 22175.6; 419.948
1746.02; 23878.3; 145.315
1660.86; 27094.1; -1221.23
1579.85; 25790.6; 591.692
1502.8; 26779.5; -186.934
1429.5; 25420.1; 1036.74
1359.78; 26305.5; -441.06
1293.46; 26824.9; -7845.65
1230.38; 28960.4; -1191.5
1170.37; 29250.8; 250.27
1113.29; 27249.6; -281.231
1058.99; 22489.9; -568.115
1007.34; 23409.2; 107.811
958.206; 23896.3; -4.25315
911.472; 26449; -56.7245
867.017; 31351.6; -432.426
824.73; 22233.7; -873.804
784.505; 26664.7; -348.363
746.242; 25756.1; -2218.88
709.846; 30459.1; 528.289
675.225; 28965.7; -925.347
642.292; 29586.8; -169.346
610.966; 30657.2; 555.934
581.167; 27819.5; 96.9217
552.822; 30297.7; 221.798
525.859; 29857.2; -4198.31
500.211; 31993.2; -1646.79
475.814; 27459; -836.735
452.608; 29651.6; -306.086
430.533; 30655.5; -7.6051
409.534; 30360.6; -727.494
389.56; 33902.4; -3171.23
370.56; 34004.3; -5350.52
352.487; 30605.8; -2112.75
335.295; 31830.1; -540.554
318.942; 29690.2; -89.843
303.386; 33326.9; -5278.7
288.589; 37553.3; -325.915
274.514; 36074.4; -308.04
261.125; 36596.7; -9365.11
248.389; 34578.9; -3012.33
236.274; 37285.5; 145.367
224.75; 38872.2; 187.505
213.789; 38880.1; 136.514
203.362; 39727.8; -309.415
193.443; 41539.5; 8.6722
184.008; 41372.4; -47.9894
175.034; 41976.3; -272.415
166.497; 41634.8; -580.238
158.376; 42282; -3722.76
150.652; 41754.1; -644.757
143.304; 43142.5; -398.348
136.315; 42971.1; -53.6825
129.666; 44845.4; -5585.4
123.342; 45347.8; -442.303
117.326; 45024.8; -136.798
111.604; 45254.8; -2469.46
106.161; 46069.6; -11482.8
100.983; 46571.2; -122.613
96.0576; 46930.1; -1307.93
91.3726; 47997; 5.58863
86.9161; 47954.2; -13308.9
82.6769; 48278.7; -18.0777
78.6445; 48778.1; -11789.1
74.8088; 49340.8; -978.63
71.1602; 51765.7; -1217.42
67.6895; 54096.6; -216.722
64.388; 55399; -7139.31
61.2477; 54776.3; 30.6025
58.2604; 55250.6; -1903.1
55.4189; 55390.7; -753.968
52.7159; 55305.8; -976.291
50.1448; 55366.1; -179.25
47.6991; 55981.9; -1151.96
45.3727; 56637.1; -346.198
43.1597; 56990.1; -317.662
41.0547; 56924.1; -1411.35
39.0523; 57365.1; -2092.31
37.1477; 57484.2; -544.158
35.3358; 57623.7; 39.2619
33.6124; 58282.6; -6536.04
31.973; 58637.2; -203.986
30.4136; 59066; -263.536
28.9303; 59404.2; -4173.74
27.5192; 59985.1; -3080.49
26.177; 60658.2; -411.195
24.9003; 61466.6; -298.849
23.6859; 61987.8; -37.5484
22.5306; 62300.8; -1486.7
21.4317; 62792.2; -4801.68
20.3865; 62782.9; -253.955
19.3921; 63158.7; -7828.43
18.4463; 63789.4; -3954.02
17.5466; 64029.7; -2138.67
16.6908; 64257.8; -383.141
15.8768; 64620.7; -311.754
15.1024; 64827.3; -1884.34
14.3658; 65096.3; -1466.8
13.6652; 65263.1; -10496
12.9987; 65297.4; -10543.3
12.3647; 65784.2; -1470.38
11.7616; 66032.7; -882.846
11.188; 66101.2; -7791.56
10.6423; 66278.5; -1131.23
10.1233; 66594; -13414.3
9.62952; 66821.9; -237.389
9.15986; 67116.6; -996.495
8.7131; 67303.6; -387.303
8.28814; 67483.8; -423.143
7.8839; 67537.6; -637.777
7.49938; 67670; -7560.76
7.13361; 68002.4; -774.454
6.78569; 68197; -3311.86
6.45473; 68239.4; -82.2714
6.13991; 68365; -436.515
5.84045; 68602.9; -2543.54
5.55559; 68735.3; -733.392
5.28463; 68894; -2703.81
5.02689; 68940.1; -2907.63
4.78171; 69073.8; -1131.18
4.54849; 69514.6; -1600.92
4.32665; 69619.9; -855.493
4.11562; 69839.1; -329.597
3.91489; 69904.8; -1693.99
3.72395; 69973.1; -11330.9
3.54232; 70017.8; -5102.45
3.36955; 70177.2; 0
3.20521; 70209.6; -1425.82
3.04888; 70306.2; -222.609
2.90018; 70430.5; -423.998
2.75873; 70515.2; -1829.37
2.62418; 70555.7; -783.737
2.49619; 70659.6; -2432.08
2.37444; 70716.2; -2180.2
2.25863; 70743.3; -324.692
2.14847; 70790.1; -1231.37
2.04369; 70835.3; -5758.16
1.94401; 70852.2; -4797.52
1.8492; 71025.3; -149.794
1.759; 71109.8; -14090.6
1.67321; 71282.9; -313.081
1.59161; 71476.9; -87.9596
1.51398; 71487.3; -3835.34
1.44014; 71532.9; -382.251
1.3699; 71563.4; -244.749
1.30308; 71570.1; -373.554
1.23953; 71618.7; -737.231
1.17907; 71618.7; -1256.6
1.12157; 71631.7; -798.667
1.06686; 71641; -328.325
1.01483; 71648; -2539.14
0.965333; 71689.8; -12110.9
0.918251; 71743.2; -939.486
0.873465; 71777.2; -369.166
0.830864; 71790; -922.267
0.79034; 71813.3; -95.8083
0.751793; 71819.5; -586.044
0.715126; 71822.5; -479.212
0.680247; 71837.9; -1995.14
0.647069; 71837.9; -301.138
0.61551; 71849.8; -12179.8
0.58549; 71849.8; -31.3107
0.556933; 71862.6; -643.56
0.52977; 71901; -9112.75
0.503932; 71949.9; -755.121
0.479353; 71967.7; -431.243
0.455974; 72001.4; -2696.66
0.433735; 72050; -207.111
0.41258; 72050; -648.901
0.392458; 72057.1; -6478.95
0.373316; 72119.9; -7344.51
0.355108; 72129.2; -918.035
0.337789; 72159.1; 8.41114
0.321314; 72207.1; -276.342
0.305642; 72226.5; -592.363
0.290735; 72226.5; -5332.76
0.276555; 72236.9; -10842.5
0.263067; 72236.9; -3170.02
0.250236; 72295.6; -741.802
0.238032; 72356.6; -12724.1
0.226422; 72356.6; -5074.94
0.215379; 72411.7; -211.58
0.204874; 72446.2; -2569.61
0.194882; 72649.1; -591.264
0.185377; 72669.9; -736.299
0.176335; 72684.3; -1067.74
0.167735; 72729.7; -1495.45
0.159554; 72819.3; -352.696
0.151772; 72819.3; -1879.04
0.14437; 72878.4; -403.675
0.137328; 72878.8; -2929.39
0.130631; 72989; -684.176
0.124259; 72989; -8385.39
0.118199; 72999.1; -87.7719
0.112434; 73008.9; -1470.98
0.10695; 73021.1; -165.101
0.101734; 73027.8; -75.1808
0.0967721; 73037.2; -265.418
0.0920522; 73092.1; -322.981
0.0875625; 73092.1; -7715.31
0.0832919; 73096.7; -1095.23
0.0792295; 73096.7; -193.911
0.0753652; 73125.7; -6986.77
0.0716894; 73151.9; -2525.05
0.0681929; 73203.6; -295.385
0.064867; 73209.1; -3111.22
0.0617032; 73219.8; -383.095
0.0586938; 73219.8; -218.775
0.0558311; 73230.2; -4242.67
0.053108; 73230.2; -498.246
0.0505178; 73302.5; -146.694
0.0480539; 73342.8; -8411.15
0.0457102; 73426.1; -473.571
0.0434807; 73426.7; -3649.49
0.0413601; 73460.2; -209.653
0.0393428; 73461.5; -48.275
0.0374239; 73484.7; -7290.51
0.0355987; 73545.8; -529.544
0.0338624; 73592.4; -11592.8
0.0322108; 73608.9; 0
0.0306398; 73609; -1831.42
0.0291454; 73632.5; -10795.5
0.0277239; 73659.7; -111.641
0.0263717; 73670.7; -142.935
0.0250855; 73691.8; -2156.11
0.023862; 73702.7; -600.889
0.0226982; 73702.7; -282.843
0.0215911; 73702.7; -8808.7
0.0205381; 73750.7; -675.899
0.0195364; 73750.7; -295.94
0.0185835; 73750.7; -826.729
0.0176772; 73750.7; -524.731
0.016815; 73770; -1164.46
0.0159949; 73782.3; -4274.15
0.0152148; 73782.3; -1754.37
0.0144727; 73795.7; -337.522
0.0137668; 73836.2; -233.11
0.0130954; 73836.2; -3217.61
0.0124567; 73836.2; -60.352
0.0118491; 73853.1; -1506.77
0.0112712; 73853.1; -432.035
0.0107215; 73871.7; -3228.36
0.0101986; 73872.5; -15189
0.00970114; 73872.5; -916.602
0.00922799; 73872.5; -253.46
0.00877791; 73872.5; -1209.11
0.00834978; 73872.5; -378.059
0.00794254; 73872.5; -15237.5
0.00755516; 73968.7; -1349.88
0.00718667; 73977.8; -88.9296
0.00683616; 74014.3; -1538.79
0.00650274; 74014.3; -7414.83
0.00618558; 74045.5; -2330.34
0.00588389; 74047.7; -375.457
0.00559692; 74068.2; -280.929
0.00532394; 74079.4; -692.497
0.00506427; 74085.5; -500.538
0.00481727; 74085.5; -2795.21
0.00458232; 74085.5; -362.331
0.00435883; 74089.6; -362.167
0.00414624; 74089.6; -654.77
0.00394401; 74092.3; -625.529
0.00375165; 74114.7; 0
0.00356867; 74115.6; -5768.65
0.00339462; 74129.9; -284.174
0.00322905; 74130.2; -748.941
0.00307156; 74155.8; -325.614
0.00292175; 74178.3; 0
0.00277925; 74182.6; -3167.34
0.0026437; 74185.4; -339.099
0.00251476; 74204; -423.728
0.0023921; 74206.1; -1599.62
0.00227543; 74213.4; -313.429
0.00216445; 74213.4; -263.642
0.00205889; 74213.4; -429.683
0.00195847; 74255.2; -795.237
0.00186295; 74264.1; -487.735
0.00177209; 74285.6; -1659.07
0.00168566; 74285.6; -403.876
0.00160344; 74285.6; -404.83
0.00152524; 74285.6; -11.3151
0.00145085; 74290.2; -426.427
0.00138009; 74290.2; -5088.24
0.00131278; 74290.2; -427.156
0.00124875; 74296.4; -472.302
0.00118784; 74304; -2048.3
0.00112991; 74304; -1247.47
0.0010748; 74313.7; -195.671
0.00102238; 74313.7; -161.761
0.000972513; 74313.7; -22.2798
0.000925081; 74313.7; -526.614
0.000879962; 74356.1; -39.3492
0.000837044; 74362.1; -10801.1
0.000796218; 74362.1; -1612.45
0.000757384; 74362.1; -193.573
0.000720445; 74402.3; -464.273
0.000685306; 74402.3; -1065.88
0.000651882; 74402.3; -244.613
0.000620088; 74402.3; -1339.96
0.000589844; 74402.3; -11713
0.000561076; 74412.4; -7404.48
0.00053371; 74412.4; -137.208
0.00050768; 74412.4; -227.176
