gen; best; worst; avg
0; -23768.9; -47213; -33323.1
0; -23178.6; -51797; -32178.2
10; -16013; -48406.8; -31231.5
20; -16013; -43543.6; -30988.6
30; -16013; -45289.6; -30894.1
40; -14881.6; -43395.9; -30866.2
50; -14881.6; -43991.9; -30757.4
60; -13911.8; -44613.7; -30693
70; -13338.7; -44613.7; -30578.9
80; -13338.7; -45786.4; -30649.9
90; -13338.7; -44760.2; -30863.9
100; -12618.5; -44760.2; -30898
110; -12427.3; -44009.3; -30856.7
120; -12289.5; -42631.6; -30415.7
130; -12016.4; -42183.8; -30687.2
140; -11488.9; -43174.7; -30414.5
150; -11260.2; -41323; -30237
160; -11163.2; -42891.6; -30190.8
170; -11163.2; -43296.3; -30140.8
180; -11163.2; -43296.3; -30028.3
190; -11105.7; -45734.1; -29996.7
200; -11098.1; -47782.6; -30133
210; -11098.1; -45246.8; -30099.8
220; -11076; -48515.7; -30115.5
230; -10803.3; -41467; -29917.1
240; -10787.8; -43746.6; -29936.9
250; -10659.4; -41467; -30055.5
260; -10659.4; -41467; -30103
270; -10659.4; -42559.3; -30261.6
280; -10659.4; -42559.3; -30392.2
290; -10659.4; -42559.3; -30166.8
300; -10659.4; -41902.6; -30338.2
310; -10537.9; -42183.5; -30324.3
320; -10294.5; -42207; -30367.3
330; -10294.5; -44940.6; -30373.6
340; -10028.5; -44137.9; -30428.4
350; -9669.58; -47059.2; -30526.5
360; -9433.57; -47446.1; -30274.1
370; -9433.57; -46720.7; -30491.5
380; -9027.63; -47335.6; -30499.9
390; -9027.63; -43637.5; -30185.5
400; -9027.63; -47119.1; -30306.1
410; -8936.32; -45396.4; -30511.2
420; -8936.32; -44801.8; -30346
430; -8936.32; -44514.9; -30198.4
440; -8936.32; -44305.2; -30130.6
450; -8735.31; -44305.2; -29942.1
460; -8361.25; -43802.9; -29986
470; -8361.25; -44258.7; -29929.6
480; -8298.79; -44883.7; -30123.7
490; -6701.71; -44883.7; -30382.3
500; -6701.71; -44883.7; -30004.6
510; -6701.71; -45876.7; -29970.4
520; -6701.71; -45285.8; -30229.4
530; -6701.71; -44442.3; -30416
540; -6701.71; -42985.5; -30218
550; -6701.71; -42985.5; -30097
560; -5923.99; -43552.3; -29967.6
570; -5923.99; -46245; -29940.2
580; -5767.39; -45637; -30136.8
590; -5767.39; -42348.8; -30263.2
600; -5767.39; -42348.8; -30135.3
610; -5746.09; -42348.8; -30269
620; -5666.73; -42283.1; -30147.6
630; -5666.73; -44640.3; -30019.5
640; -4914.94; -44640.3; -30002.1
650; -4914.94; -44640.3; -30184.4
660; -4914.94; -44241.3; -30163
670; -4705.83; -42738.4; -30103.2
680; -4705.83; -44131.1; -29945.9
690; -4323.45; -44530.3; -29859.8
700; -4323.45; -44980.7; -29897.9
710; -4323.45; -44834.2; -29717
720; -4323.45; -44372.2; -29892.3
730; -4323.45; -47138.2; -30014.8
740; -4323.45; -45552.9; -29948.3
750; -4323.45; -46194.1; -30129.2
760; -3957.99; -42812.9; -29856.7
770; -3957.99; -45544.8; -29873.2
780; -3450.95; -45544.8; -29946.2
790; -3032.21; -45150.9; -30055.5
800; -3032.21; -46828.1; -30389.6
810; -3032.21; -45785.6; -30345.8
820; -3015.07; -46193.1; -30184.8
830; -3015.07; -45107.9; -30015.9
840; -3015.07; -44894.7; -30241.1
850; -2790.29; -44894.7; -30079
860; -2790.29; -44572.5; -30129.7
870; -2790.29; -45210.4; -30100.7
880; -2790.29; -45210.4; -30253.3
890; -2790.29; -44487; -30582.6
900; -2790.29; -43786.5; -30328.5
910; -2790.29; -43416.5; -30267
920; -2790.29; -43407.1; -29956.1
930; -2161.66; -43581.9; -29957.4
940; -2110.76; -43690.8; -30091.2
950; -2110.76; -47599.2; -30328.2
960; -2110.76; -48314.1; -30013.3
970; -1640.8; -42800; -29799.8
980; -1609.74; -42009.8; -29718.9
990; -1609.74; -41735.9; -29565.3
1000; -1609.74; -41735.9; -29579.2
1010; -1567.09; -44187.9; -29814.3
1020; -1567.09; -44187.9; -30040.8
1030; -1567.09; -44865.1; -30125
1040; -1567.09; -44865.1; -30162.6
1050; -1567.09; -44865.1; -30213.8
1060; -1567.09; -44587.8; -30247.6
1070; -1567.09; -44587.8; -30079.6
1080; -1567.09; -44587.8; -30095.7
1090; -1567.09; -44587.8; -29963.5
1100; -1567.09; -42914.6; -29898
1110; -1269.43; -41985.7; -29724
1120; -1269.43; -42899.3; -29612.9
1130; -1269.43; -47423; -29909.9
1140; -1269.43; -47711.3; -29537.6
1150; -1269.43; -45659; -29756
1160; -1269.43; -44247.2; -29687.4
1170; -1269.43; -41714; -29388.8
1180; -1269.43; -41681.9; -29540.5
1190; -1269.43; -41437.7; -29708.5
1200; -1269.43; -41588.8; -29942.1
1210; -1269.43; -42376.4; -29716.4
1220; -1189.13; -42376.4; -29794.6
1230; -1189.13; -42376.4; -29507
1240; -1189.13; -45891.5; -29777
1250; -1189.13; -41478.5; -29779.1
1260; -1152.6; -44749.8; -29625.7
1270; -1152.6; -43966.8; -29637.1
1280; -1152.6; -42670.8; -29613.4
1290; -1152.6; -44187.5; -29738.4
1300; -1152.6; -45277.3; -29991
1310; -1152.6; -47085.1; -30104.8
1320; -1152.6; -45277.3; -30257.1
1330; -676.6; -46787.8; -30048.9
1340; -676.6; -46793.8; -30066.1
1350; -676.6; -47117.4; -30030.1
1360; -676.6; -48200.2; -30231.2
1370; -676.6; -46864.9; -29667.1
1380; -676.6; -45218.2; -29802.7
1390; -676.6; -45520; -29662.1
1400; -437.649; -45623.1; -29919.4
1410; -437.649; -45623.1; -30095.1
1420; -437.649; -46761.9; -30101.7
1430; -437.649; -46199.5; -30020
1440; -437.649; -44352.8; -29761.4
1450; -437.649; -42287.4; -29973.5
1460; -437.649; -44512.3; -30044.5
1470; -437.649; -45600.9; -30091.6
1480; -437.649; -45112.3; -29872.8
1490; -437.649; -45112.3; -30010.5
1500; -437.649; -45112.3; -29944.2
1510; -437.649; -45112.3; -29671.1
1520; -337.078; -44765.3; -29732.3
1530; -337.078; -46599.8; -29943.8
1540; -337.078; -45032.8; -29977.5
1550; -337.078; -44679.6; -29904.5
1560; -337.078; -44332.7; -29933
1570; -337.078; -44332.7; -30320
1580; -337.078; -45574.9; -30186
1590; -337.078; -45980.4; -29838.3
1600; -337.078; -45980.4; -29883.8
1610; -337.078; -45880.3; -29605.4
1620; -337.078; -46215; -29728.4
1630; -337.078; -46153.3; -29926.7
1640; -337.078; -46498.5; -29794.1
1650; -337.078; -43806; -29813.2
1660; -337.078; -43806; -29728.9
1670; -337.078; -44193.3; -29794.5
1680; -337.078; -44193.3; -29775.2
1690; -337.078; -43336.6; -29670.7
1700; -337.078; -43336.6; -29992.9
1710; -337.078; -43336.6; -29616.6
1720; -337.078; -43336.6; -29825.5
1730; -337.078; -44815.8; -29824.9
1740; -128.978; -45157.6; -29604.8
1750; -128.978; -44945.7; -29941.2
1760; -128.978; -45848.7; -29946.7
1770; -128.978; -45848.7; -30037.7
1780; -128.978; -45848.7; -30333
1790; -128.978; -43888.2; -30102.8
1800; -128.978; -46145.7; -30192.6
1810; -128.978; -43874.5; -30124.4
1820; -128.978; -44103.4; -30051.4
1830; -128.978; -42686; -29890.7
1840; -119.77; -42948.1; -30013.8
1850; -119.77; -46488.2; -29867
1860; -119.77; -47350.9; -30097.8
1870; -119.77; -47350.9; -30024.4
1880; -119.77; -47350.9; -29992.3
1890; -119.77; -49225.8; -30245.6
1900; -119.77; -49225.8; -30251.6
1910; -119.77; -49225.8; -30246.9
1920; -39.993; -49225.8; -30106.6
1930; -39.993; -47264.3; -30054.4
1940; -39.993; -50115.4; -29996.7
1950; -39.993; -50115.4; -30043.1
1960; -39.993; -49015.1; -30262.7
1970; -39.993; -48571.7; -30248.2
1980; -39.993; -48571.7; -29996.6
1990; -39.993; -48571.7; -30041.2
2000; -39.993; -48571.7; -30245.6
2010; -39.993; -48571.7; -30189.6
2020; -39.993; -49475.1; -30159.2
2030; -39.993; -49475.1; -30062.8
2040; -39.993; -48749.8; -30200.9
2050; -39.993; -49986.1; -30239.9
2060; -39.993; -49986.1; -29952.8
2070; -19.5885; -49986.1; -30015.8
2080; -19.5885; -47638; -29873.5
2090; -19.5885; -44476.3; -29604.5
2100; -19.5885; -45239.2; -29689.6
2110; -19.5885; -45239.2; -29711.1
2120; -19.5885; -45302.9; -29691.4
2130; -19.5885; -45084.7; -29627.8
2140; -19.5885; -45084.7; -30250.9
2150; -19.5885; -45084.7; -30116.7
2160; -19.5885; -45084.7; -30092.3
2170; -19.5885; -44031.8; -30496
2180; -19.5885; -43025.5; -30189.1
2190; -19.5885; -46466; -30107.4
2200; -19.5885; -42638.8; -30333.5
2210; -19.5885; -44028; -30367.5
2220; -19.5885; -44028; -30463.1
2230; -19.5885; -44999; -30381.1
2240; -19.5885; -42862.7; -30025.7
2250; -19.5885; -45729.2; -30241.7
2260; -19.5885; -46943.5; -30283.6
2270; -19.5885; -43497.3; -30086.3
2280; -19.5885; -43497.3; -30124.2
2290; -19.5885; -45022.1; -30461.2
2300; -19.5885; -46136.7; -30411
2310; -19.5885; -46136.7; -30605.3
2320; -19.5885; -44183.1; -30759.6
2330; -19.5885; -43422.2; -30590.1
2340; -19.5885; -44252.9; -30296.1
2350; -19.5885; -42858.5; -30401.1
2360; -19.5885; -42534.3; -30217.3
2370; -19.5885; -42552.6; -30205.4
2380; -19.5885; -44066.9; -30121
2390; -19.5885; -44066.9; -30134.7
2400; 30.9746; -44574.5; -30138.6
2410; 30.9746; -49369.8; -30112.5
2420; 30.9746; -49369.8; -30150.4
2430; 30.9746; -51406.5; -30050.2
2440; 30.9746; -51406.5; -29946.8
2450; 30.9746; -51406.5; -30190.2
2460; 30.9746; -51406.5; -30209.6
2470; 30.9746; -51406.5; -30017.7
2480; 30.9746; -51406.5; -29945.3
2490; 30.9746; -51406.5; -30063
2500; 30.9746; -51406.5; -30019.4
2510; 30.9746; -45146.7; -30156.3
2520; 30.9746; -45146.7; -30232.5
2530; 30.9746; -44243.7; -30027.2
2540; 30.9746; -41571; -30092.6
2550; 30.9746; -42289.4; -29936.3
2560; 30.9746; -46541; -29788
2570; 30.9746; -42918.9; -29700.8
2580; 30.9746; -44851.3; -29986
2590; 30.9746; -44851.3; -29919.9
2600; 30.9746; -44851.3; -30047.3
2610; 30.9746; -44851.3; -30186.8
2620; 30.9746; -44941.3; -29686.2
2630; 30.9746; -44816.2; -29966.6
2640; 30.9746; -44869.5; -30197
2650; 30.9746; -43194.7; -30087.2
2660; 30.9746; -43194.7; -30292.2
2670; 30.9746; -42388.7; -29947.5
2680; 30.9746; -42388.7; -30187.5
