gen; best; worst; avg
0; 19760; 14751; 16629.6
10; 19865.7; 14804.9; 17018.1
20; 20099.7; 14090.7; 17015.3
30; 20184.6; 14662.3; 17023.5
40; 20221.2; 14855.4; 17079.4
50; 20221.2; 14809; 17001.2
60; 20341; 14761.9; 17022.7
70; 20364; 14761.9; 17066.1
80; 20364; 14761.9; 17045.2
90; 20390.9; 14737.9; 17035
100; 20442.8; 14737.9; 17070.3
110; 20490.9; 14493.2; 17031.2
120; 20514.7; 14434.2; 17080
130; 20514.7; 14544.3; 17038.7
140; 20514.7; 14544.3; 17046.4
150; 20563.5; 14598.7; 17065.2
160; 20580; 14899.5; 17071.7
170; 20621.5; 13951.2; 17028.1
180; 20621.5; 13951.2; 16984.5
190; 20746.5; 14258.6; 16939.3
200; 20789.4; 14258.6; 16967.4
210; 20793; 14350.6; 16965.9
220; 20793; 14417.5; 16972.6
230; 20821.6; 14037.6; 16961.9
240; 20821.6; 14037.6; 16875.7
250; 20830.4; 14037.6; 16869.8
260; 20881; 14393.2; 16923.1
270; 20881; 14356; 16910.3
280; 20881; 14356; 16935.8
290; 20888.1; 14287.9; 16989.3
300; 20987.4; 14647.5; 17022.2
310; 21051.5; 14760.2; 17008.3
320; 20997.1; 14760.2; 16995.1
330; 20997.1; 14760.2; 16964.2
340; 20997.1; 15154; 17017
350; 21104.3; 14496; 16984.2
360; 21104.3; 14973.3; 16977.1
370; 21111.2; 14973.3; 16993
380; 21111.2; 14484.5; 16974.8
390; 21111.2; 15091.3; 17001.1
400; 21115.5; 15107.5; 16968.6
410; 21115.5; 14989.5; 17001.5
420; 21250.4; 14633.9; 16957.7
430; 21250.4; 14833.2; 16989.2
440; 21250.4; 14792.1; 16908.4
450; 21250.4; 14420.8; 16936.8
460; 21307.6; 14723.4; 16882.7
470; 21307.6; 14738.7; 16898.2
480; 21355.9; 14738.7; 16895.6
490; 21355.9; 14588.6; 16872.1
500; 21366.9; 14461.3; 16812.5
510; 21367.1; 14355.5; 16806.8
520; 21367.1; 14497.6; 16842.9
530; 21371.6; 14611.7; 16910.7
540; 21371.6; 14393.9; 16929.6
550; 21377.9; 14480.2; 16917.8
560; 21390.4; 14480.2; 16907
570; 21395.7; 14655.5; 16880
580; 21399.1; 14507.1; 16864.1
590; 21399.1; 14500.9; 16857.2
600; 21399.1; 14596.4; 16872.4
610; 21399.1; 14286.2; 16888
620; 21416.8; 14596.4; 16894.5
630; 21416.8; 14596.4; 16922
640; 21416.8; 14972.7; 16888.1
650; 21416.8; 14949; 16893
660; 21416.8; 14867.6; 16916.2
670; 21421; 14662.2; 16918
680; 21421; 14662.2; 16921
690; 21421; 14653.6; 16993.3
700; 21486.5; 14753.7; 16931.8
710; 21486.5; 15116.6; 16956.7
720; 21486.5; 14732.6; 16985.7
730; 21486.5; 14678.7; 16990.4
740; 21492.6; 14678.7; 17020.7
750; 21492.6; 14678.7; 16935.9
760; 21492.6; 14678.7; 16933.9
770; 21492.6; 14957.2; 16901.3
780; 21498.4; 14957.2; 16891.5
790; 21498.4; 14777; 16868.7
800; 21498.4; 14777; 16935.1
810; 21498.4; 14446.4; 16958.2
820; 21498.4; 14907.4; 16968.5
830; 21498.4; 15066.9; 17004.1
840; 21498.4; 14998; 17015.1
850; 21498.4; 14843.8; 16921.7
860; 21530.3; 15048; 16934
870; 21530.3; 14735.5; 16972.8
880; 21530.3; 14741.6; 16987.3
890; 21530.3; 14741.6; 16996.8
900; 21530.3; 14446.6; 16997
910; 21537.9; 13951.2; 16916.9
920; 21538.9; 14328.3; 16917
930; 21551.7; 14050; 16903.7
940; 21551.7; 14050; 16923.1
950; 21551.7; 14116.5; 16949
