gen; best; worst; avg
0; 18309.3; 14392; 16449.9
0; 18309.3; 14851.2; 16647.3
10; 19024.5; 14702.2; 16803
20; 19334.8; 14651.8; 16807.1
30; 19334.8; 14851.2; 16809.4
40; 19428.6; 14851.2; 16823.2
50; 19451.9; 14884.4; 16849.7
60; 19469.8; 14646.9; 16841
70; 19478.6; 14646.9; 16807
80; 19769; 14461.2; 16765.1
90; 19803.8; 14647.1; 16851.8
100; 19803.8; 14468.6; 16834.3
110; 19906; 14727.7; 16824.3
120; 19974.4; 14727.7; 16768.1
130; 20009.4; 14533.6; 16767.9
140; 20028.5; 14747.8; 16838.4
150; 20142.1; 14624.9; 16833.6
160; 20142.1; 14412.5; 16793.7
170; 20151; 14591.3; 16742.2
180; 20151; 14369.8; 16718.3
190; 20151; 14414; 16788.6
200; 20153.4; 14377; 16779.4
210; 20215.4; 14370.6; 16799.2
220; 20268.3; 14835.5; 16794.3
230; 20309.7; 15021.6; 16790
240; 20309.7; 14916.4; 16823.8
250; 20353.8; 14916.4; 16831.6
260; 20393.1; 14598.8; 16810
270; 20412.3; 14616.9; 16825.3
280; 20412.3; 14650.2; 16834.6
290; 20412.3; 14527.8; 16890.2
300; 20424.9; 14681.3; 16807.5
310; 20476; 15020.9; 16816.3
320; 20476; 14885.7; 16780.9
330; 20476; 14728.9; 16807.7
340; 20476; 14750.7; 16818.7
350; 20476; 14750.7; 16787.1
360; 20514; 13750.2; 16746.9
370; 20541.7; 14339.2; 16797
380; 20541.7; 14830.6; 16864.4
390; 20541.7; 14712.8; 16795.4
400; 20551.1; 14240.7; 16885.5
410; 20641.7; 14776.9; 16804.6
420; 20641.7; 14754.5; 16790.7
430; 20641.7; 14615.7; 16809.5
440; 20677.4; 14699; 16825.4
450; 20677.4; 14704.6; 16848.7
460; 20677.4; 14655.2; 16862.4
470; 20677.4; 14847.7; 16882.7
480; 20685.4; 14935.6; 16853.2
490; 20685.4; 14632.4; 16890.1
500; 20685.4; 14632.4; 16842.9
510; 20704.2; 14632.4; 16854.6
520; 20704.2; 14632.4; 16778.9
530; 20704.2; 14632.4; 16841.3
540; 20715.7; 14230.8; 16815
