temp; best; diff
999900; -410535; -7387.97
951132; -1.30417e+06; 7650.53
904742; -1.22602e+06; 4787.71
860615; -1.10427e+06; -11491.3
818641; -1.26387e+06; -31182.7
778713; -1.21175e+06; -32004.4
740733; -1.22131e+06; 57748.1
704605; -1.15289e+06; 20624.1
670240; -1.33609e+06; 11117.2
637550; -1.15438e+06; 5439.5
606455; -1.09128e+06; 75267.3
576876; -1.19259e+06; 10603.9
548740; -1.30256e+06; 11637.2
521977; -1.19553e+06; -39895.3
496518; -1.2579e+06; -18426.3
472302; -1.25827e+06; 6048.44
449266; -1.29318e+06; -12599
427354; -1.3362e+06; -7175.58
406511; -1.25161e+06; -25119.6
386684; -1.21007e+06; -2056.21
367824; -1.28687e+06; 206.411
349884; -1.21858e+06; 0
332819; -1.22255e+06; 14935.2
316587; -1.18663e+06; -20197.6
301146; -1.25228e+06; 103992
286458; -1.29349e+06; 11825.5
272487; -1.32577e+06; 20598.3
259197; -1.13804e+06; -676.661
246555; -1.28697e+06; -45768.2
234530; -1.39155e+06; -128409
223091; -1.19014e+06; -46732.6
212210; -1.208e+06; 17143.4
201860; -1.13252e+06; 25158.1
192015; -1.1862e+06; 0
182650; -1.13502e+06; -4112.93
173741; -1.2768e+06; 9069.9
165267; -1.20781e+06; 6257.15
157207; -1.21318e+06; -7304.21
149539; -1.16697e+06; 8170.1
142246; -1.10975e+06; -60822.4
135308; -1.18612e+06; -12200.7
128709; -1.12719e+06; -47367.1
122431; -1.15341e+06; 2085.31
116460; -1.18319e+06; 11914.2
110780; -1.18639e+06; 57849.5
105377; -1.1121e+06; 3332.94
100237; -1.19696e+06; 4515.01
95348.4; -1.15053e+06; -22021.3
90698; -1.17502e+06; -46322.2
86274.4; -1.16576e+06; -30420
82066.5; -1.23548e+06; -24550.3
78063.9; -1.18895e+06; 14149
74256.5; -1.13817e+06; 27483.1
70634.8; -1.2805e+06; -22261.8
67189.7; -1.15952e+06; -6542.85
63912.7; -1.25681e+06; -5708.07
60795.5; -1.10274e+06; 111059
57830.3; -1.1758e+06; -2262.35
55009.7; -1.05148e+06; -15678
52326.8; -1.18083e+06; -2055.79
49774.6; -1.19177e+06; -6745.27
47347; -1.11847e+06; -10269
45037.7; -1.16517e+06; -446.765
42841.1; -1.08529e+06; 22661.4
40751.6; -1.09935e+06; -1132.95
38764; -1.1725e+06; 27545.1
