gen; best; worst; avg
0; 325.442; -25817.9; -12899.9
10; 1011.74; -25573.8; -10116.7
20; 2208.02; -29227.6; -10127.5
30; 3202.67; -29330.3; -10180.9
40; 3202.67; -29063.4; -10268.9
50; 3986.29; -25359.4; -10199.3
60; 5112.41; -25545.9; -9923.91
70; 6238.88; -26957.4; -9829.07
80; 6663.32; -27238.4; -9680.36
90; 7066.65; -24905.8; -9834.5
100; 8105.8; -24636.1; -9812.47
110; 8225.2; -24636.1; -9997.82
120; 8641.69; -25707.6; -10045.3
130; 8641.69; -25712.1; -10045
140; 8641.69; -27758.2; -10176.6
150; 9223.15; -27276.1; -10277.2
160; 9427.93; -27549; -10032.9
170; 9634.64; -27549; -10154.9
180; 9719.5; -26082.2; -10136.7
190; 9719.5; -26082.2; -10119
200; 9798.33; -25186.6; -9927.84
210; 10280.2; -24248.7; -9984.79
220; 10529.4; -24248.7; -9916.89
230; 10759.5; -23842.4; -10009.7
240; 11407.3; -24357; -9824.02
250; 12058.9; -22822.1; -9988.77
260; 12058.9; -25097.5; -9751.51
270; 12584.7; -24300.2; -9743.82
280; 13010.3; -26116.8; -9707.88
290; 13010.3; -28168.9; -10075.3
300; 13431.1; -28419.7; -9994.2
310; 13582.4; -28419.7; -9898.26
320; 13582.4; -25984.2; -9937.26
330; 13933.1; -25984.2; -9803.02
340; 14331.8; -26383.4; -9896.33
350; 14331.8; -27530; -9664.72
360; 14331.8; -25722.7; -9748.2
370; 14359; -25672.3; -9653.32
380; 14359; -24923.8; -9907.11
390; 14366.7; -24923.8; -9963.44
400; 14531.4; -25013.2; -9841.15
410; 14531.4; -24821.2; -9674.69
420; 14531.4; -24804.7; -9673.13
430; 14635.3; -28441.2; -9887.26
440; 14762.4; -28441.2; -9507.82
450; 15103.9; -28441.2; -9786.97
460; 15143.6; -28185.6; -9786.25
470; 15292.7; -26828.9; -9928.29
480; 15292.7; -26066.4; -9935.32
490; 15292.7; -25388.6; -9869.97
500; 15292.7; -26074.7; -9932.74
510; 17718.4; -25373.1; -9782.15
520; 17718.4; -25373.1; -9856.62
530; 17834.1; -25373.1; -9571.16
540; 18448.4; -26391.1; -9543.24
550; 18815.8; -26391.1; -9443.45
560; 18815.8; -26391.1; -9596.12
570; 19178.3; -24344.7; -9625.53
580; 19178.3; -26122.8; -9643.99
590; 19320.5; -24484.2; -9166.59
600; 19556.8; -24484.2; -9380.72
610; 19777.8; -27758.4; -9549.68
620; 20583.3; -25004.2; -9658.3
630; 20619.4; -25583.5; -9651.42
640; 20880.8; -25583.5; -9566.02
650; 21410.6; -25583.5; -9489.08
660; 21588.5; -24207.4; -9374.02
670; 21588.5; -24207.4; -9356.37
680; 21603; -25544.8; -9528.17
690; 22019.2; -25544.8; -9472.39
700; 22019.2; -23922.3; -9210.86
710; 22039.9; -31704.8; -8899.85
720; 22042.4; -29064.7; -9534.62
730; 22268.1; -29064.7; -9602.35
740; 22339.1; -26074.1; -9205.03
750; 22851.9; -26074.1; -9198.99
760; 23091; -26357.6; -9163.39
770; 23721.9; -24279.7; -9418.75
780; 23744.7; -24279.7; -9109.51
790; 23744.7; -25376.8; -9173.97
800; 24048.4; -24713.2; -9066.69
810; 24181.9; -24899.2; -9007.79
820; 24426.7; -25842.5; -9163.49
830; 24716.3; -26848; -8893.79
840; 25253.4; -26848; -9001.7
850; 25253.4; -26149.6; -8771.29
860; 25523.5; -26149.6; -8703.44
870; 25748.7; -26149.6; -8764.57
880; 25748.7; -24170.7; -8953.28
890; 25748.7; -23407.3; -8572.37
900; 25748.7; -23407.3; -8779.35
910; 25748.7; -23784.2; -8411.7
920; 25932.1; -24867; -8375.49
930; 26256.5; -25296.7; -8324.33
940; 26723.3; -25296.7; -8428.63
950; 26723.3; -25296.7; -8369.79
960; 26723.3; -23815.1; -8349.23
970; 26927; -23257.3; -8413.16
980; 26960.6; -25685.2; -8210.86
990; 27011.2; -28260.2; -8360.44
1000; 28025.7; -26840.3; -8636.24
1010; 28710.6; -26102.4; -8420.28
1020; 28780.9; -26102.4; -8198.24
1030; 28831; -26102.4; -8220.55
1040; 29111.8; -26343.7; -8247.93
1050; 29092; -27572.1; -8074.5
1060; 29162.2; -27572.1; -7862.99
1070; 29225.4; -27344.8; -7806.68
1080; 29303.2; -26198.4; -8057.61
1090; 29515.2; -26198.4; -8221.68
1100; 29591.6; -26039.5; -8309
1110; 29591.6; -24604.3; -8056.81
1120; 29591.6; -25441.2; -8361.84
1130; 30170.2; -24719.5; -8559.48
1140; 30170.2; -24719.5; -8472.03
1150; 30170.2; -24719.5; -8518.71
1160; 30876.1; -24719.5; -8559.59
1170; 31064; -23731.1; -8437.31
1180; 31064; -26060.7; -8641.61
1190; 31459.2; -25397.1; -8264.9
1200; 31464.1; -25435.8; -8490.98
1210; 31464.1; -27183.2; -8258.44
1220; 31464.1; -27183.2; -8213.09
1230; 31464.1; -26975.8; -8122.7
1240; 31484.1; -26707.7; -7799.9
1250; 31484.1; -26757.9; -8026.59
1260; 31503; -26757.9; -8056.13
1270; 31611.6; -26757.9; -7956.72
1280; 32080.8; -27605; -7990.3
1290; 32501.6; -27605; -7953.78
1300; 32614.3; -24910.9; -7824.66
1310; 32614.3; -24348.9; -7828.16
1320; 32614.3; -24348.9; -7955.81
1330; 32614.3; -24348.9; -7818.57
1340; 32748.4; -24348.9; -7604.58
1350; 32833.7; -23345.1; -7535.02
1360; 33300.1; -23801; -7737.93
1370; 33882.9; -26830.2; -7954.21
1380; 33882.9; -26830.2; -7964.07
1390; 33899.6; -26948.8; -8018.81
1400; 34715.2; -24235.4; -8016.31
1410; 34750.1; -24822; -8122.96
1420; 35352.1; -25463.9; -8170.08
1430; 35998.6; -25040.4; -8347.37
1440; 35998.6; -25040.4; -8254.89
1450; 35998.6; -26059.8; -7906.28
1460; 36110.6; -26973.1; -7810.83
1470; 36196.5; -27144.5; -7796.27
1480; 36196.5; -26420.3; -7857.17
1490; 36464.1; -29717.8; -7557.28
1500; 36569.1; -28799.9; -7689.76
1510; 36569.1; -28799.9; -7556.99
1520; 37016.6; -28799.9; -7858.84
1530; 37737.8; -22369; -7969.64
1540; 37870.4; -23998.1; -7697.95
1550; 37927; -26048.8; -7667.21
1560; 37927; -25838; -7540.97
1570; 38130.7; -25838; -7551.38
1580; 38475.1; -27500.3; -7469.33
1590; 38735.5; -27983.1; -7532.5
1600; 39218.4; -25413.7; -7759.43
1610; 39218.4; -27601.1; -7842.84
1620; 39272.3; -27915.3; -7630.85
1630; 39860.4; -26284.2; -7657.77
1640; 39924.8; -26401.2; -7763.7
1650; 39924.8; -24451.6; -7642.23
1660; 39953.5; -24587.8; -7403.25
1670; 40576.1; -23454.2; -7720.58
1680; 40576.1; -24874.4; -7535.7
1690; 40679.2; -23454.2; -7819.4
1700; 42224.8; -24356.2; -7423.08
1710; 42531; -24998.5; -7381.99
1720; 42531; -25402.3; -7341.69
1730; 42722.8; -27288.7; -7729.16
1740; 43457.9; -27288.7; -7616.42
1750; 43802.3; -30940.5; -7570.76
