gen; best; worst; avg
0; 26831.9; 14276.3; 20699.8
10; 28941.3; 13651.2; 21924.3
20; 29543.1; 13651.2; 21915.2
30; 30535.9; 15536.3; 22047.2
40; 31033.3; 15239.5; 22085.7
50; 31732.1; 15256.6; 22064.6
60; 31814.1; 15099.7; 22190.6
70; 32639; 14784.6; 22086.2
80; 32944.9; 15122.1; 22264.1
90; 33326.5; 14059.3; 22239.1
100; 33617.5; 15027.4; 22253.2
110; 33948.1; 15432.6; 22304.3
120; 34453.2; 14903.9; 22423.6
130; 34709; 14706.8; 22353.8
140; 35192.2; 14706.8; 22328.7
150; 35793.1; 14394.8; 22277.5
160; 35996.7; 14030.5; 22413
170; 35996.7; 14286.3; 22481.9
180; 36289; 15004.3; 22584.5
190; 36630; 15004.3; 22588.7
200; 37411.3; 14876.3; 22645
210; 37435.9; 15160.5; 22712.1
220; 37531.1; 15298; 22945.5
230; 37680.4; 15298; 22819.3
240; 38223.5; 15624.8; 22835
250; 38223.5; 14952.1; 22592.4
260; 38323.6; 15532.1; 22569.9
270; 38384.1; 15292.4; 22515.1
280; 38461.7; 15292.4; 22587
290; 38718.9; 14171; 22689.3
300; 39124.3; 15861.9; 22680.5
310; 39124.3; 15697.4; 22638.5
320; 39301.9; 15569; 22611.5
330; 39789.8; 15268.7; 22611.9
340; 39929.3; 15268.7; 22851.4
350; 40009.9; 14959.4; 22789.1
360; 40341.3; 14900; 22798.9
370; 40341.5; 15340; 22731.1
380; 40538.7; 14250.5; 22872
390; 40814.5; 15013.2; 22992.8
400; 40814.5; 15390.2; 22938.7
410; 41049.6; 14896.3; 22987.3
420; 41273.5; 14955.6; 23099.4
430; 41319.3; 14955.6; 23009.3
440; 41319.3; 14903; 22901.3
450; 41431.9; 14903; 22802.7
460; 41637.2; 14903; 23065.7
470; 41431.9; 13017.8; 22849.4
480; 41431.9; 13017.8; 22923.1
490; 41431.9; 14338.1; 22943.1
500; 41431.9; 14580.4; 22893.3
510; 41431.9; 15701; 22849
520; 41556.5; 15448.6; 22821.4
530; 41556.5; 15073.2; 22740.2
540; 41556.5; 16146.4; 22701.8
550; 41556.5; 15759.3; 22898.8
560; 41719.7; 15759.3; 23086.2
570; 41753.3; 15286.9; 23118.6
580; 41753.3; 15759.3; 23038.5
590; 41888.4; 15850.2; 22970.4
600; 41950; 14184; 22980.2
610; 41950; 14184; 23242
620; 41950; 14184; 23103.8
630; 41976.3; 14184; 23143
640; 42013.6; 14119.6; 23117.4
650; 42050.4; 14119.6; 22929.9
660; 42082.2; 14647; 23024.9
670; 42208.6; 14741; 23083.5
680; 42229.5; 14825.7; 22928.1
690; 42637.1; 14891; 23108.2
700; 42660; 14426.4; 22956.5
710; 42660.2; 13971.6; 23089.5
720; 42684.8; 13887.4; 22842.7
730; 42794.4; 13949.7; 22984.4
740; 42915.5; 15157.8; 22954
750; 43083.3; 15157.8; 23026.1
760; 43396.9; 13441.3; 23055.2
770; 43581.9; 13441.3; 23069.1
780; 43613.1; 12201.8; 23000.9
790; 43797.1; 11808.7; 22907.8
800; 43797.1; 12409.6; 22776.7
810; 44098.2; 13962.9; 22923.4
820; 44098.2; 13962.9; 23031
830; 44240.4; 13962.9; 23001.2
840; 44240.4; 13128; 22980.8
850; 44336.4; 13128; 23118.5
860; 44336.4; 13336.3; 23092.7
870; 44405.3; 15349.8; 23218.1
880; 44550.5; 15338.6; 23101.2
890; 44609.9; 14680.6; 23203.2
900; 44758.1; 14476.5; 23398.8
910; 44781.7; 14050.7; 23352.5
920; 44877; 13649.1; 23217.4
930; 44877; 12887.1; 23323.7
940; 45066.5; 12877.2; 23275.2
950; 45090.9; 12877.2; 23319.8
960; 45189.9; 14022.9; 23166.1
970; 45265.1; 13819.5; 23172.5
980; 45265.1; 13819.5; 23305.1
990; 45265.1; 13819.5; 23228
1000; 45265.1; 14253.8; 23129
1010; 45369; 14963.3; 23242.4
1020; 45623.4; 14187.8; 23169.1
1030; 45913.4; 14214.6; 23194.9
1040; 45913.4; 15869.7; 23330.1
1050; 45913.4; 16064.7; 23301.1
1060; 46003.3; 16001.6; 23284.4
1070; 46175.4; 16001.6; 23390
1080; 46186.2; 16001.6; 23312.4
1090; 46340.9; 15931.5; 23339.3
1100; 46340.9; 15643.2; 23411.3
1110; 46406.9; 15643.2; 23537.4
1120; 46534.3; 15349.9; 23544
1130; 46534.3; 15349.9; 23447.4
1140; 46729.1; 15714.7; 23187.2
1150; 46937.4; 14473.9; 23367.7
1160; 46953.7; 13787.3; 23315.8
1170; 46953.7; 16166.4; 23481.2
1180; 46978.8; 14644.2; 23356.4
1190; 47247.4; 14517; 23276.4
1200; 47247.4; 15085.7; 23410.5
1210; 47360.4; 15143.4; 23351.2
1220; 47466.5; 15271.6; 23367.8
1230; 47564.8; 15715.8; 23332.3
1240; 47570.7; 15471.9; 23299.7
1250; 47570.7; 15300.5; 23449.6
1260; 47628.3; 14208.6; 23300.5
1270; 47672.4; 14079.6; 23262.6
1280; 47672.4; 14919.9; 23293.8
1290; 47708.9; 14387.2; 23293.4
1300; 47895.5; 14387.2; 23282.7
1310; 47895.5; 14387.2; 23237.7
1320; 48254.9; 14387.2; 23488.9
1330; 48254.9; 14387.2; 23471.1
1340; 48281.5; 14465.5; 23485
1350; 48281.5; 14885.6; 23406
1360; 48488.2; 14596.8; 23416.6
1370; 48488.2; 14229.2; 23498.8
1380; 48583.8; 14229.2; 23491.3
1390; 48583.8; 13767.8; 23403.2
1400; 48650.5; 14074.7; 23384
1410; 48650.5; 14026.5; 23350.8
1420; 48838.3; 14026.5; 23378.1
1430; 49254.9; 14236; 23481.8
1440; 49254.9; 15830.4; 23383.7
1450; 49427.4; 15502.4; 23344.5
1460; 49526.2; 15830.4; 23351.3
1470; 49689.4; 14755.4; 23315
1480; 49689.4; 15781.9; 23273.8
1490; 49689.4; 15757.3; 23285.8
1500; 49689.4; 15234.7; 23433.3
1510; 49689.4; 15234.7; 23315.9
1520; 49725.5; 16466.9; 23284.5
1530; 49769.7; 14750.4; 23395.5
1540; 49769.7; 14750.4; 23372
1550; 49787.9; 14750.4; 23322
1560; 49794.3; 14750.4; 23305.7
1570; 49821.6; 14750.4; 23433.9
1580; 50042.3; 14750.4; 23381.8
1590; 50085.4; 15120.1; 23374.4
1600; 50085.4; 15120.1; 23360.6
1610; 50085.4; 15671.5; 23270.5
1620; 50094.9; 14057.9; 23284.1
1630; 50094.9; 14225.1; 23307
1640; 50094.9; 14225.1; 23115.5
1650; 50094.9; 14225.1; 23158
1660; 50094.9; 14049.8; 23085.3
1670; 50251.9; 14049.8; 23223
1680; 50310.5; 14049.8; 23222
1690; 50321.7; 13450.3; 23316.1
1700; 50359.2; 14616.9; 23210
1710; 50387.9; 14186.5; 23355.6
1720; 50438.1; 14186.5; 23262.5
1730; 50438.1; 14186.5; 23114.2
1740; 50438.5; 13114.5; 23281.1
1750; 50647.1; 13114.5; 23210.9
1760; 50675.8; 13114.5; 23061.7
1770; 50675.8; 13114.5; 23218.4
1780; 50675.8; 13222.7; 23197.9
1790; 50675.8; 13267.4; 23215.9
1800; 50675.8; 13267.4; 23323.3
1810; 50764.7; 13760.2; 23308.5
1820; 50764.7; 13760.2; 23330.3
1830; 50862.2; 13760.2; 23412.1
1840; 50862.2; 13418; 23426.5
1850; 50878.7; 13418; 23609
1860; 50920.9; 13418; 23654.5
1870; 50920.9; 13965.9; 23638.6
1880; 50920.9; 13965.9; 23749.4
1890; 50968.6; 13776.2; 23679.5
1900; 50968.6; 13671.7; 23587.9
1910; 50968.6; 13581.8; 23637.4
1920; 50970.9; 13542.4; 23602.5
1930; 50970.9; 13828; 23589.5
1940; 50970.9; 14873.8; 23581.1
1950; 51020.6; 14399.5; 23509.7
1960; 51327.2; 13009.4; 23647
1970; 51327.2; 13701.5; 23564.2
1980; 51518.9; 15779.7; 23534.3
1990; 51518.9; 13128.1; 23451
2000; 51518.9; 11741.8; 23543.6
2010; 51518.9; 12783.8; 23583.3
2020; 51518.9; 13909.7; 23587.3
2030; 51518.9; 14100.1; 23481.5
2040; 51577.7; 14498; 23587.1
2050; 51577.7; 14427.6; 23770.4
2060; 51717; 15121.4; 23666.6
2070; 51807.8; 15571.6; 23731.4
2080; 52041.4; 15469; 23552.4
2090; 52041.4; 15387.4; 23574.8
2100; 52251.4; 15469; 23499.7
2110; 52335.9; 15469; 23451.7
2120; 52371.3; 14981.5; 23430
2130; 52419.2; 14563.3; 23451.9
2140; 52419.2; 11723.8; 23395.8
2150; 52577.3; 12132.8; 23421.8
2160; 52583; 12132.8; 23534.7
2170; 52595.2; 12132.8; 23516.4
2180; 52798.4; 12443.9; 23421.6
2190; 52828.4; 12255.3; 23472.6
2200; 53120.9; 12255.3; 23493.8
2210; 53199; 12255.3; 23263.7
2220; 53325.8; 14783.9; 23303.2
2230; 53325.8; 14698.6; 23327.5
2240; 53481.6; 13462.9; 23340.7
2250; 53481.6; 14628.1; 23471.9
2260; 53481.6; 14022; 23347.8
2270; 53481.6; 14696.1; 23400.3
2280; 53481.6; 13634; 23435.7
2290; 53481.6; 13303.5; 23344.6
2300; 53481.6; 13802; 23297.9
2310; 53481.6; 13706.3; 23439.3
2320; 53528.9; 12575.1; 23538.6
2330; 53528.9; 12575.1; 23496.7
2340; 53679.6; 12906.8; 23423.5
2350; 53807.8; 12906.8; 23336.4
2360; 53807.8; 12906.8; 23431.3
2370; 53807.8; 12906.8; 23607.4
2380; 53807.8; 15283; 23782.4
2390; 53807.8; 15003.7; 23886.4
2400; 53876.9; 14699; 23796.8
2410; 53876.9; 14699; 23730.5
2420; 53876.9; 14842.6; 23802.6
2430; 53938; 15743.9; 23816.5
2440; 54020.2; 15187.9; 23768.2
2450; 54020.2; 14552.1; 23806
2460; 54020.2; 13957.9; 23688.1
2470; 54028.5; 14991.1; 23821.7
2480; 54028.5; 14480.3; 23785.5
2490; 54028.5; 14480.3; 23865.3
2500; 54028.5; 14786; 23813.5
2510; 54069.8; 15122.2; 23818
