gen; best; worst; avg
0; -1914.8; -43481.5; -29927.7
10; 436.732; -43438.6; -25387.8
20; 719.969; -43969.6; -25189.2
30; 719.969; -43969.6; -25362.9
40; 719.969; -43969.6; -25691.7
50; 719.969; -43969.6; -25809
60; 719.969; -44780.7; -25900.4
70; 719.969; -45173.9; -26179.4
80; 719.969; -45173.9; -26336
90; 719.969; -42735.5; -26175.4
100; 719.969; -42854.4; -26360.4
110; 719.969; -42163.1; -26827.6
120; 719.969; -43002.5; -26765.7
130; 757.093; -42626.7; -26596
140; 757.093; -44112.7; -26757
150; 757.093; -44112.7; -27106.7
160; 757.093; -42904.6; -27135
170; 757.093; -42479; -27171.8
180; 757.093; -43641.3; -27211.8
190; 803.085; -45383.2; -27437.1
200; 803.085; -44268.1; -27849.5
210; 803.085; -43385; -28277.1
220; 803.085; -43385; -28419.7
230; 803.085; -43385; -28452.5
240; 803.085; -45271.5; -28369
250; 803.085; -45271.5; -28193.3
260; 803.085; -45125.4; -28139.7
270; 803.085; -45125.4; -28175
280; 980.488; -45125.4; -28372.3
290; 980.488; -45125.4; -28702.9
300; 1267.03; -47090; -28607.3
310; 1267.03; -45127.6; -28555.2
320; 1758.89; -45127.6; -28532.2
330; 1758.89; -45607.9; -28856.5
340; 1758.89; -42830.3; -28887
350; 1758.89; -42819.5; -28888.5
360; 1758.89; -42819.5; -28860.6
370; 1767.37; -43591.2; -28745.5
380; 1767.37; -43591.2; -28906.3
390; 1767.37; -42513.8; -28804.6
400; 1767.37; -46050.6; -28669.1
410; 1772.33; -45651.4; -29062
420; 1772.33; -47337; -29223.5
430; 1772.33; -47337; -29297.1
440; 1772.33; -47337; -29374.9
450; 1772.33; -41728.5; -29114.8
460; 1772.33; -42965; -29292.4
470; 1772.33; -43713.8; -29181.5
480; 1772.33; -42184.1; -29105.9
490; 1772.33; -44161.5; -28846.7
500; 1772.33; -47850.6; -28997.5
510; 1772.33; -48969.1; -29047.8
520; 1772.33; -48291.5; -29404.4
530; 1772.33; -44810.8; -29403.2
540; 1772.33; -44385; -29284.8
550; 1772.33; -44476.4; -29619.8
560; 1772.33; -45487.1; -29443.6
570; 1772.33; -45487.1; -29391.5
580; 1772.33; -45487.1; -29295.8
590; 1772.33; -46462.3; -29144.8
600; 1772.33; -49216.1; -29595.1
610; 1772.33; -49216.1; -29767.2
620; 1772.33; -49216.1; -29941.6
630; 1772.33; -49169.3; -29645.3
640; 1772.33; -49169.3; -29443.7
650; 1772.33; -48676.6; -29425.2
660; 1772.33; -46584.8; -29244.7
670; 1815.76; -46584.8; -29306.8
680; 1815.76; -44491.1; -29376.7
690; 1815.76; -50873; -29684.2
700; 1815.76; -50873; -29590.7
710; 1815.76; -50873; -29575.2
720; 1815.76; -46925.6; -29459.9
730; 1815.76; -46925.6; -29437.1
740; 1815.76; -46925.6; -29243.1
750; 1815.76; -46925.6; -29379
760; 1815.76; -46925.6; -29174.9
770; 1815.76; -45587; -29199.4
780; 1815.76; -45587; -29227.4
790; 1815.76; -45025.8; -29237.4
800; 1815.76; -45025.8; -29415.6
810; 1943.16; -46132.3; -29426.7
820; 1943.16; -46132.3; -29608.2
830; 1943.16; -46132.3; -29755.2
840; 1943.16; -43197.3; -29648.1
850; 1943.16; -43197.3; -29634.9
860; 1943.16; -44033.7; -29728.5
870; 1943.16; -42472.5; -29634.2
880; 1943.16; -44069.6; -29563.7
890; 1943.16; -44626.1; -29438.4
900; 1943.16; -44626.1; -29546.8
910; 1943.16; -44860.6; -29411.4
920; 1943.16; -44767.5; -29333.5
930; 1943.16; -44487.5; -29839.4
940; 1943.16; -44487.5; -29871.8
950; 1943.16; -44609.3; -29890.5
960; 1943.16; -44609.3; -29874
970; 1943.16; -45166.8; -30011.3
980; 1943.16; -45166.8; -30026.7
990; 1943.16; -46621.6; -30055.8
1000; 1943.16; -46621.6; -29780.8
1010; 1943.16; -46621.6; -29797.6
1020; 1943.16; -46760.7; -29988
1030; 1943.16; -46760.7; -29903.5
1040; 1943.16; -44386; -29890.3
1050; 2017.64; -44386; -29984
1060; 2017.64; -44379.2; -29936.2
1070; 2017.64; -44557.3; -29909.6
1080; 2017.64; -44278.2; -29803.8
1090; 2017.64; -43719; -29749
1100; 2017.64; -44391; -29609.8
1110; 2017.64; -44923.4; -29703.9
1120; 2017.64; -44027.3; -29517.9
1130; 2017.64; -46568.9; -29452.4
1140; 2017.64; -46568.9; -29769.3
1150; 2017.64; -46568.9; -29571.6
1160; 2017.64; -46568.9; -29740.2
1170; 2017.64; -46092.8; -29849.5
1180; 2017.64; -46092.8; -29894.6
1190; 2017.64; -46092.8; -29608.2
1200; 2017.64; -46004.9; -29932.7
1210; 2017.64; -46974.1; -29943.6
1220; 2017.64; -46974.1; -29646.3
1230; 2017.64; -46974.1; -29577.5
1240; 2017.64; -45192.1; -29660.3
1250; 2017.64; -45192.1; -29467.5
1260; 2017.64; -45192.1; -29505.9
1270; 2017.64; -45192.1; -29505.5
1280; 2017.64; -45192.1; -29342
1290; 2017.64; -45192.1; -29420.6
1300; 2017.64; -45192.1; -29506.1
1310; 2017.64; -45123.9; -29676.6
1320; 2017.64; -48043.2; -29834
1330; 2017.64; -48043.2; -29485.2
1340; 2017.64; -48149.7; -29371.3
1350; 2017.64; -46160.8; -29274.9
1360; 2017.64; -45211; -29307.2
1370; 2017.64; -44405.8; -29249.2
1380; 2017.64; -45289; -29106.6
1390; 2017.64; -45289; -29047.5
1400; 2376.87; -42783.5; -29285
1410; 2376.87; -43502.2; -29265.5
1420; 2376.87; -43140.4; -29230.7
1430; 2376.87; -46259.4; -29463.6
1440; 2376.87; -46259.4; -29485.9
1450; 2376.87; -46259.4; -29669.1
1460; 2376.87; -46311.4; -29507.8
1470; 2376.87; -46311.4; -29355.3
1480; 2376.87; -45957.7; -29575.7
1490; 2376.87; -45279.4; -29872.9
1500; 2376.87; -45997.6; -29790.2
1510; 2376.87; -45997.6; -29741.1
1520; 2613.56; -45997.6; -29897
1530; 2613.56; -46113.4; -29747.6
1540; 2613.56; -46113.4; -29784.3
1550; 2613.56; -46175.8; -29682.1
1560; 2699.27; -46175.8; -29523.3
1570; 2699.27; -46175.8; -29752.5
1580; 2699.27; -46175.8; -29715
1590; 2699.27; -43983; -29864
1600; 2699.27; -43850; -29829.4
1610; 2699.27; -43613.7; -29874.3
1620; 2699.27; -43613.7; -29687.2
1630; 2699.27; -43464.3; -29584.4
1640; 2699.27; -44159.8; -29566.5
1650; 2699.27; -44246.6; -29963.2
1660; 2699.27; -45132.4; -29874.3
1670; 2699.27; -44188.1; -29840.8
1680; 2699.27; -44188.1; -29716.8
1690; 2699.27; -44188.1; -29594.6
1700; 2699.27; -46279.2; -29704.8
1710; 2772.73; -46313.9; -29597.4
1720; 2772.73; -45746.2; -29614.1
1730; 2772.73; -43416.7; -29868.2
1740; 2772.73; -43172.5; -30048.7
1750; 2772.73; -43172.5; -30110.3
1760; 2772.73; -44041.9; -29881.3
1770; 2772.73; -45481.7; -29781.3
1780; 2772.73; -44440.1; -29843.1
1790; 2772.73; -44440.1; -30042.2
1800; 2772.73; -44440.1; -29952.8
1810; 2772.73; -44440; -29676.6
1820; 2772.73; -44841.2; -29780
1830; 2772.73; -43900.7; -29736.9
1840; 2772.73; -43440.4; -29669.4
1850; 2772.73; -44252.3; -29684
1860; 2772.73; -44252.3; -29682.2
1870; 2772.73; -44252.3; -29553.8
1880; 2772.73; -42559.1; -29744.9
1890; 2772.73; -44390.6; -29653.8
1900; 2772.73; -46652.6; -29652.3
1910; 2772.73; -46652.6; -29795.8
1920; 2772.73; -46328.3; -29836.9
1930; 2772.73; -45968.9; -30003.1
1940; 2772.73; -46655.6; -30044.2
1950; 2772.73; -46655.6; -30137.1
1960; 2772.73; -44305.2; -30054.7
1970; 2772.73; -48389.8; -30066.8
1980; 2772.73; -46769.6; -30031.4
1990; 2772.73; -46769.6; -30060.3
2000; 2772.73; -46769.6; -30150.8
2010; 2772.73; -42966.5; -29936.4
2020; 2772.73; -46242; -29696.9
2030; 2772.73; -46242; -29603.2
2040; 2772.73; -46030; -29387
2050; 2772.73; -44084.5; -29521.2
2060; 2772.73; -43966.1; -29582.1
2070; 2772.73; -44233.9; -29444
2080; 2772.73; -43825.4; -29519.3
2090; 2772.73; -46011.8; -29600.3
2100; 2772.73; -45306.6; -29758.3
2110; 2772.73; -45306.6; -29553.6
2120; 2772.73; -41011.5; -29291.5
2130; 2772.73; -41451; -29508.6
2140; 2772.73; -41486.1; -29217.7
2150; 2772.73; -41435.9; -29411.3
2160; 2772.73; -43524; -29570.7
2170; 2772.73; -42941.7; -29554.4
2180; 2772.73; -46184.5; -29612.2
2190; 2772.73; -44119.6; -29447
2200; 2772.73; -43755.3; -29480.2
2210; 2772.73; -45157.1; -29842.6
2220; 2772.73; -46838; -29655.9
2230; 2772.73; -43107.1; -29671.5
2240; 2772.73; -42624.6; -29793
2250; 2772.73; -42624.6; -29629.6
2260; 2772.73; -42624.6; -29611.9
2270; 2772.73; -42624.6; -29666.1
2280; 2772.73; -46070.7; -29549.7
2290; 2772.73; -46070.7; -29806
2300; 2772.73; -47021.1; -29749.6
2310; 2772.73; -47064.5; -29942.4
2320; 2811.75; -46957.5; -30016.2
2330; 2811.75; -46070.7; -29826.8
2340; 2811.75; -46070.7; -30058.9
