temp; best; diff
999900; -20925.3; 3328.44
951132; -29429.4; -641.959
904742; -37695.8; 188.168
860615; -29457.6; -3737.42
818641; -30145.6; -70.5243
778713; -27781.8; 4989.8
740733; -29271.1; -1440.34
704605; -32862.3; 212.093
670240; -33303.7; -793.524
637550; -38194.3; 259.895
606455; -33257.1; 447.598
576876; -30312.5; 3309.77
548740; -32714; 799.997
521977; -37707.4; -1265.11
496518; -29966.8; -62.698
472302; -33412.1; 5782.41
449266; -31298.3; 0
427354; -32961; 177.609
406511; -26786.7; 192.337
386684; -33011.3; -1859.66
367824; -30177.9; -103.419
349884; -36485; -3242.64
332819; -29937; 574.233
316587; -39394.8; -1708.46
301146; -39600.4; 0
286458; -32924.8; -120.175
272487; -32424.4; -14.9337
259197; -40443.3; 2186.82
246555; -29414.4; -632.125
234530; -32484.8; -2922.11
223091; -28736.5; -106.59
212210; -29727.2; 222.969
201860; -35488.3; -4779.22
192015; -38912.1; -823.228
182650; -30529.6; -2418.11
173741; -27213; 289.498
165267; -33740.7; -939.355
157207; -31953.7; 382.27
149539; -26745.2; 0
142246; -39423.2; -9720.16
135308; -29234.2; 2904.22
128709; -35746.5; -408.303
122431; -34286.7; 3930.41
116460; -33971.3; 0
110780; -32791.2; 1420.89
105377; -37168.1; 482.353
100237; -34288.6; 0
95348.4; -31221.6; 1934.39
90698; -27816.5; -1576.18
86274.4; -37312.7; 56.2324
82066.5; -34456.6; -734.789
78063.9; -30408.4; 2288.2
74256.5; -33459.5; 7552.69
70634.8; -28281; 3278.24
67189.7; -27904.9; 445.687
63912.7; -30709.2; 438.32
60795.5; -28473.9; 86.1849
57830.3; -33352.8; 644.178
55009.7; -31708.1; 482.85
52326.8; -30376.7; -1498.24
49774.6; -28121.7; 1687.32
47347; -34825.9; 4345.98
45037.7; -39975; -1801.28
42841.1; -28806.9; 562.092
40751.6; -29799.4; -133.256
38764; -38247.9; -588.322
36873.4; -33296.1; 344.289
35075; -36261.4; 242.953
33364.3; -40806.8; 3692.16
31737; -34269.9; 1380.17
30189.1; -31224.3; 1158.91
28716.7; -31681.3; -2384.8
27316.1; -34704.4; -2924.37
25983.8; -37952.6; -2310.38
24716.5; -31229.7; 6570.17
23511; -42618; -3484.06
22364.3; -25274.8; 1658.53
21273.5; -32282; 4476.83
20235.9; -36514.3; -159.598
19249; -37137.4; -3420.79
18310.1; -34596.5; -575.104
17417.1; -25619.2; 2972
16567.6; -35728.6; 2054.32
15759.6; -27241.8; 0
14990.9; -23928.9; 0
14259.8; -33026.4; -2064.93
13564.3; -29514.2; 2136.11
12902.7; -33224.5; -265.439
12273.4; -34008.6; -49.1599
11674.8; -33615.5; -974.821
11105.4; -37149.6; -6275.95
10563.7; -34300.9; -2431.68
10048.5; -35612.7; -501.056
9558.42; -25781.5; 1463.32
9092.23; -31742.6; 111.866
8648.78; -28318.1; -525.962
8226.95; -39723.4; -1825.94
7825.7; -24947.4; 569.29
7444.01; -25877.9; 27.4818
7080.95; -32044; -2192.54
6735.59; -28497.8; 0
6407.07; -32000.3; -2788.28
6094.58; -28388.1; -7767.15
5797.33; -31271.9; -3740.71
5514.58; -30797.8; 3451.35
5245.62; -26825.6; 208.298
4989.77; -29445.9; -871.898
4746.41; -29325.8; -434.044
4514.91; -31331.7; -1263.14
4294.7; -30044.1; 22.2543
4085.24; -28986.6; 105.696
3885.99; -33801.9; -3143.56
3696.46; -31970.8; -310.849
3516.17; -24526.4; 0
3344.68; -34699.4; -3750.25
3181.55; -25529.7; -952.395
3026.37; -38750.1; -4116.43
2878.77; -27183.3; 0
2738.36; -25188.4; -6781.9
2604.8; -23696.7; 3152.5
2477.76; -27160.4; -135.136
2356.91; -24959.6; -344.124
2241.96; -23379.7; 1664.4
2132.61; -29381; 0
2028.6; -27555.6; -131.121
1929.66; -27336.6; 378.43
1835.54; -25715.1; -84.4232
1746.02; -27689.1; 2724.59
1660.86; -20583.8; 0
1579.85; -27032.8; 544.385
1502.8; -26588; -5327.72
1429.5; -22522.2; 344.622
1359.78; -25718.9; -20.9446
1293.46; -19084.3; -919.336
1230.38; -22021; 352.269
