gen; best; worst; avg
0; -233665; -1.09835e+06; -878965
10; -214613; -1.04358e+06; -766904
20; -213781; -1.03813e+06; -769534
30; -210860; -1.03813e+06; -772387
40; -210860; -1.03589e+06; -776838
50; -183263; -1.03589e+06; -776340
60; -177955; -1.02912e+06; -779915
70; -177955; -1.03176e+06; -778445
80; -177955; -1.04011e+06; -780454
90; -177955; -1.05983e+06; -778079
100; -177955; -1.05343e+06; -780835
110; -177955; -1.04041e+06; -782793
120; -177955; -1.04041e+06; -785049
130; -177955; -1.05268e+06; -787128
140; -177955; -1.03375e+06; -786758
150; -177361; -1.02618e+06; -787284
160; -175581; -1.04165e+06; -786335
170; -175581; -1.02809e+06; -787354
180; -175581; -1.03535e+06; -791579
190; -175581; -1.0634e+06; -792555
200; -175581; -1.0634e+06; -791341
210; -175581; -1.06502e+06; -799660
220; -175581; -1.06464e+06; -798278
230; -175581; -1.07565e+06; -802739
240; -175581; -1.09724e+06; -805415
250; -175581; -1.09696e+06; -807615
260; -175581; -1.09696e+06; -809429
270; -175581; -1.09696e+06; -809451
280; -175581; -1.09696e+06; -808964
290; -175581; -1.09696e+06; -808980
300; -172926; -1.09696e+06; -811810
310; -172926; -1.09696e+06; -813679
320; -172926; -1.11739e+06; -813271
330; -172926; -1.07972e+06; -812586
340; -172926; -1.06602e+06; -809507
350; -172926; -1.06602e+06; -811095
360; -172926; -1.06602e+06; -813218
370; -172926; -1.06428e+06; -815411
380; -170642; -1.07937e+06; -815949
390; -170642; -1.07649e+06; -816099
400; -170642; -1.06327e+06; -819092
410; -170642; -1.06705e+06; -817523
420; -170642; -1.06832e+06; -822046
430; -170642; -1.0748e+06; -821211
440; -170642; -1.06179e+06; -822774
450; -170642; -1.0527e+06; -825499
460; -170642; -1.04282e+06; -824683
470; -170642; -1.05127e+06; -825486
480; -170642; -1.05127e+06; -828730
490; -170642; -1.04765e+06; -828680
500; -170642; -1.08945e+06; -836864
510; -170642; -1.08945e+06; -838185
520; -170642; -1.12219e+06; -836155
530; -170642; -1.12219e+06; -838190
540; -170642; -1.12224e+06; -835156
550; -170642; -1.12224e+06; -835408
560; -170642; -1.05536e+06; -834718
570; -170642; -1.05013e+06; -834237
580; -170642; -1.05013e+06; -835158
590; -170642; -1.06654e+06; -834844
600; -170642; -1.06365e+06; -832748
610; -170642; -1.05169e+06; -836363
620; -170642; -1.04854e+06; -837984
630; -170642; -1.06378e+06; -842220
640; -170642; -1.09783e+06; -842345
650; -168204; -1.09783e+06; -843117
660; -163936; -1.09783e+06; -840418
670; -163936; -1.09783e+06; -843586
680; -163936; -1.09051e+06; -842311
690; -163650; -1.07236e+06; -842724
700; -163650; -1.05931e+06; -842805
710; -163650; -1.03851e+06; -842568
720; -163650; -1.04007e+06; -842973
730; -163650; -1.0573e+06; -845995
740; -163650; -1.04246e+06; -847696
750; -163650; -1.03623e+06; -846431
760; -163650; -1.05905e+06; -845970
770; -163650; -1.05905e+06; -848576
780; -163650; -1.05921e+06; -849911
790; -163650; -1.06217e+06; -850665
800; -163650; -1.09131e+06; -848422
810; -163650; -1.12009e+06; -850388
820; -163650; -1.09154e+06; -851888
830; -163650; -1.07155e+06; -851335
840; -163650; -1.07155e+06; -849989
850; -163650; -1.07866e+06; -852670
860; -163577; -1.10254e+06; -850720
870; -163577; -1.10254e+06; -849988
880; -163577; -1.12352e+06; -848876
890; -163577; -1.12352e+06; -849691
900; -163577; -1.12747e+06; -850447
910; -163577; -1.06784e+06; -851997
920; -163577; -1.06784e+06; -851605
930; -163577; -1.07328e+06; -849212
940; -163577; -1.06635e+06; -850469
950; -163577; -1.03855e+06; -849229
960; -163577; -1.05756e+06; -850487
970; -163577; -1.05535e+06; -850548
980; -163577; -1.05535e+06; -852303
990; -163577; -1.05241e+06; -853555
1000; -163577; -1.05241e+06; -857747
1010; -163577; -1.06667e+06; -859294
1020; -163577; -1.08678e+06; -858113
1030; -163577; -1.07411e+06; -856464
1040; -163577; -1.081e+06; -857560
1050; -163577; -1.081e+06; -857152
1060; -163577; -1.10276e+06; -858779
1070; -163362; -1.13799e+06; -857446
1080; -163362; -1.13799e+06; -857325
1090; -163362; -1.14015e+06; -859302
1100; -163362; -1.12153e+06; -860415
1110; -163362; -1.10761e+06; -861288
1120; -163362; -1.09033e+06; -856230
1130; -163362; -1.11445e+06; -858025
1140; -163362; -1.11445e+06; -856960
1150; -163362; -1.10456e+06; -855994
1160; -162908; -1.10456e+06; -858169
1170; -162245; -1.09454e+06; -853529
1180; -157031; -1.09454e+06; -850472
1190; -157031; -1.09569e+06; -848124
1200; -157031; -1.09569e+06; -849044
1210; -157031; -1.06144e+06; -851853
1220; -157031; -1.12491e+06; -853748
1230; -157031; -1.18542e+06; -856482
1240; -157031; -1.18542e+06; -857966
1250; -157031; -1.18542e+06; -854908
1260; -157031; -1.18542e+06; -854976
1270; -157031; -1.18542e+06; -857237
1280; -157031; -1.18542e+06; -854112
1290; -157031; -1.12607e+06; -856213
1300; -156127; -1.13018e+06; -857494
1310; -156127; -1.11959e+06; -853365
1320; -156127; -1.11959e+06; -853960
1330; -156127; -1.12403e+06; -853978
1340; -156127; -1.07253e+06; -855012
1350; -156127; -1.08419e+06; -854264
1360; -156127; -1.08419e+06; -855306
1370; -156127; -1.08419e+06; -853879
1380; -156127; -1.05487e+06; -852674
1390; -156127; -1.07148e+06; -854528
1400; -156127; -1.08105e+06; -855707
1410; -156127; -1.07801e+06; -856043
1420; -156127; -1.07801e+06; -858043
1430; -156127; -1.07801e+06; -858354
1440; -156127; -1.04862e+06; -860365
1450; -156127; -1.05367e+06; -857803
1460; -156127; -1.06548e+06; -859066
1470; -156127; -1.08028e+06; -859031
1480; -156127; -1.05612e+06; -862816
1490; -156127; -1.13267e+06; -861578
1500; -156127; -1.13267e+06; -860277
1510; -156127; -1.10922e+06; -860712
1520; -156127; -1.10922e+06; -861793
