gen; best; worst; avg
0; -792990; -1.102e+06; -934522
0; -777799; -1.08827e+06; -918256
10; -753761; -1.08827e+06; -907700
20; -745649; -1.09516e+06; -904434
30; -733900; -1.09516e+06; -904721
40; -715859; -1.04852e+06; -902173
50; -706679; -1.04741e+06; -903021
60; -702515; -1.0562e+06; -902688
70; -701848; -1.0562e+06; -900597
80; -690261; -1.0235e+06; -897251
90; -684514; -1.03041e+06; -899137
100; -678452; -1.03954e+06; -897048
110; -678452; -1.05568e+06; -894218
120; -676319; -1.04603e+06; -895041
130; -676319; -1.02505e+06; -894637
140; -668409; -1.02399e+06; -893241
150; -657481; -1.05862e+06; -892274
160; -657481; -1.08179e+06; -893991
170; -648927; -1.07793e+06; -890248
180; -648142; -1.07806e+06; -890427
190; -647955; -1.07806e+06; -889652
200; -643953; -1.07806e+06; -892178
210; -642121; -1.08416e+06; -896757
220; -640300; -1.10873e+06; -901517
230; -620271; -1.05452e+06; -900461
240; -619884; -1.04301e+06; -902326
250; -616388; -1.08887e+06; -901954
260; -614111; -1.08887e+06; -902256
270; -613272; -1.07597e+06; -901709
280; -612062; -1.0732e+06; -899988
290; -611061; -1.0732e+06; -898283
300; -611061; -1.07631e+06; -897745
310; -608877; -1.07631e+06; -899299
320; -608877; -1.06536e+06; -896770
330; -600823; -1.06536e+06; -894375
340; -595208; -1.05518e+06; -894864
350; -594999; -1.04004e+06; -895129
360; -592838; -1.04328e+06; -893879
370; -592838; -1.06509e+06; -895117
380; -592838; -1.10518e+06; -895066
390; -590199; -1.06252e+06; -895124
400; -577943; -1.08873e+06; -893260
410; -577943; -1.13933e+06; -893881
420; -574011; -1.1446e+06; -892813
430; -574011; -1.1317e+06; -892414
440; -567989; -1.05027e+06; -891050
450; -567989; -1.04151e+06; -890093
460; -564649; -1.03701e+06; -889646
470; -555815; -1.03877e+06; -888885
480; -552557; -1.05603e+06; -888003
490; -548746; -1.05384e+06; -889213
500; -547792; -1.07362e+06; -889234
510; -547792; -1.07935e+06; -891201
520; -541323; -1.05768e+06; -892806
530; -539884; -1.08818e+06; -890355
540; -539884; -1.08818e+06; -892320
550; -534763; -1.05178e+06; -892081
560; -534763; -1.0551e+06; -891449
570; -534763; -1.03827e+06; -889851
580; -532491; -1.05849e+06; -887758
590; -529268; -1.12299e+06; -887749
600; -525254; -1.12299e+06; -890185
610; -522808; -1.10223e+06; -893106
620; -521017; -1.12664e+06; -894332
630; -520319; -1.14463e+06; -896848
640; -520319; -1.14463e+06; -896007
650; -510124; -1.09309e+06; -896317
660; -510124; -1.0647e+06; -897211
670; -508692; -1.08315e+06; -896411
680; -498938; -1.09074e+06; -893965
690; -495229; -1.0593e+06; -893527
700; -476662; -1.04645e+06; -890895
710; -476006; -1.03966e+06; -890656
720; -468321; -1.04076e+06; -889982
