temp; best; diff
999900; -536472; 160422
951132; -965097; 1750.34
904742; -929314; 6221.16
860615; -915273; -4478.89
818641; -864541; -343.961
778713; -880736; -32639.7
740733; -978073; -13123.7
704605; -937366; -4235.02
670240; -934258; 7542.69
637550; -933773; 43494.2
606455; -948914; -3730.93
576876; -910295; 8366.76
548740; -936219; 0
521977; -948671; -75193.1
496518; -881027; 20271.6
472302; -910294; 2522.65
449266; -890312; -6689.09
427354; -967525; 26832.4
406511; -874100; -2914.53
386684; -922314; -33039.3
367824; -923402; -41748.7
349884; -900891; 9881.55
332819; -870852; 2935.66
316587; -982519; -229.505
301146; -931550; -39104.2
286458; -961024; -86953.6
272487; -871810; 35189
259197; -939992; 3890.28
246555; -795190; 25178.9
234530; -956276; -14750.4
223091; -979339; 2718.1
212210; -1.00511e+06; 19760.4
201860; -890720; -14191.6
192015; -899053; 790.501
182650; -950599; 5190.22
173741; -919820; -26749.4
165267; -1.00284e+06; 105.682
157207; -950591; -19620.7
149539; -856265; 0
142246; -997820; 13961
135308; -912154; 1475.68
128709; -943076; 27355.5
122431; -924393; -1.30929
116460; -883736; -34201.2
110780; -885203; 37449.1
105377; -913333; 3920.98
100237; -1.00871e+06; -5402.59
95348.4; -845420; 12098.5
90698; -819895; 2705.65
86274.4; -1.00429e+06; -393.392
82066.5; -869302; 3569.45
78063.9; -939738; 3942.89
74256.5; -851740; -20773.8
70634.8; -906267; 14744
67189.7; -897093; 24563
63912.7; -845832; -8694
60795.5; -834158; -1861.98
57830.3; -805129; 12740.1
55009.7; -957605; 15347.5
52326.8; -848363; 18461
49774.6; -900275; -55147.1
47347; -871727; -16099.4
45037.7; -898306; -296.393
42841.1; -898070; 13086.2
40751.6; -840144; 32155.2
38764; -837549; -16333
36873.4; -935281; 166.81
35075; -819461; -71605
33364.3; -838907; -46666.6
31737; -810217; -6151.84
30189.1; -832531; -27700.6
28716.7; -762402; 5005.71
27316.1; -916675; -33459
25983.8; -800127; -3131.64
24716.5; -890667; 77.4838
23511; -860466; -16576.8
22364.3; -859550; 7805.65
21273.5; -821080; -84617.4
20235.9; -772561; -28456.9
19249; -839541; -24994
18310.1; -824400; -4503.39
17417.1; -883711; 3240.34
16567.6; -825516; 2538.3
15759.6; -783484; -4227.79
14990.9; -773092; 1252.78
14259.8; -774032; -4942.67
13564.3; -751442; -2188.22
12902.7; -766919; -556.807
12273.4; -832743; -39122.5
11674.8; -805214; -57683.3
11105.4; -838605; 8907.56
10563.7; -738695; 3167.09
10048.5; -813661; 2563.33
9558.42; -806268; -19012.5
9092.23; -746314; -1436.5
8648.78; -745094; -22452.4
8226.95; -730277; -44522
7825.7; -736895; -3043.57
7444.01; -756601; -100748
7080.95; -734624; 5600.46
6735.59; -645758; -30584
6407.07; -724315; -4940.72
6094.58; -712797; 3232.48
5797.33; -692471; -4008.25
5514.58; -652924; -27756.7
5245.62; -681614; -4622.18
4989.77; -649849; -2160.66
4746.41; -625806; -1689.15
4514.91; -585444; -11769.5
4294.7; -611909; -13133.4
4085.24; -521697; -7638.83
3885.99; -564685; -25207.2
3696.46; -574928; -14137.5
3516.17; -537062; -3920.57
3344.68; -557461; -2266.8
