gen; best; worst; avg
0; -147522; -1.40658e+06; -1.09824e+06
10; -147522; -1.40658e+06; -922621
20; -147522; -1.43215e+06; -922871
30; -146666; -1.43215e+06; -927085
40; -146666; -1.43215e+06; -928772
50; -146666; -1.41334e+06; -929970
60; -146666; -1.36001e+06; -928533
70; -146666; -1.40559e+06; -929971
80; -146666; -1.40181e+06; -932616
90; -146666; -1.41772e+06; -936545
100; -146666; -1.40827e+06; -942107
110; -146567; -1.44054e+06; -944869
120; -146567; -1.38148e+06; -949234
130; -146567; -1.37829e+06; -950907
140; -146567; -1.37099e+06; -951602
150; -146567; -1.4038e+06; -954784
160; -146567; -1.40851e+06; -954510
170; -146567; -1.42213e+06; -958852
180; -146567; -1.39121e+06; -957572
190; -146567; -1.38064e+06; -954320
200; -146567; -1.41793e+06; -958037
210; -146567; -1.4033e+06; -960180
220; -146396; -1.37456e+06; -962328
230; -146396; -1.37208e+06; -967582
240; -146396; -1.38523e+06; -968959
250; -146396; -1.37077e+06; -973026
260; -146396; -1.41601e+06; -977049
270; -145731; -1.41601e+06; -981428
280; -145731; -1.37312e+06; -979215
290; -145731; -1.3994e+06; -983688
300; -145731; -1.36777e+06; -986995
310; -145731; -1.4149e+06; -987983
320; -145731; -1.41894e+06; -994237
330; -145731; -1.41894e+06; -997819
340; -145731; -1.4115e+06; -998990
350; -145731; -1.41438e+06; -1.00096e+06
360; -145731; -1.41438e+06; -1.00151e+06
370; -145731; -1.43573e+06; -1.00265e+06
380; -145731; -1.37649e+06; -1.00461e+06
390; -143575; -1.37649e+06; -1.00944e+06
400; -143575; -1.37592e+06; -1.0131e+06
410; -143575; -1.41118e+06; -1.01407e+06
420; -143575; -1.41492e+06; -1.01399e+06
430; -143575; -1.44356e+06; -1.0174e+06
440; -143575; -1.44356e+06; -1.02189e+06
450; -143575; -1.44356e+06; -1.02242e+06
460; -143575; -1.44356e+06; -1.02522e+06
470; -143575; -1.40359e+06; -1.02641e+06
480; -143266; -1.43644e+06; -1.02665e+06
490; -143266; -1.43644e+06; -1.03113e+06
500; -142794; -1.45977e+06; -1.03281e+06
510; -142794; -1.45977e+06; -1.03675e+06
520; -142794; -1.41318e+06; -1.04033e+06
530; -142794; -1.42909e+06; -1.04201e+06
540; -142794; -1.46135e+06; -1.04326e+06
550; -142794; -1.46135e+06; -1.04659e+06
560; -142794; -1.45039e+06; -1.04854e+06
