gen; best; worst; avg
0; -1.05462e+06; -1.45963e+06; -1.22817e+06
0; -1.05462e+06; -1.45963e+06; -1.20576e+06
10; -1.0151e+06; -1.45963e+06; -1.19444e+06
20; -1.004e+06; -1.3768e+06; -1.19968e+06
30; -1.004e+06; -1.3768e+06; -1.19949e+06
40; -978378; -1.389e+06; -1.19965e+06
50; -968811; -1.39788e+06; -1.19826e+06
60; -959006; -1.43712e+06; -1.19578e+06
70; -947771; -1.43712e+06; -1.19308e+06
80; -939377; -1.42603e+06; -1.18975e+06
90; -934537; -1.42801e+06; -1.19491e+06
100; -929523; -1.41953e+06; -1.19653e+06
110; -929523; -1.41952e+06; -1.19618e+06
120; -912093; -1.41952e+06; -1.19297e+06
130; -899159; -1.39667e+06; -1.19e+06
140; -890925; -1.41781e+06; -1.18814e+06
150; -890925; -1.41681e+06; -1.18536e+06
160; -888211; -1.41681e+06; -1.18445e+06
170; -879997; -1.392e+06; -1.18319e+06
180; -873347; -1.40633e+06; -1.18402e+06
190; -862279; -1.40633e+06; -1.18429e+06
200; -858514; -1.40633e+06; -1.18678e+06
210; -858278; -1.40633e+06; -1.18585e+06
220; -858278; -1.40633e+06; -1.18455e+06
230; -854518; -1.40633e+06; -1.18418e+06
240; -849097; -1.42472e+06; -1.1877e+06
250; -843682; -1.43721e+06; -1.18904e+06
260; -841043; -1.43721e+06; -1.18982e+06
270; -833369; -1.43721e+06; -1.18567e+06
280; -833369; -1.43248e+06; -1.1913e+06
290; -830689; -1.41517e+06; -1.19051e+06
300; -829746; -1.41641e+06; -1.19346e+06
310; -829746; -1.41641e+06; -1.19325e+06
320; -798299; -1.37165e+06; -1.19008e+06
330; -780819; -1.41926e+06; -1.18817e+06
340; -780819; -1.42943e+06; -1.18997e+06
350; -780819; -1.46488e+06; -1.18417e+06
360; -780819; -1.37554e+06; -1.18814e+06
370; -770240; -1.43752e+06; -1.18679e+06
380; -759967; -1.38651e+06; -1.18359e+06
390; -759967; -1.38651e+06; -1.18239e+06
400; -757881; -1.37101e+06; -1.17846e+06
410; -754998; -1.40203e+06; -1.17846e+06
420; -747445; -1.43787e+06; -1.17993e+06
430; -746867; -1.45437e+06; -1.1823e+06
440; -739417; -1.45437e+06; -1.17713e+06
450; -738821; -1.45437e+06; -1.18081e+06
460; -738821; -1.45437e+06; -1.17927e+06
470; -737563; -1.43038e+06; -1.17859e+06
480; -734319; -1.4159e+06; -1.17856e+06
490; -722054; -1.43308e+06; -1.1815e+06
500; -712631; -1.43308e+06; -1.18296e+06
510; -712631; -1.40919e+06; -1.17864e+06
520; -712631; -1.41422e+06; -1.18157e+06
530; -711099; -1.4126e+06; -1.17642e+06
540; -706548; -1.4126e+06; -1.17835e+06
550; -696150; -1.4126e+06; -1.17649e+06
560; -696150; -1.445e+06; -1.17983e+06
570; -696150; -1.40016e+06; -1.17784e+06
580; -693305; -1.43376e+06; -1.18038e+06
590; -693305; -1.44847e+06; -1.18424e+06
600; -690786; -1.44847e+06; -1.18459e+06
610; -688953; -1.43322e+06; -1.18012e+06
620; -688953; -1.43322e+06; -1.17717e+06
630; -686182; -1.38573e+06; -1.17641e+06
640; -683526; -1.38218e+06; -1.17792e+06
650; -683526; -1.3886e+06; -1.17404e+06
660; -670210; -1.39243e+06; -1.17449e+06
670; -669560; -1.45161e+06; -1.17703e+06
680; -662733; -1.45161e+06; -1.17592e+06
690; -662733; -1.38365e+06; -1.17185e+06
700; -661347; -1.42811e+06; -1.16939e+06
710; -661347; -1.42811e+06; -1.1684e+06
720; -660042; -1.40273e+06; -1.16606e+06
730; -660042; -1.42682e+06; -1.17012e+06
740; -660042; -1.42682e+06; -1.16919e+06
750; -660042; -1.42682e+06; -1.17023e+06
760; -659870; -1.42682e+06; -1.17072e+06
770; -659870; -1.42682e+06; -1.16821e+06
780; -658978; -1.42682e+06; -1.1691e+06
790; -658978; -1.4327e+06; -1.16632e+06
800; -644455; -1.4327e+06; -1.16564e+06
810; -643230; -1.38265e+06; -1.16423e+06
820; -636532; -1.38551e+06; -1.16839e+06
830; -636532; -1.39961e+06; -1.1699e+06
840; -636532; -1.39961e+06; -1.16969e+06
850; -635061; -1.39961e+06; -1.16738e+06
860; -623850; -1.39961e+06; -1.16814e+06
870; -623850; -1.39961e+06; -1.16563e+06
880; -619141; -1.39961e+06; -1.16419e+06
890; -610064; -1.4173e+06; -1.16331e+06
900; -606562; -1.4173e+06; -1.16137e+06
910; -605077; -1.4173e+06; -1.16475e+06
920; -599853; -1.4173e+06; -1.16393e+06
930; -599853; -1.4173e+06; -1.16005e+06
940; -599853; -1.44344e+06; -1.16309e+06
950; -591468; -1.44344e+06; -1.15877e+06
960; -590693; -1.45822e+06; -1.15606e+06
970; -584138; -1.45822e+06; -1.15874e+06
980; -584138; -1.45822e+06; -1.16021e+06
990; -584138; -1.42066e+06; -1.16254e+06
1000; -584138; -1.39671e+06; -1.16258e+06
1010; -584138; -1.39671e+06; -1.16435e+06
1020; -584138; -1.39671e+06; -1.16365e+06
1030; -584138; -1.39125e+06; -1.16428e+06
1040; -584138; -1.39125e+06; -1.16221e+06
1050; -581083; -1.39598e+06; -1.16291e+06
1060; -578720; -1.39598e+06; -1.16171e+06
1070; -577797; -1.39138e+06; -1.15676e+06
1080; -575223; -1.396e+06; -1.15664e+06
1090; -570957; -1.44967e+06; -1.15757e+06
1100; -569963; -1.4513e+06; -1.15741e+06
1110; -565207; -1.4513e+06; -1.16141e+06
1120; -564770; -1.4513e+06; -1.1591e+06
1130; -559735; -1.4513e+06; -1.15767e+06
1140; -557361; -1.45273e+06; -1.1552e+06
1150; -537526; -1.45527e+06; -1.15396e+06
1160; -535539; -1.42818e+06; -1.1561e+06
1170; -535539; -1.42818e+06; -1.15273e+06
1180; -526587; -1.4291e+06; -1.15494e+06
1190; -522323; -1.4291e+06; -1.1586e+06
1200; -522323; -1.38012e+06; -1.15548e+06
1210; -522323; -1.38012e+06; -1.15622e+06
1220; -520906; -1.38012e+06; -1.16159e+06
1230; -519588; -1.41709e+06; -1.16447e+06
1240; -519588; -1.42998e+06; -1.16518e+06
1250; -518331; -1.42343e+06; -1.16358e+06
1260; -517403; -1.40674e+06; -1.16044e+06
1270; -517403; -1.46606e+06; -1.15782e+06
1280; -515200; -1.44903e+06; -1.15595e+06
1290; -511878; -1.4931e+06; -1.15625e+06
1300; -511878; -1.4931e+06; -1.15712e+06
1310; -509097; -1.4931e+06; -1.16027e+06
1320; -506637; -1.4931e+06; -1.15759e+06
1330; -506637; -1.4931e+06; -1.15715e+06
1340; -506637; -1.51225e+06; -1.15701e+06
1350; -506637; -1.4398e+06; -1.15296e+06
1360; -506637; -1.4398e+06; -1.15471e+06
1370; -506519; -1.4207e+06; -1.15644e+06
1380; -505034; -1.4207e+06; -1.15882e+06
1390; -495429; -1.4207e+06; -1.15892e+06
1400; -495429; -1.41178e+06; -1.15811e+06
1410; -495429; -1.41178e+06; -1.15474e+06
1420; -491228; -1.39804e+06; -1.15302e+06
1430; -490878; -1.39629e+06; -1.1523e+06
1440; -490878; -1.39629e+06; -1.15101e+06
1450; -489531; -1.40778e+06; -1.15291e+06
1460; -489531; -1.41525e+06; -1.15392e+06
1470; -489531; -1.40778e+06; -1.15288e+06
1480; -489531; -1.40778e+06; -1.15163e+06
1490; -489531; -1.38809e+06; -1.15137e+06
1500; -489531; -1.37779e+06; -1.15545e+06
1510; -487464; -1.38809e+06; -1.15881e+06
1520; -484025; -1.39249e+06; -1.15935e+06
