temp; best; diff
999900; 142110; -757.189
951132; 21989.6; 876.966
904742; -7239.54; -10298.2
860615; -6546.58; 1192.6
818641; -12509.5; -717.665
778713; -14802.3; -146.519
740733; -22445; -5221.35
704605; -23494.1; -253.943
670240; -12739; -154.693
637550; -15606.8; -2267.72
606455; -4233.84; 1127
576876; -14204.6; -563.487
548740; -13242.1; -4113.15
521977; -11405; 3223.34
496518; -5869.24; 9616.66
472302; -9920.4; -1276.85
449266; -10987.1; 377.427
427354; -10701.1; 60.1173
406511; -14937.6; -598.729
386684; -9505.64; -1325
367824; -6526.43; 2379.07
349884; -5092.79; 699.322
332819; -9495.56; -2237.16
316587; -19914.6; -11029.3
301146; -8815.03; 588.542
286458; -7393.87; 15587.5
272487; -21296.9; -2975.62
259197; -8687.03; 119.184
246555; -19196.1; -109.667
234530; -11793.5; 146.283
223091; -10486.2; 1045.5
212210; -12197.9; -3869.06
201860; -24944.7; -1668.65
192015; -13463.3; 6698.63
182650; -7165.67; -696.615
173741; -15171.9; 886.862
165267; -1043; 135.078
157207; -10467; -67.105
149539; -5605.51; -2741.16
142246; -7086.46; -793.8
135308; -8857.67; -985.673
128709; -12556.8; 952.476
122431; -20109.4; -45.7381
116460; -10421.3; 179.683
110780; -14959; 2395.44
105377; -15157.7; 14.9057
100237; -17408; -1980.49
95348.4; -19242.4; -2169.84
90698; -17803.8; 1592.3
86274.4; -11727.9; 9.3298
82066.5; -16105.3; 1345.58
78063.9; -17163.2; 1096.28
74256.5; -13379.9; 1381.85
70634.8; -11926.4; -1924.04
67189.7; -15624.2; -144.736
63912.7; -16490.8; -1743.38
60795.5; -14788.3; -3229.64
57830.3; -19730.3; -66.0193
55009.7; -9614.74; -1839.61
52326.8; -11707.8; -364.923
49774.6; -15716.4; -948.865
47347; -19643; 5872.65
45037.7; -21124; -1060.69
42841.1; -12399.8; 718.71
40751.6; -10829; 3770.38
38764; -10021; -296.221
36873.4; -18819.8; -3722.62
35075; -22406.5; -1346.5
33364.3; -17001.5; -420.495
31737; -4185.58; -16.9129
30189.1; -12397.8; -91.9424
28716.7; -10674.9; 2879.65
27316.1; 634.599; -304.076
25983.8; -19122; -56.7693
24716.5; -15700.9; -166.409
23511; -16912.8; 1790.23
22364.3; -10077.4; 2886.46
21273.5; -9001.31; -820.257
20235.9; -11700.7; 201.98
19249; -10028.4; -1133.31
18310.1; -15333.6; 3.87207
17417.1; -12887.9; -1465.83
16567.6; -3954.67; -2261.05
15759.6; -17703.4; -470.029
14990.9; -14802; 5237.08
14259.8; -11345.6; -3148.93
13564.3; -5248.2; 284.13
12902.7; -11235.6; -5851.18
12273.4; -13039.7; -400.897
11674.8; -11259.5; 1049.98
11105.4; -8870.94; -154.977
10563.7; -6654.15; 1677.74
10048.5; -3705.9; 58.2852
9558.42; -4731.74; 820.641
9092.23; 1405.78; -1949.16
8648.78; 1099.76; 3042.5
8226.95; -10761.3; -1112
7825.7; -5581.64; 3671.44
7444.01; -15173.1; -672.392
7080.95; -8758.78; 6499.56
6735.59; -6675.23; -1849.69
6407.07; -3858.42; -2287.01
6094.58; -4234.21; -370.492
5797.33; -6230.74; 276.052
5514.58; -6046.23; -361.005
5245.62; -8156.45; 1988.3
4989.77; -11314.9; 327.455
4746.41; -8111.64; -3928.17
4514.91; -1636.63; -1929.8
4294.7; -8348.17; -301.663
4085.24; -11466.8; -383.97
3885.99; -10902.5; -173.089
3696.46; -5054.11; -8539.08
3516.17; -8694.79; 1371.21
3344.68; -3646.6; -2729.13
3181.55; -5394.44; -599.561
3026.37; -6798.03; -4760.81
2878.77; -5311.81; -939.231
2738.36; 622.381; -21.3222
2604.8; -4874.51; 2040.56
2477.76; -11512.8; -938.785
2356.91; -8645.7; -1446.47
2241.96; -5400.26; -904.011
2132.61; -5259.17; 3718.21
2028.6; 1102.3; -123.975
1929.66; 255.087; 408.724
1835.54; 10303.1; 2390.82
1746.02; 8429.64; -383.063
1660.86; 1843.19; 187.426
1579.85; 13277.6; 52.4477
1502.8; 7014.55; -610.603
1429.5; -3896.49; -286.49
1359.78; 3996.17; -902.958
1293.46; 8206.58; -527.312
1230.38; 7690.05; -3469.39
1170.37; 9091.11; -3042.95
1113.29; 14776.7; -2149.67
1058.99; 10504.8; 890.803
1007.34; 9767.92; -776.699
958.206; 9703.04; -429.38
911.472; 4251.15; -412.716
867.017; 15645.1; -139.363
824.73; 10869; -7704.66
784.505; 12619.7; -8146.57
746.242; 10773.5; -2295.55
709.846; 13434.2; 1022.57
675.225; 17665.4; -529.323
642.292; 17841.9; -3185.3
610.966; 19510.7; -1228.26
581.167; 23887.3; -1794.26
552.822; 28722.1; -832.002
525.859; 29545; 46.8995
500.211; 25118.4; -378.548
475.814; 30007.5; -548.038
452.608; 30160.9; -10213.8
430.533; 30371.9; 565.389
409.534; 33935.6; -2631.09
389.56; 34606.3; -3478.67
370.56; 37257.8; -3726.82
352.487; 27974; -3311.13
335.295; 36377.8; -4852.63
318.942; 36131.3; 146.814
303.386; 37102.4; -2134.33
288.589; 41241.4; -1129.8
274.514; 43495.6; 6.01922
261.125; 44949.4; -16439.1
248.389; 49572.8; -599.263
236.274; 51771.1; -7260.5
224.75; 50523.6; -12692.7
213.789; 53584.4; 384.598
203.362; 52699; -919.919
193.443; 55321.4; -19323
184.008; 60190.5; -4120.23
175.034; 58631.5; -24.3004
166.497; 61343.4; -215.627
158.376; 62586.1; -14065.1
150.652; 63828.5; -124.926
143.304; 63134.9; -425.671
136.315; 64743.6; -342.026
129.666; 68017.1; -1371.64
123.342; 70089.3; -586.05
117.326; 69177.8; -6376.86
111.604; 69620.2; -4202.45
106.161; 73724.2; -256.889
100.983; 74563.1; 61.6946
96.0576; 74688.5; -866.407
91.3726; 76795; -10946.6
86.9161; 78137.6; -10497.7
82.6769; 78491.7; -1609.17
78.6445; 79235; -1698.55
74.8088; 79510.8; -3977.99
71.1602; 81080.6; -3875.96
67.6895; 83292.9; -109.152
64.388; 84156.1; -720.199
61.2477; 85622.5; -342.681
58.2604; 87073.8; -711.601
55.4189; 89671.9; -26752.7
52.7159; 91020.1; -817.528
50.1448; 92306.4; -6489.36
47.6991; 93570.2; -45.7063
45.3727; 94906.1; -1632.76
43.1597; 95912.4; -12880.6
41.0547; 97901.1; -491.582
